,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,40,-,1,-,3360.00,-32.90,20,3314.30,3359.90,20,27300.00,3960,0.05,0.15,40,-0.30,0.05,-,205,1980,3800,30669.1
1,-,-,-,-,-,-,20,3175.85,3327.55,20,27400.00,-,-,0.60,20,-,-,-,-,-,2620,30669.1
2,-,-,-,-,-,-,100,3075.80,3230.65,100,27500.00,-,-,0.15,40,-,-,-,-,-,480,30669.1
3,-,-,-,-,-,-,20,2975.85,3127.55,20,27600.00,-,-,0.05,100,-0.55,0.05,-,512,-,160,30669.1
4,-,-,-,-,-,-,20,2875.85,3027.55,20,27700.00,-,-,0.20,20,-,-,-,-,-,100,30669.1
5,20,-,-,-,-,-,20,2819.30,2859.90,20,27800.00,40,0.10,0.15,20,-0.40,0.15,-,2001,4980,5180,30669.1
6,-,-,-,-,-,-,100,2675.80,2830.65,100,27900.00,-,-,0.20,20,-,-,-,-,-,-,30669.1
7,-,-,-,-,-,-,100,2575.80,2730.65,100,28000.00,60,0.05,0.20,20,-0.05,0.35,-,3,-,120,30669.1
8,-,-,-,-,-,-,100,2475.80,2630.65,100,28100.00,-,-,0.20,20,-,-,-,-,-,20,30669.1
9,-,-,-,-,-,-,20,2375.85,2525.75,20,28200.00,-,-,0.20,20,-,-,-,-,-,20,30669.1
10,-,-,-,-,-,-,20,2275.85,2425.75,20,28300.00,-,-,0.25,100,-,-,-,-,-,160,30669.1
11,-,-,-,-,-,-,100,2175.80,2330.65,100,28400.00,-,-,0.25,20,-,-,-,-,-,-,30669.1
12,-,-,-,-,-,-,20,2075.85,2224.80,20,28500.00,-,-,0.25,880,-0.40,0.10,-,6,-20,3600,30669.1
13,-,-,-,-,-,-,100,1975.80,2130.65,100,28600.00,-,-,0.20,20,-,-,-,-,-,-,30669.1
14,-,-,-,-,-,-,100,1875.80,2030.65,100,28700.00,-,-,0.20,20,-,-,-,-,-,-,30669.1
15,-,-,-,-,-,-,100,1775.80,1930.65,100,28800.00,-,-,0.30,20,-,-,-,-,-,-,30669.1
16,-,-,-,-,-,-,100,1675.80,1830.65,100,28900.00,80,0.05,0.30,400,-0.15,0.45,-,1,20,120,30669.1
17,-,-,-,-,-,-,20,1575.85,1719.30,220,29000.00,1680,0.15,0.25,1680,-1.55,0.20,-,1436,-7260,77800,30669.1
18,-,-,-,-,-,-,20,1475.85,1619.30,20,29100.00,340,0.20,0.30,100,-1.45,0.25,-,137,780,4020,30669.1
19,-,-,-,-,-,-,20,1375.85,1519.30,20,29200.00,200,0.10,0.20,240,-1.45,0.20,-,178,-620,6060,30669.1
20,-,-,-,-,-,-,20,1275.85,1419.30,20,29300.00,520,0.20,0.30,1720,-1.65,0.20,-,360,240,12220,30669.1
21,-,-,-,-,-,-,20,1175.85,1319.30,20,29400.00,960,0.20,0.25,80,-1.75,0.15,-,354,-2060,16680,30669.1
22,140,-80,10,-,1155.00,-44.00,20,1139.60,1160.15,20,29500.00,1320,0.15,0.20,2320,-1.85,0.20,-,3813,-45540,80620,30669.1
23,-,-,-,-,-,-,20,977.45,1119.30,20,29600.00,20,0.25,0.30,1980,-1.90,0.30,-,1001,-80,39480,30669.1
24,60,-,-,-,-,-,20,945.45,960.20,20,29700.00,2480,0.25,0.30,4420,-1.90,0.30,-,982,-700,41100,30669.1
25,120,-,1,-,849.85,-78.00,20,843.45,860.20,20,29800.00,3440,0.25,0.30,80,-2.30,0.25,-,2302,1660,76700,30669.1
26,100,-,-,-,-,-,20,745.50,760.25,20,29900.00,640,0.30,0.35,4980,-2.60,0.30,-,7525,-3520,233700,30669.1
27,7180,440,259,-,640.45,-74.10,80,644.85,658.20,20,30000.00,1960,0.35,0.40,7100,-2.70,0.40,-,12419,-1660,420660,30669.1
28,1960,-240,45,-,550.40,-69.55,20,542.50,555.65,20,30100.00,29760,0.35,0.45,5940,-3.40,0.45,-,16540,-17460,184480,30669.1
29,8640,-280,375,-,443.35,-78.35,20,448.75,455.80,40,30200.00,12680,0.55,0.60,100,-4.35,0.55,-,40171,28280,392740,30669.1
30,8740,1300,3238,-,348.45,-78.35,40,349.90,353.95,20,30300.00,14960,1.10,1.15,7580,-5.95,1.10,-,92789,170240,516400,30669.1
31,47740,11660,5847,-,253.70,-72.55,20,256.35,258.15,20,30400.00,60,3.20,3.25,1240,-7.80,3.20,-,218967,484720,965040,30669.1
32,197960,57300,32919,-,168.05,-68.15,20,168.15,168.90,20,30500.00,240,11.70,11.80,500,-8.85,11.70,-,306010,674280,1400200,30669.1
33,512680,328500,114562,-,97.65,-64.70,300,97.65,98.20,40,30600.00,20,34.50,34.70,520,-5.95,34.50,-,283069,615380,1175360,30669.1
34,1109660,694860,280974,-,46.00,-55.35,60,45.80,46.00,4320,30700.00,1600,77.00,77.50,60,3.75,77.05,-,217676,361200,834720,30669.1
35,1569600,983060,323536,-,16.40,-41.40,60,16.35,16.40,240,30800.00,20,141.70,142.35,40,18.55,142.15,-,84574,93200,247540,30669.1
36,1247240,658300,287476,-,5.40,-24.15,5320,5.35,5.45,1220,30900.00,40,224.15,225.75,60,32.35,223.75,-,21391,37240,80860,30669.1
37,1227660,507420,207262,-,1.80,-12.25,960,1.80,1.85,12360,31000.00,20,320.90,323.00,40,52.15,324.00,-,9292,20320,60400,30669.1
38,376000,40600,88383,-,0.70,-6.05,151820,0.70,0.75,25740,31100.00,20,416.10,418.55,20,55.90,416.95,-,601,2500,6060,30669.1
39,378700,21540,89164,-,0.45,-3.25,253300,0.40,0.45,36300,31200.00,20,515.60,521.40,20,66.00,510.35,-,138,360,3340,30669.1
40,218920,14040,24917,-,0.30,-2.10,151220,0.25,0.30,16800,31300.00,20,613.45,631.35,20,77.40,625.00,-,28,60,2160,30669.1
41,49180,-8080,5544,-,0.20,-1.40,160,0.20,0.25,5960,31400.00,20,711.95,729.55,20,59.45,700.00,-,3,-,580,30669.1
42,144340,-6000,5750,-,0.20,-1.30,10500,0.20,0.25,2140,31500.00,20,811.75,824.00,20,90.90,832.50,-,163,-60,18860,30669.1
43,20240,-420,560,-,0.25,-1.15,800,0.20,0.25,720,31600.00,20,908.85,932.05,20,99.40,950.20,-,2,-,340,30669.1
44,22260,-2600,313,-,0.20,-1.10,880,0.20,0.25,2520,31700.00,20,1009.25,1032.05,20,-,974.20,-,1,-,280,30669.1
45,10120,-2080,396,-,0.15,-1.00,300,0.15,0.20,40,31800.00,20,1058.65,1182.00,20,-,-,-,-,-,-,30669.1
46,11260,2960,398,-,0.20,-0.95,4660,0.15,0.20,1200,31900.00,20,1155.95,1283.65,20,-,-,-,-,-,-,30669.1
47,111440,-29060,3984,-,0.20,-1.05,3760,0.15,0.20,2480,32000.00,20,1311.65,1331.65,40,52.10,1320.00,-,50,-760,3960,30669.1
48,3180,-20,6,-,0.30,-0.20,1420,0.10,0.30,320,32100.00,20,1350.30,1492.90,20,-,-,-,-,-,-,30669.1
49,320,-,6,-,0.05,-0.40,-,-,0.10,120,32200.00,20,1450.25,1593.55,20,-,-,-,-,-,-,30669.1
50,-,-,-,-,-,-,-,-,0.25,20,32300.00,400,1543.10,1696.50,500,-,-,-,-,-,-,30669.1
51,-,-,-,-,-,-,-,-,0.25,20,32400.00,400,1643.10,1796.50,500,-,-,-,-,-,-,30669.1
52,31580,-,-,-,-,-,-,-,0.20,20,32500.00,400,1750.00,1894.80,20,-,-,-,-,-,-,30669.1
53,-,-,-,-,-,-,-,-,0.20,20,32600.00,20,1847.05,1994.80,20,-,-,-,-,-,-,30669.1
54,40,-,-,-,-,-,-,-,0.20,20,32700.00,380,1946.60,2094.80,20,-,-,-,-,-,-,30669.1
55,100,100,1264,-,0.05,-0.30,-,-,0.15,20,32800.00,380,2045.15,2194.80,20,-,-,-,-,-,-,30669.1
56,20,-,1000,-,0.20,-0.25,100,0.05,0.20,20,32900.00,380,2143.75,2296.45,20,-,-,-,-,-,-,30669.1
57,2100,-,-,-,-,-,-,-,0.20,20,33000.00,380,2243.10,2396.50,500,-,-,-,-,-,-,30669.1
58,-,-,-,-,-,-,-,-,0.20,20,33100.00,380,2343.10,2496.45,20,-,-,-,-,-,-,30669.1
59,860,500,25,-,0.10,-0.30,-,-,0.20,20,33200.00,380,2443.10,2596.45,20,-,-,-,-,-,-,30669.1
60,760,500,25,-,0.10,-0.45,200,0.05,0.20,20,33300.00,380,2541.35,2694.85,500,-,-,-,-,-,-,30669.1
