,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,22500,91.75,163.70,3600,430.00,1800,0.20,3.10,2700,-,-,-,-,-,-,530.65
1,-,-,-,-,-,-,3600,82.35,153.70,3600,440.00,1800,0.25,3.15,900,-,-,-,-,-,-,530.65
2,-,-,-,-,-,-,3600,73.35,102.10,3600,450.00,900,0.50,4.35,2700,-,-,-,-,-,1800,530.65
3,-,-,-,-,-,-,3600,64.35,96.55,3600,460.00,1800,1.00,-,-,-,-,-,-,-,2700,530.65
4,-,-,-,-,-,-,3600,55.95,84.20,4500,470.00,2700,0.60,-,-,-,-,-,-,-,1800,530.65
5,-,-,-,-,-,-,4500,52.35,58.75,1800,480.00,2700,2.00,5.80,900,-,-,-,-,-,3600,530.65
6,-,-,-,-,-,-,900,46.20,51.50,7200,490.00,900,5.60,7.35,1800,-0.65,6.85,49.75,8,1800,14400,530.65
7,3600,-,-,-,-,-,2700,39.45,41.05,900,500.00,2700,8.05,8.65,1800,1.65,8.45,46.92,107,9900,251100,530.65
8,-,-,-,-,-,-,6300,30.40,34.00,900,510.00,900,10.35,10.80,900,2.35,10.90,45.15,33,7200,50400,530.65
9,6300,900,1,47.11,28.05,-7.45,900,24.70,27.75,6300,520.00,900,13.30,13.65,2700,2.25,12.85,40.85,98,11700,159300,530.65
10,54900,5400,55,38.92,19.00,-7.25,900,19.50,19.75,900,530.00,900,17.00,17.60,3600,3.30,17.30,40.71,94,-2700,74700,530.65
11,135000,20700,114,40.45,15.00,-5.80,900,15.00,15.20,900,540.00,900,21.80,22.80,900,4.55,22.70,40.80,37,3600,170100,530.65
12,149400,24300,115,40.85,11.50,-4.10,900,11.30,11.55,900,550.00,1800,28.00,29.05,900,6.45,30.00,43.39,9,1800,126000,530.65
13,374400,10800,154,40.29,8.25,-3.55,900,8.05,8.70,4500,560.00,1800,34.70,36.25,900,5.55,33.90,35.91,3,-1800,184500,530.65
14,189900,6300,102,42.52,6.60,-2.50,2700,6.50,6.80,1800,570.00,1800,43.10,44.10,900,7.05,43.00,39.68,4,-2700,36900,530.65
15,262800,13500,122,43.75,5.30,-1.60,900,5.15,5.35,1800,580.00,1800,51.50,53.40,900,9.85,51.85,41.80,3,-900,166500,530.65
16,92700,1800,6,43.69,3.70,-1.45,900,3.80,4.20,2700,590.00,1800,60.15,61.45,1800,11.95,62.25,48.45,1,-,20700,530.65
17,509400,-25200,124,46.76,3.15,-0.75,2700,3.10,3.30,1800,600.00,900,69.25,70.60,900,7.20,69.50,42.47,1,-,301500,530.65
18,113400,900,5,48.43,2.70,-0.30,1800,2.30,2.85,900,610.00,5400,76.35,80.05,900,-,-,-,-,-,37800,530.65
19,440100,-900,38,49.37,2.10,-0.45,1800,2.05,2.20,2700,620.00,1800,86.70,89.70,900,15.20,89.50,51.17,1,-,218700,530.65
20,248400,-5400,23,51.03,1.75,-0.30,2700,1.75,1.95,2700,630.00,1800,97.40,102.35,4500,-,-,-,-,-,8100,530.65
21,302400,54900,90,54.63,1.75,-,1800,1.75,1.85,2700,640.00,3600,106.75,109.30,2700,28.90,108.90,55.78,1,-900,10800,530.65
22,130500,-2700,8,54.72,1.30,-0.10,2700,1.40,1.60,1800,650.00,22500,100.60,132.60,22500,-,-,-,-,-,900,530.65
23,82800,-3600,13,57.55,1.25,-0.05,2700,1.15,1.50,1800,660.00,23400,107.45,148.15,23400,-,-,-,-,-,7200,530.65
24,7200,-,-,-,-,-,900,0.55,1.45,900,670.00,22500,117.00,155.70,22500,-,-,-,-,-,-,530.65
25,69300,-,-,-,-,-,2700,0.95,1.00,1800,680.00,22500,124.10,169.90,22500,-,-,-,-,-,4500,530.65
26,5400,-,-,-,-,-,900,0.50,1.00,900,690.00,22500,135.15,180.10,22500,-,-,-,-,-,900,530.65
27,120600,-900,1,61.00,0.55,-,4500,0.55,0.85,900,700.00,22500,144.30,191.70,22500,-,-,-,-,-,900,530.65
28,900,-,-,-,-,-,900,0.40,1.35,1800,710.00,22500,153.25,201.70,22500,-,-,-,-,-,-,530.65
29,7200,-,-,-,-,-,900,0.25,0.50,900,720.00,22500,157.70,214.75,22500,-,-,-,-,-,-,530.65
30,-,-,-,-,-,-,3600,0.05,1.10,1800,730.00,22500,169.85,225.20,22500,-,-,-,-,-,-,530.65
31,5400,-,-,-,-,-,900,0.05,1.00,1800,740.00,22500,174.85,237.90,22500,-,-,-,-,-,-,530.65
32,-,-,-,-,-,-,-,-,1.30,1800,750.00,22500,183.70,249.40,22500,-,-,-,-,-,-,530.65
33,-,-,-,-,-,-,900,0.05,1.30,1800,760.00,22500,192.65,259.45,22500,-,-,-,-,-,-,530.65
34,-,-,-,-,-,-,-,-,1.25,1800,770.00,22500,199.35,273.60,22500,-,-,-,-,-,-,530.65
35,-,-,-,-,-,-,900,0.05,1.30,1800,780.00,22500,210.25,283.75,22500,-,-,-,-,-,-,530.65
36,-,-,-,-,-,-,-,-,1.95,1800,790.00,22500,218.60,296.70,22500,-,-,-,-,-,-,530.65
37,-,-,-,-,-,-,900,0.05,1.20,1800,800.00,22500,228.20,306.85,22500,-,-,-,-,-,-,530.65
38,-,-,-,-,-,-,-,-,2.45,1800,810.00,22500,236.75,319.80,22500,-,-,-,-,-,-,530.65
39,-,-,-,-,-,-,-,-,1.60,1800,820.00,1800,280.75,290.80,7200,15.00,291.60,133.10,1,-,18000,530.65
