,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,3300,-,-,-,-,-,1100,171.95,204.55,25300,330.00,-,-,-,-,-,-,-,-,-,-,515.5
1,-,-,-,-,-,-,25300,149.45,193.05,25300,340.00,-,-,-,-,-,-,-,-,-,-,515.5
2,-,-,-,-,-,-,25300,141.80,182.35,25300,350.00,4400,0.05,-,-,-,-,-,-,-,-,515.5
3,-,-,-,-,-,-,25300,131.90,177.45,25300,360.00,4400,0.05,2.35,2200,-,-,-,-,-,-,515.5
4,-,-,-,-,-,-,25300,124.35,159.90,25300,370.00,4400,0.05,2.35,8800,-,-,-,-,-,-,515.5
5,-,-,-,-,-,-,25300,114.95,153.90,25300,380.00,4400,0.05,0.55,1100,-,-,-,-,-,6600,515.5
6,-,-,-,-,-,-,25300,105.25,141.95,25300,390.00,4400,0.05,2.40,9900,-,-,-,-,-,5500,515.5
7,3300,-,-,-,-,-,1100,106.80,130.40,25300,400.00,12100,0.50,0.80,5500,-0.25,0.50,63.34,31,-13200,67100,515.5
8,-,-,-,-,-,-,5500,104.40,109.55,5500,410.00,1100,0.50,0.95,3300,-0.55,0.65,60.63,6,-,27500,515.5
9,2200,-,-,-,-,-,4400,95.25,99.50,4400,420.00,1100,0.70,1.00,1100,-0.60,0.80,57.97,8,2200,56100,515.5
10,2200,-,-,-,-,-,4400,85.55,89.85,4400,430.00,2200,0.95,1.50,3300,-0.55,1.20,-,1,-,33000,515.5
11,11000,-2200,4,-,75.15,9.85,1100,77.35,83.45,1100,440.00,1100,1.50,2.10,2200,-1.00,1.60,53.75,14,1100,71500,515.5
12,18700,-,4,-,57.10,10.15,5500,66.55,70.50,4400,450.00,1100,2.50,2.85,3300,-1.10,2.60,54.11,36,4400,121000,515.5
13,28600,-,2,34.36,57.20,11.00,1100,58.80,60.65,1100,460.00,5500,3.30,3.65,8800,-1.35,3.50,52.08,89,4400,158400,515.5
14,72600,-2200,5,-,45.00,3.80,1100,49.45,51.10,1100,470.00,5500,4.30,4.50,1100,-1.90,4.45,50.11,55,-3300,108900,515.5
15,72600,-6600,26,43.36,41.50,8.30,1100,41.45,42.65,1100,480.00,3300,6.10,6.20,2200,-2.65,6.05,48.22,160,8800,99000,515.5
16,53900,-9900,39,42.69,33.80,7.15,1100,33.75,35.10,1100,490.00,4400,8.20,8.40,4400,-2.30,8.70,47.55,117,9900,88000,515.5
17,183700,-33000,179,40.37,27.35,6.60,1100,26.95,27.30,1100,500.00,3300,11.10,11.30,1100,-4.40,11.25,45.63,176,36300,148500,515.5
18,104500,11000,298,42.02,21.70,6.20,1100,21.10,21.50,2200,510.00,1100,14.90,15.10,1100,-5.40,14.70,45.43,79,28600,55000,515.5
19,280500,88000,845,42.08,16.50,5.10,2200,16.20,16.55,3300,520.00,4400,19.10,20.00,2200,-5.55,20.30,44.68,14,1100,19800,515.5
20,244200,123200,738,42.04,12.15,4.20,3300,12.05,12.20,1100,530.00,3300,24.60,26.05,1100,-10.80,27.15,47.16,1,-,13200,515.5
21,169400,35200,424,41.65,8.60,3.00,3300,8.50,8.75,5500,540.00,1100,31.30,32.50,1100,-,-,-,-,-,24200,515.5
22,107800,23100,148,41.04,6.00,2.15,4400,5.95,6.10,4400,550.00,4400,38.20,39.00,1100,-,-,-,-,-,3300,515.5
23,115500,56100,221,41.18,4.10,1.50,1100,4.05,4.15,1100,560.00,5500,46.80,49.35,5500,-15.25,48.25,45.39,3,-1100,3300,515.5
24,11000,5500,15,42.23,3.10,2.45,2200,2.45,3.35,1100,570.00,7700,53.85,58.40,7700,-,-,-,-,-,2200,515.5
25,12100,3300,5,42.71,2.00,1.15,1100,1.75,2.40,1100,580.00,2200,62.80,67.70,2200,-,-,-,-,-,3300,515.5
26,2200,-,-,-,-,-,7700,1.00,2.40,14300,590.00,5500,72.05,76.95,2200,-,-,-,-,-,-,515.5
27,40700,2200,8,44.34,1.25,0.45,1100,1.25,1.95,13200,600.00,7700,81.95,86.25,4400,-25.40,84.10,-,1,-,20900,515.5
28,1100,-,-,-,-,-,7700,0.05,1.50,9900,610.00,5500,91.45,96.70,5500,-,-,-,-,-,-,515.5
29,2200,-,-,-,-,-,7700,0.05,1.20,1100,620.00,4400,101.40,106.45,4400,-,-,-,-,-,9900,515.5
30,2200,-,-,-,-,-,7700,0.05,1.60,13200,630.00,2200,111.10,116.35,2200,-,-,-,-,-,-,515.5
31,-,-,-,-,-,-,4400,0.05,1.80,13200,640.00,2200,120.45,126.25,2200,-,-,-,-,-,-,515.5
32,-,-,-,-,-,-,4400,0.05,1.80,13200,650.00,2200,130.35,135.90,2200,-,-,-,-,-,4400,515.5
33,-,-,-,-,-,-,4400,0.05,1.80,6600,660.00,4400,140.70,146.10,4400,-,-,-,-,-,4400,515.5
34,-,-,-,-,-,-,4400,0.05,1.45,2200,670.00,25300,140.45,180.40,25300,-,-,-,-,-,-,515.5
35,-,-,-,-,-,-,4400,0.05,2.40,2200,680.00,25300,149.40,197.30,25300,-,-,-,-,-,-,515.5
36,-,-,-,-,-,-,4400,0.05,2.40,2200,690.00,25300,157.95,208.05,25300,-,-,-,-,-,-,515.5
37,-,-,-,-,-,-,4400,0.05,2.20,2200,700.00,25300,167.90,220.40,25300,-,-,-,-,-,6600,515.5
38,-,-,-,-,-,-,-,-,2.30,2200,710.00,25300,175.75,231.05,25300,-,-,-,-,-,-,515.5
39,-,-,-,-,-,-,-,-,2.40,2200,720.00,25300,184.30,242.25,25300,-,-,-,-,-,-,515.5
40,-,-,-,-,-,-,-,-,2.40,2200,730.00,25300,193.55,253.80,25300,-,-,-,-,-,-,515.5
41,-,-,-,-,-,-,-,-,2.35,2200,740.00,2200,219.95,225.90,2200,-,-,-,-,-,-,515.5
42,-,-,-,-,-,-,-,-,2.55,2200,750.00,25300,211.90,235.30,4400,-9.80,239.15,135.73,5,-5500,4400,515.5
