,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,18750,175.95,249.20,18750,700.00,-,-,-,-,-,-,-,-,-,-,914.9
1,-,-,-,-,-,-,18750,167.40,237.65,18750,710.00,-,-,-,-,-,-,-,-,-,-,914.9
2,750,-,-,-,-,-,18750,163.70,226.10,18750,720.00,-,-,2.70,1500,-,-,-,-,-,-,914.9
3,-,-,-,-,-,-,18750,154.85,214.55,18750,730.00,-,-,2.70,1500,-,-,-,-,-,-,914.9
4,-,-,-,-,-,-,18750,146.60,203.00,18750,740.00,-,-,2.70,4500,-,-,-,-,-,-,914.9
5,-,-,-,-,-,-,18750,137.45,191.45,18750,750.00,-,-,2.75,6000,-,-,-,-,-,-,914.9
6,750,-,-,-,-,-,18750,128.60,179.95,18750,760.00,-,-,2.80,6000,-,-,-,-,-,-,914.9
7,-,-,-,-,-,-,18750,119.80,168.85,18750,770.00,-,-,2.85,6000,-,-,-,-,-,-,914.9
8,-,-,-,-,-,-,18750,111.15,157.30,18750,780.00,-,-,3.00,6000,-,-,-,-,-,-,914.9
9,-,-,-,-,-,-,18750,103.25,145.75,18750,790.00,-,-,3.15,6000,-,-,-,-,-,-,914.9
10,-,-,-,-,-,-,18750,92.35,136.65,18750,800.00,1500,0.35,1.40,2250,-,-,-,-,-,12750,914.9
11,-,-,-,-,-,-,18750,82.85,130.80,18750,810.00,-,-,4.65,9000,-,-,-,-,-,-,914.9
12,-,-,-,-,-,-,2250,80.90,115.35,6000,820.00,1500,0.10,4.95,9000,-,-,-,-,-,-,914.9
13,-,-,-,-,-,-,3750,79.40,87.95,1500,830.00,3000,0.10,5.40,10500,-,-,-,-,-,750,914.9
14,-,-,-,-,-,-,3750,71.10,78.60,1500,840.00,10500,0.15,6.05,10500,-,-,-,-,-,750,914.9
15,-,-,-,-,-,-,5250,63.65,69.60,3750,850.00,3000,1.75,3.90,1500,-0.35,3.40,32.15,4,-,22500,914.9
16,4500,-,-,-,-,-,750,56.15,60.20,3750,860.00,750,4.30,5.00,750,-0.05,4.50,31.30,5,2250,22500,914.9
17,2250,-,3,19.07,48.65,4.05,1500,49.20,51.50,2250,870.00,1500,6.05,6.20,750,0.20,6.50,31.61,26,-8250,30000,914.9
18,21750,-,1,15.78,38.65,-3.35,750,41.95,43.85,4500,880.00,2250,8.10,8.40,750,0.30,8.60,31.12,6,750,42750,914.9
19,12000,-,6,19.21,31.75,-1.70,750,34.35,35.75,750,890.00,1500,10.65,11.20,2250,0.30,12.00,31.84,5,-,16500,914.9
20,42750,-,5,20.94,25.60,-1.55,750,27.95,28.50,750,900.00,750,14.15,14.65,750,-0.65,14.60,30.39,10,-,32250,914.9
21,22500,1500,14,23.51,21.30,-0.25,750,22.45,22.85,750,910.00,750,18.40,18.85,750,-0.10,20.00,32.01,1,-,9750,914.9
22,60000,1500,8,23.94,16.50,-0.40,1500,17.50,17.95,750,920.00,750,23.30,23.80,750,0.10,25.50,32.77,8,-750,26250,914.9
23,45000,-750,4,24.46,12.65,-0.20,750,13.45,13.75,750,930.00,2250,28.00,29.80,750,-0.25,30.25,31.61,1,-,17250,914.9
24,41250,-,7,23.95,8.90,-0.95,750,10.20,10.45,750,940.00,750,34.20,37.75,2250,-,-,-,-,-,18000,914.9
25,65250,-3000,31,25.36,7.10,-0.25,1500,7.50,7.85,1500,950.00,750,41.50,44.90,750,-,-,-,-,-,3000,914.9
26,34500,-,-,-,-,-,1500,4.75,5.85,1500,960.00,750,50.50,53.10,750,-,-,-,-,-,1500,914.9
27,29250,-,1,26.44,3.90,0.05,1500,3.05,4.10,750,970.00,5250,55.50,64.15,5250,-,-,-,-,-,-,914.9
28,48750,-,2,26.65,2.75,-0.55,1500,2.45,3.00,1500,980.00,5250,63.10,72.55,6750,-,-,-,-,-,750,914.9
29,8250,-,1,27.83,2.20,0.20,1500,1.65,2.20,750,990.00,5250,72.65,81.75,5250,-,-,-,-,-,-,914.9
30,42750,-,-,-,-,-,3000,0.85,3.45,10500,1000.00,5250,81.30,91.25,1500,-,-,-,-,-,16500,914.9
31,-,-,-,-,-,-,1500,0.15,4.70,10500,1010.00,18750,79.05,123.50,18750,-,-,-,-,-,-,914.9
32,750,-,-,-,-,-,1500,0.15,0.90,750,1020.00,18750,88.20,132.00,18750,-,-,-,-,-,-,914.9
33,1500,-,-,-,-,-,9000,0.10,4.40,7500,1030.00,18750,98.20,144.10,18750,-,-,-,-,-,-,914.9
34,1500,-,-,-,-,-,9000,0.10,3.00,7500,1040.00,18750,107.55,154.30,18750,-,-,-,-,-,12750,914.9
35,-,-,-,-,-,-,-,-,3.15,3000,1060.00,18750,124.65,175.65,18750,-,-,-,-,-,-,914.9
36,-,-,-,-,-,-,-,-,2.90,1500,1080.00,18750,141.75,197.90,18750,-,-,-,-,-,-,914.9
37,-,-,-,-,-,-,-,-,2.80,1500,1100.00,18750,158.85,220.30,18750,-,-,-,-,-,-,914.9
38,-,-,-,-,-,-,-,-,-,-,1120.00,18750,175.95,250.30,18750,-,-,-,-,-,-,914.9
