,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,12500,245.55,326.40,12500,1780.00,2000,0.45,3.00,500,-,-,-,-,-,-,2053.55
1,-,-,-,-,-,-,1500,233.15,296.90,1000,1800.00,500,3.60,4.00,500,0.80,3.50,31.13,10,3000,11000,2053.55
2,-,-,-,-,-,-,500,227.00,283.60,1000,1820.00,2000,0.80,7.00,500,-,-,-,-,-,-,2053.55
3,-,-,-,-,-,-,500,193.05,269.65,1000,1840.00,2000,1.00,-,-,-,-,-,-,-,-,2053.55
4,-,-,-,-,-,-,500,173.15,241.40,1000,1860.00,2000,1.40,14.95,1000,-,-,-,-,-,500,2053.55
5,-,-,-,-,-,-,1000,153.80,220.35,1000,1880.00,500,7.00,12.45,1000,-,-,-,-,-,-,2053.55
6,-,-,-,-,-,-,1000,165.10,185.80,2000,1900.00,5000,9.35,9.55,1000,3.65,9.30,27.11,86,11500,43500,2053.55
7,-,-,-,-,-,-,1000,116.40,171.95,1000,1920.00,500,9.10,17.85,1000,1.15,11.15,26.29,5,1500,2000,2053.55
8,-,-,-,-,-,-,500,92.80,188.60,500,1940.00,500,12.00,39.85,2000,-,-,-,-,-,-,2053.55
9,-,-,-,-,-,-,500,116.30,152.40,500,1960.00,500,17.45,19.70,500,7.35,18.00,25.22,43,5000,19000,2053.55
10,-,-,-,-,-,-,500,75.30,121.45,500,1980.00,500,22.20,22.95,500,8.00,22.00,25.03,28,4500,7500,2053.55
11,33500,-,7,20.54,85.50,-26.50,500,88.55,91.95,500,2000.00,500,28.00,28.35,500,10.10,28.05,24.96,434,4500,142000,2053.55
12,2500,-,-,-,-,-,500,74.95,79.85,500,2020.00,500,33.90,34.50,500,12.90,33.70,24.49,54,8500,16500,2053.55
13,5500,2000,11,22.56,64.15,-9.55,500,64.60,67.25,500,2040.00,500,41.70,42.35,500,14.75,42.05,24.72,174,2000,58000,2053.55
14,25000,21000,120,22.41,53.25,-17.10,500,53.75,54.60,500,2060.00,1000,50.15,50.85,1500,15.95,50.70,24.84,153,7000,53500,2053.55
15,24000,7500,48,22.37,44.00,-15.15,500,44.30,44.90,500,2080.00,500,60.20,61.35,500,17.65,60.30,24.08,41,-4000,28000,2053.55
16,120000,30000,376,22.48,36.50,-11.85,1000,36.15,36.65,500,2100.00,500,71.65,73.15,1000,19.10,71.80,23.74,107,-4500,109500,2053.55
17,66500,18000,221,22.43,29.20,-10.40,500,29.10,29.40,500,2120.00,500,83.95,85.30,1000,22.65,84.75,24.01,15,2500,24000,2053.55
18,107000,3000,173,22.56,22.85,-9.45,500,23.05,23.40,500,2140.00,500,95.65,99.55,500,16.25,90.00,19.57,9,-500,22500,2053.55
19,113000,9000,171,22.60,18.60,-7.15,1000,18.40,18.65,500,2160.00,3000,109.15,115.20,500,32.85,113.35,24.15,6,-500,19000,2053.55
20,58000,3000,26,23.08,14.00,-5.70,2500,13.25,15.05,1500,2180.00,500,125.65,132.10,500,29.75,132.75,26.45,2,-500,13000,2053.55
21,251000,29000,300,22.99,11.30,-4.30,500,11.15,11.40,3000,2200.00,500,143.65,146.40,500,26.00,151.00,27.93,2,-,109000,2053.55
22,46000,4000,45,23.42,8.85,-3.00,1000,8.45,8.80,500,2220.00,500,159.50,167.55,1000,-,-,-,-,-,7000,2053.55
