,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,1200,-,-,-,-,-,800,349.35,360.65,800,1140.00,2400,0.05,-,-,-,-,-,-,-,-,1490.3
1,-,-,-,-,-,-,2400,329.40,341.90,2400,1160.00,2400,0.05,-,-,-,-,-,-,-,-,1490.3
2,-,-,-,-,-,-,2400,309.70,322.05,2400,1180.00,2400,0.05,-,-,-,-,-,-,-,-,1490.3
3,-,-,-,-,-,-,2400,290.05,300.40,2400,1200.00,2000,0.10,1.50,400,-,-,-,-,-,-,1490.3
4,-,-,-,-,-,-,2400,270.45,280.75,2400,1220.00,400,0.15,-,-,-,-,-,-,-,-,1490.3
5,-,-,-,-,-,-,2400,250.95,260.65,800,1240.00,400,0.65,1.50,400,-,-,-,-,-,-,1490.3
6,-,-,-,-,-,-,2400,231.45,241.70,2400,1260.00,400,0.65,-,-,-,-,-,-,-,-,1490.3
7,-,-,-,-,-,-,4400,212.65,222.25,2400,1280.00,400,0.65,-,-,-,-,-,-,-,-,1490.3
8,-,-,-,-,-,-,2400,192.25,202.90,2400,1300.00,400,2.65,4.50,800,-,3.00,31.85,8,9200,35200,1490.3
9,-,-,-,-,-,-,2400,173.10,183.70,2400,1320.00,3600,2.00,5.95,1600,-,-,-,-,-,-,1490.3
10,-,-,-,-,-,-,5200,154.30,166.30,5200,1340.00,6400,1.25,5.90,800,1.00,5.00,29.86,5,4800,8400,1490.3
11,1200,-,-,-,-,-,2000,138.90,146.75,4000,1360.00,800,5.65,6.45,1200,0.45,6.00,28.29,32,6800,18800,1490.3
12,-,-,-,-,-,-,7600,118.70,129.30,5600,1380.00,800,5.50,8.50,400,-,-,-,-,2800,12000,1490.3
13,8000,-400,2,23.87,110.05,-4.50,400,101.80,108.80,3600,1400.00,400,9.75,10.20,1200,1.10,10.00,26.27,152,16800,176000,1490.3
14,800,-,-,-,-,-,400,86.80,92.75,400,1420.00,400,13.10,13.45,400,1.75,13.65,25.71,122,24400,94000,1490.3
15,4400,-,1,21.21,75.30,-6.50,400,71.85,76.95,400,1440.00,400,18.10,18.30,800,2.20,18.20,25.34,433,52000,132400,1490.3
16,18800,-400,11,25.88,68.30,2.85,400,55.65,61.90,400,1460.00,800,23.95,24.35,400,2.75,23.75,25.14,554,7600,211600,1490.3
17,47600,-2000,74,19.88,46.45,-6.30,400,46.55,47.25,400,1480.00,400,31.30,31.60,400,4.15,31.50,24.86,656,36000,165600,1490.3
18,170800,10400,596,20.48,37.20,-4.25,400,36.15,36.60,400,1500.00,800,40.10,40.50,400,4.55,40.20,24.06,897,9200,228800,1490.3
19,167200,62400,1205,20.03,27.45,-4.75,400,27.15,27.35,400,1520.00,400,50.80,51.45,400,4.35,50.00,23.97,252,-400,23200,1490.3
20,150400,39600,638,19.98,20.15,-3.25,400,19.95,20.20,400,1540.00,400,61.85,66.00,6800,7.25,63.00,18.26,13,800,15200,1490.3
21,220400,69200,620,20.23,14.30,-2.30,1200,14.00,14.30,400,1560.00,400,74.75,79.05,400,-2.60,66.30,17.40,3,-,2000,1490.3
22,105600,-10800,195,20.06,10.00,-1.70,400,9.90,10.20,800,1580.00,2000,89.35,96.85,6800,29.00,96.80,28.49,3,-,800,1490.3
23,128800,32800,162,19.89,6.30,-1.85,1200,6.20,6.95,800,1600.00,2000,105.50,111.30,2000,4.80,107.80,25.17,1,400,2800,1490.3
24,38400,-2800,21,22.07,5.70,0.35,400,3.85,5.25,400,1620.00,2000,123.05,130.45,1600,-,-,-,-,-,-,1490.3
25,38800,4000,14,21.30,3.30,-0.30,1600,3.10,3.95,400,1640.00,6000,139.10,149.35,6000,-,-,-,-,-,-,1490.3
26,17200,2400,1,21.90,2.40,0.25,1600,1.40,3.40,400,1660.00,3600,156.35,168.55,1600,-,-,-,-,-,-,1490.3
27,1200,1200,-,-,-,-,3200,0.35,3.00,400,1680.00,3600,176.10,188.35,1600,-,-,-,-,-,-,1490.3
28,-,-,-,-,-,-,2400,0.30,2.00,400,1700.00,3600,196.05,207.90,1600,-,-,-,-,-,-,1490.3
29,-,-,-,-,-,-,2400,0.25,2.00,400,1720.00,3600,214.85,226.70,1600,-,-,-,-,-,-,1490.3
30,-,-,-,-,-,-,800,0.20,2.00,400,1740.00,3600,235.50,247.30,1600,-,-,-,-,-,400,1490.3
