,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,-,-,-,-,80.00,-,-,0.20,4500,-,-,-,-,-,-,144.55
1,-,-,-,-,-,-,-,-,-,-,85.00,-,-,0.10,4500,-,-,-,-,-,-,144.55
2,76500,-,-,-,-,-,18000,54.10,55.35,9000,90.00,-,-,0.10,4500,-,-,-,-,-,-,144.55
3,-,-,-,-,-,-,-,-,-,-,95.00,-,-,0.20,4500,-,-,-,-,-,-,144.55
4,-,-,-,-,-,-,-,-,-,-,100.00,-,-,0.20,4500,-,-,-,-,-,4500,144.55
5,-,-,-,-,-,-,-,-,-,-,105.00,-,-,1.00,9000,-,-,-,-,-,-,144.55
6,-,-,-,-,-,-,4500,18.35,51.95,4500,110.00,-,-,0.50,27000,-,-,-,-,-,4500,144.55
7,-,-,-,-,-,-,90000,27.90,31.85,90000,115.00,4500,0.15,0.60,18000,-,-,-,-,-,-,144.55
8,4500,-,-,-,-,-,90000,23.80,41.65,90000,120.00,4500,0.30,0.70,18000,-0.10,0.30,47.54,5,4500,45000,144.55
9,-,-,-,-,-,-,90000,5.65,36.10,90000,125.00,9000,0.40,0.75,18000,-,-,-,-,-,31500,144.55
10,18000,-,-,-,-,-,9000,15.80,16.50,4500,130.00,13500,0.95,1.05,9000,0.05,1.05,43.10,10,22500,270000,144.55
11,58500,-,4,32.21,11.00,-0.85,9000,11.70,12.15,9000,135.00,4500,1.85,1.95,9000,0.15,2.10,43.32,11,13500,288000,144.55
12,103500,9000,9,37.73,8.00,-0.15,4500,8.20,8.55,4500,140.00,22500,3.20,3.30,4500,-0.05,3.25,41.71,94,72000,580500,144.55
13,198000,31500,40,38.67,5.60,-0.10,4500,5.50,5.70,18000,145.00,4500,5.30,5.45,4500,0.05,5.40,39.99,51,54000,472500,144.55
14,805500,144000,143,39.36,3.45,-0.20,9000,3.40,3.55,13500,150.00,4500,8.10,8.40,9000,0.10,8.40,39.82,11,-13500,265500,144.55
15,837000,27000,67,39.85,2.10,-0.20,4500,2.10,2.15,13500,155.00,4500,11.50,11.90,9000,-0.80,11.60,37.94,11,-4500,198000,144.55
16,1143000,31500,52,40.51,1.20,-0.20,4500,1.20,1.25,31500,160.00,9000,15.70,16.25,4500,-,-,-,-,-,99000,144.55
17,373500,-13500,11,40.66,0.65,-0.15,45000,0.60,0.70,22500,165.00,4500,20.00,20.80,40500,-,-,-,-,-,18000,144.55
18,589500,4500,4,43.43,0.45,-0.05,13500,0.40,0.50,22500,170.00,40500,24.30,25.20,9000,-,-,-,-,-,72000,144.55
19,220500,49500,24,42.25,0.20,-0.05,9000,0.20,0.25,49500,175.00,27000,28.95,30.60,22500,-,-,-,-,-,27000,144.55
20,220500,-4500,7,45.16,0.15,-0.05,58500,0.10,0.20,18000,180.00,9000,33.90,35.25,4500,-,-,-,-,-,157500,144.55
21,72000,-,1,49.85,0.15,-,40500,0.05,0.15,22500,185.00,-,-,54.55,4500,-,-,-,-,-,27000,144.55
22,45000,-,-,-,-,-,9000,0.05,0.10,22500,190.00,-,-,60.80,4500,-,-,-,-,-,76500,144.55
