,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,3750,334.50,401.75,3750,1020.00,750,0.05,2.00,375,-,-,-,-,-,-,1374.95
1,-,-,-,-,-,-,3750,315.65,379.80,3750,1040.00,750,0.05,2.00,375,-,-,-,-,-,-,1374.95
2,-,-,-,-,-,-,3750,296.55,362.75,3750,1060.00,750,0.05,2.00,375,-,-,-,-,-,-,1374.95
3,-,-,-,-,-,-,3750,277.65,337.00,3750,1080.00,750,0.05,2.00,375,-,-,-,-,-,-,1374.95
4,1500,-,-,-,-,-,1500,275.35,290.30,1500,1100.00,375,0.10,1.45,375,-,-,-,-,-,375,1374.95
5,-,-,-,-,-,-,3750,243.85,294.00,3750,1120.00,3000,0.05,3.00,2625,-,-,-,-,-,-,1374.95
6,-,-,-,-,-,-,3750,213.80,275.45,3750,1140.00,375,0.10,3.00,375,-,-,-,-,-,-,1374.95
7,-,-,-,-,-,-,3750,196.35,254.80,3750,1160.00,375,0.10,3.00,375,-,-,-,-,-,-,1374.95
8,375,-,-,-,-,-,2250,197.75,210.45,2250,1180.00,375,0.35,3.00,375,-,-,-,-,-,-,1374.95
9,6000,-,6,44.71,187.00,-1.00,375,180.90,188.60,1125,1200.00,3000,0.25,2.50,3000,-,-,-,-,-,7875,1374.95
10,-,-,-,-,-,-,6750,159.10,170.15,1500,1220.00,375,0.25,-,-,-,-,-,-,-,-,1374.95
11,10125,-,-,-,-,-,6750,139.80,150.15,750,1240.00,1500,0.50,4.90,3000,-,-,-,-,-,1500,1374.95
12,1125,-,-,-,-,-,375,123.00,132.15,1500,1260.00,375,1.00,7.90,8250,-,-,-,-,-,4875,1374.95
13,1500,-375,2,46.94,122.70,-18.30,375,106.35,111.40,375,1280.00,7125,4.30,4.70,2625,-0.75,4.45,26.91,76,-12750,45000,1374.95
14,35250,-4500,20,30.92,92.70,-4.30,375,88.95,92.95,375,1300.00,750,6.75,7.15,2625,-0.90,6.85,26.25,136,-5250,124875,1374.95
15,9750,-,1,30.35,77.00,-33.90,1125,72.60,76.25,375,1320.00,1875,10.30,10.50,375,-1.30,10.50,25.92,198,8625,76125,1374.95
16,9750,-,8,36.63,60.00,3.05,375,58.75,61.05,375,1340.00,375,15.40,15.55,750,-1.55,15.75,25.55,395,14625,102000,1374.95
17,38250,1500,42,27.40,46.90,2.25,1125,47.10,47.70,375,1360.00,375,22.05,22.30,1500,-2.15,22.40,25.19,447,6375,136125,1374.95
18,67500,-15000,262,27.85,36.30,2.55,375,36.20,36.75,375,1380.00,1125,30.50,31.00,750,-2.25,31.40,24.37,249,21375,114375,1374.95
19,837750,209250,1709,27.48,27.70,2.55,750,27.40,27.70,1125,1400.00,375,40.85,42.15,750,-3.75,40.70,24.20,81,1125,315750,1374.95
20,545625,21375,1318,27.37,19.70,1.20,1125,20.00,20.15,750,1420.00,375,53.50,54.45,375,7.05,53.50,24.16,21,-5625,74250,1374.95
21,576375,17625,813,27.41,14.05,0.75,375,14.15,14.35,375,1440.00,375,66.95,69.55,375,-9.00,59.00,13.14,1,-,15000,1374.95
22,236625,1125,463,27.27,9.70,0.50,375,9.80,10.00,1500,1460.00,375,82.30,85.15,375,-,-,-,-,-,3000,1374.95
23,108375,-6375,114,27.73,6.50,0.15,4125,6.25,6.95,3750,1480.00,750,98.15,103.20,375,-,-,-,-,-,4125,1374.95
24,271500,10875,262,27.99,4.80,0.20,3375,4.65,4.85,750,1500.00,375,117.15,120.00,375,2.50,117.50,18.41,21,-5625,62625,1374.95
25,90000,43875,194,27.29,2.95,-,4500,2.65,3.00,13125,1520.00,1500,132.70,140.70,2250,-,-,-,-,-,-,1374.95
26,73500,-6000,100,29.00,2.15,0.05,6750,2.00,2.25,9000,1540.00,1875,153.15,159.10,375,-,-,-,-,-,1500,1374.95
27,84000,1500,16,30.04,1.80,0.25,8250,1.50,1.70,9375,1560.00,3000,169.85,182.20,3000,-,-,-,-,-,750,1374.95
28,1875,-,-,-,-,-,375,1.25,2.85,375,1580.00,2250,189.10,200.50,2250,-,-,-,-,-,-,1374.95
29,63000,375,23,34.05,1.55,-,375,1.55,1.80,1500,1600.00,2250,207.75,220.35,2250,-,-,-,-,-,2625,1374.95
30,1500,-,-,-,-,-,375,0.60,1.90,750,1620.00,2250,227.50,240.05,2250,-,-,-,-,-,-,1374.95
31,3375,-,-,-,-,-,750,0.60,1.95,750,1640.00,2250,248.15,259.85,2250,-,-,-,-,-,-,1374.95
32,1125,-,-,-,-,-,375,0.40,1.95,750,1660.00,750,268.35,280.55,750,-,-,-,-,-,5625,1374.95
