,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,-,-,-,-,580.00,-,-,1.05,5000,-,-,-,-,-,-,718.75
1,-,-,-,-,-,-,-,-,-,-,600.00,1000,0.50,1.95,3000,-15.15,0.80,-,6,-,4000,718.75
2,-,-,-,-,-,-,-,-,-,-,610.00,3000,0.30,3.40,6000,-,-,-,-,-,-,718.75
3,-,-,-,-,-,-,-,-,-,-,620.00,7000,0.40,2.90,4000,1.00,2.00,-,5,3000,4000,718.75
4,1000,-,-,-,-,-,-,-,-,-,630.00,11000,0.55,4.00,11000,-,-,-,-,-,2000,718.75
5,2000,-,-,-,-,-,9000,82.00,89.70,9000,640.00,5000,2.55,3.60,5000,1.65,3.20,-,29,23000,49000,718.75
6,2000,-,-,-,-,-,7000,47.70,124.90,7000,650.00,4000,3.60,4.05,1000,2.00,3.90,-,110,62000,88000,718.75
7,-,-,-,-,-,-,8000,62.95,73.60,8000,660.00,5000,4.70,5.15,1000,2.35,4.95,-,31,17000,63000,718.75
8,1000,-,-,-,-,-,3000,56.65,62.65,10000,670.00,5000,6.30,6.95,1000,3.50,6.80,-,29,20000,36000,718.75
9,2000,-,-,-,-,-,4000,50.10,53.00,2000,680.00,4000,8.35,8.55,2000,3.80,8.40,-,320,40000,145000,718.75
10,3000,-,-,-,-,-,1000,42.15,45.95,4000,690.00,2000,10.55,11.45,1000,4.85,10.65,-,70,26000,64000,718.75
11,18000,8000,17,-,37.00,-17.60,1000,36.30,37.80,1000,700.00,3000,14.10,14.40,1000,6.40,14.05,-,785,134000,448000,718.75
12,2000,2000,4,-,31.00,-59.20,6000,29.65,32.55,8000,710.00,1000,17.80,18.40,1000,8.00,18.00,-,123,27000,53000,718.75
13,68000,67000,100,-,26.00,-52.00,1000,25.50,26.25,3000,720.00,1000,22.25,22.55,2000,9.40,22.30,-,626,43000,235000,718.75
14,127000,121000,234,-,21.05,-12.60,1000,20.85,21.05,1000,730.00,1000,27.00,27.80,1000,10.40,26.90,-,464,58000,106000,718.75
15,290000,222000,655,-,16.65,-10.15,1000,16.70,16.80,1000,740.00,3000,32.70,33.85,1000,12.65,33.15,-,244,25000,170000,718.75
16,572000,294000,1040,-,13.40,-8.45,3000,13.40,13.60,2000,750.00,2000,39.35,40.40,1000,13.65,39.15,29.44,122,4000,132000,718.75
17,473000,265000,1202,-,10.35,-6.95,1000,10.35,10.45,1000,760.00,1000,46.25,47.45,1000,15.15,46.00,-,27,2000,102000,718.75
18,312000,170000,811,-,7.95,-5.50,2000,7.80,8.00,3000,770.00,1000,53.15,54.45,1000,16.15,52.00,-,16,-8000,58000,718.75
19,577000,144000,1032,-,6.30,-4.35,3000,6.15,6.30,1000,780.00,1000,62.00,63.25,1000,18.45,62.45,-,13,-4000,64000,718.75
20,246000,53000,439,-,4.80,-3.45,1000,4.70,4.80,3000,790.00,22000,67.25,73.00,2000,12.45,67.00,-,3,-,32000,718.75
21,1130000,299000,930,-,4.00,-2.50,4000,3.80,4.00,5000,800.00,1000,79.70,80.80,2000,18.55,78.50,-,14,3000,80000,718.75
22,228000,16000,136,-,3.00,-2.05,4000,2.90,3.00,3000,810.00,17000,85.75,-,-,15.15,82.75,-,12,-10000,6000,718.75
23,465000,12000,351,-,2.50,-1.55,2000,2.45,2.55,5000,820.00,1000,98.05,100.85,5000,-,-,-,-,-,4000,718.75
24,138000,14000,91,-,2.00,-1.15,1000,1.90,2.10,1000,830.00,2000,106.35,110.85,1000,-,-,-,-,-,3000,718.75
25,185000,15000,157,-,1.40,-1.00,2000,1.40,1.50,5000,840.00,2000,117.25,120.25,3000,-,-,-,-,-,6000,718.75
26,171000,-7000,126,-,1.10,-0.80,1000,1.15,1.25,4000,850.00,1000,126.35,128.75,1000,19.15,122.65,-,2,-,3000,718.75
27,94000,-39000,81,-,0.95,-0.50,1000,0.95,1.15,2000,860.00,2000,133.80,138.60,2000,-,-,-,-,-,6000,718.75
28,23000,1000,10,-,0.85,-0.35,1000,0.85,1.00,1000,870.00,2000,142.70,149.40,2000,-,-,-,-,-,-,718.75
29,37000,-,4,-,0.75,-0.25,1000,0.65,0.70,1000,880.00,1000,140.00,-,-,48.65,144.65,-,1,1000,2000,718.75
30,1000,-,1,-,0.50,-0.75,3000,0.20,1.25,1000,890.00,4000,162.05,169.00,2000,-,-,-,-,-,-,718.75
31,240000,7000,13,-,0.50,-0.25,2000,0.50,0.55,20000,900.00,1000,175.20,-,-,14.90,169.55,-,7,-2000,7000,718.75
32,-,-,-,-,-,-,3000,0.05,2.40,8000,910.00,4000,181.75,188.70,2000,-,-,-,-,-,-,718.75
33,-,-,-,-,-,-,-,-,1.50,5000,920.00,4000,191.60,200.20,4000,-,-,-,-,-,2000,718.75
34,-,-,-,-,-,-,16000,0.10,0.75,5000,930.00,6000,202.50,208.40,4000,-,-,-,-,-,7000,718.75
35,-,-,-,-,-,-,-,-,1.00,1000,940.00,4000,211.40,218.40,2000,-,-,-,-,-,-,718.75
36,1000,1000,1,-,0.30,-18.90,12000,0.05,0.80,2000,960.00,2000,231.20,238.15,2000,-,-,-,-,-,-,718.75
