,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,1125,1315.95,1565.90,7500,9600.00,-,-,0.35,4950,-0.40,0.10,-,10,-,750,10990.5
1,-,-,-,-,-,-,1125,1224.30,1450.95,1125,9650.00,-,-,0.45,4950,-,-,-,-,-,-,10990.5
2,-,-,-,-,-,-,1125,1174.10,1457.10,7500,9700.00,-,-,0.25,4125,-0.75,0.05,-,61,-,4575,10990.5
3,-,-,-,-,-,-,1125,1132.40,1310.75,1125,9750.00,-,-,0.10,600,-,-,-,-,-,450,10990.5
4,-,-,-,-,-,-,75,1137.90,1239.75,75,9800.00,-,-,0.15,900,-0.20,0.15,-,16,1050,1875,10990.5
5,-,-,-,-,-,-,1125,1031.50,1205.95,1125,9850.00,-,-,0.20,1800,-,-,-,-,-,-,10990.5
6,-,-,-,-,-,-,1125,982.75,1153.45,1125,9900.00,-,-,0.20,900,-,0.15,-,1,-,300,10990.5
7,-,-,-,-,-,-,1125,1005.85,1054.15,4950,9950.00,-,-,0.15,300,-0.35,0.15,-,35,525,675,10990.5
8,225,-,5,-,1022.25,-63.75,75,973.50,1004.45,75,10000.00,3900,0.05,0.10,11625,-0.35,0.05,-,799,13125,176625,10990.5
9,-,-,-,-,-,-,1125,906.70,955.00,4950,10050.00,-,-,0.20,1800,-0.40,0.05,-,257,5775,7125,10990.5
10,-,-,-,-,-,-,1125,857.25,905.55,4950,10100.00,-,-,0.20,300,-0.40,0.20,-,1,-,1050,10990.5
11,-,-,-,-,-,-,4950,807.65,855.95,4950,10150.00,-,-,0.25,75,-,-,-,-,-,600,10990.5
12,-,-,-,-,-,-,1125,757.70,805.95,4950,10200.00,-,-,0.20,300,-,-,-,-,-,300,10990.5
13,75,-,-,-,-,-,75,738.00,756.25,4950,10250.00,-,-,0.15,750,-0.55,0.05,-,3,-,1950,10990.5
14,-,-,-,-,-,-,75,665.20,706.85,75,10300.00,-,-,0.20,2550,-0.15,0.20,-,1,75,3000,10990.5
15,-,-,-,-,-,-,1125,608.60,656.95,4950,10350.00,-,-,0.20,225,-,-,-,-,-,-,10990.5
16,150,-,1,-,600.15,-355.85,75,588.00,606.95,75,10400.00,-,-,0.10,75,-0.35,0.05,-,6,-75,1050,10990.5
17,-,-,-,-,-,-,1125,508.45,556.80,4950,10450.00,-,-,0.20,150,-,-,-,-,-,-,10990.5
18,1275,900,26,-,480.55,-65.45,375,483.80,490.00,900,10500.00,62625,0.05,0.10,6825,-0.75,0.05,-,2991,-21450,262800,10990.5
19,-,-,-,-,-,-,1125,409.35,456.05,4950,10550.00,-,-,0.20,1350,-,-,-,-,-,1350,10990.5
20,1575,1500,29,-,382.15,-105.40,75,388.00,399.10,4950,10600.00,38250,0.05,0.10,15375,-0.55,0.05,-,1968,-53700,84525,10990.5
21,-,-,-,-,-,-,75,319.25,356.85,75,10650.00,1275,0.05,0.15,7575,-0.50,0.05,-,66,975,3825,10990.5
22,3150,2175,72,-,289.40,-116.05,75,288.00,291.45,150,10700.00,225150,0.05,0.10,64350,-0.70,0.05,-,5835,-2475,393600,10990.5
23,-,-,-,-,-,-,150,223.45,247.75,75,10750.00,156150,0.05,0.10,375,-0.80,0.10,-,4376,-12300,151425,10990.5
24,20775,2475,822,-,189.75,-119.40,75,188.70,189.95,75,10800.00,45900,0.15,0.20,46875,-1.05,0.15,-,41111,-33375,763575,10990.5
25,14775,5250,416,-,139.35,-124.65,150,137.90,140.60,75,10850.00,6075,0.30,0.35,23550,-1.30,0.30,-,44999,277650,568800,10990.5
26,227925,173025,21120,-,90.50,-117.00,75,89.85,90.60,300,10900.00,10350,1.65,1.75,5850,-0.85,1.75,-,281923,1438350,2994825,10990.5
27,522000,497325,42568,-,47.75,-110.55,75,47.50,47.85,225,10950.00,1200,6.65,6.75,450,2.70,6.75,-,348707,1309050,2096250,10990.5
28,4108350,3820725,343827,-,18.70,-93.70,900,18.55,18.70,2625,11000.00,225,21.95,22.15,225,14.65,21.95,-,607436,108450,2520600,10990.5
29,4662825,4181175,466848,-,5.00,-65.05,2250,4.90,4.95,375,11050.00,150,54.15,54.50,150,41.45,54.30,-,293942,-228600,740625,10990.5
30,6417750,5032725,626574,-,1.40,-37.35,1275,1.35,1.40,10050,11100.00,150,98.35,98.80,150,71.95,98.50,-,179471,-1006875,994125,10990.5
