,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,400,-,-,-,-,-,400,297.00,-,-,1200.00,-,-,1.00,1200,-,-,-,-,-,1200,1548.95
1,400,-,-,-,-,-,400,210.00,-,-,1250.00,400,0.05,-,-,-,-,-,-,-,400,1548.95
2,400,-,-,-,-,-,-,-,-,-,1300.00,1600,0.05,1.00,1200,-,-,-,-,-,3200,1548.95
3,400,-,-,-,-,-,2800,193.75,209.35,2800,1350.00,400,0.10,1.95,400,-1.90,0.10,100.41,1,-400,2000,1548.95
4,400,-800,2,-,130.95,53.05,2000,119.65,-,-,1400.00,1600,0.15,0.50,400,0.35,1.00,104.98,8,-1200,8000,1548.95
5,4000,-800,2,-,90.00,-42.75,2000,78.60,-,-,1450.00,800,0.50,1.50,400,-5.65,0.50,85.64,15,-4800,6000,1548.95
6,13200,-800,13,27.82,53.10,7.90,2800,43.20,56.60,400,1500.00,400,1.15,2.35,800,-2.45,2.35,48.08,50,-7600,20800,1548.95
7,42400,-10000,92,26.92,7.35,-4.10,800,8.35,10.25,400,1550.00,400,7.05,10.65,800,-2.60,9.80,30.86,27,-5600,6800,1548.95
8,28800,-26800,98,50.35,1.00,-2.00,2400,0.70,3.40,400,1600.00,1200,33.00,76.40,2400,-,-,-,-,-,4000,1548.95
9,15200,-8000,23,55.01,0.25,-1.15,1600,0.50,0.90,400,1650.00,2800,87.50,104.60,2800,-,-,-,-,-,1600,1548.95
10,5600,-2000,7,74.85,0.20,0.05,1200,0.05,0.60,400,1700.00,2800,137.45,154.65,2800,-,-,-,-,-,400,1548.95
11,-,-,-,-,-,-,-,-,-,-,1750.00,-,-,-,-,-,-,-,-,-,-,1548.95
