,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,-,-,-,-,540.00,-,-,-,-,-,-,-,-,-,800,625.0
1,-,-,-,-,-,-,-,-,-,-,560.00,-,-,-,-,-,-,-,-,-,2400,625.0
2,-,-,-,-,-,-,-,-,-,-,570.00,-,-,-,-,-,-,-,-,-,3200,625.0
3,-,-,-,-,-,-,-,-,-,-,580.00,-,-,-,-,-,-,-,-,-,3200,625.0
4,1600,-,-,-,-,-,-,-,-,-,590.00,-,-,-,-,-,-,-,-,-,800,625.0
5,1600,-,-,-,-,-,-,-,-,-,600.00,-,-,-,-,-,-,37.45,-,-,7200,625.0
6,3200,-,-,-,-,-,-,-,-,-,610.00,-,-,-,-,-,-,-,-,-,2400,625.0
7,2400,-,-,48.39,-,-,-,-,-,-,620.00,-,-,-,-,-,-,-,-,-,1600,625.0
8,2400,-,-,-,-,-,-,-,-,-,630.00,-,-,-,-,-,-,-,-,-,3200,625.0
9,11200,-,-,45.05,-,-,-,-,-,-,640.00,-,-,-,-,-,-,-,-,-,2400,625.0
10,3200,-,-,-,-,-,-,-,-,-,650.00,-,-,-,-,-,-,-,-,-,1600,625.0
11,4000,-,-,-,-,-,-,-,-,-,660.00,-,-,-,-,-,-,-,-,-,2400,625.0
12,1600,-,-,-,-,-,-,-,-,-,670.00,-,-,-,-,-,-,-,-,-,3200,625.0
13,12800,-,-,-,-,-,-,-,-,-,680.00,-,-,-,-,-,-,-,-,-,1600,625.0
14,800,-,-,-,-,-,-,-,-,-,700.00,-,-,-,-,-,-,-,-,-,3200,625.0
15,800,-,-,-,-,-,-,-,-,-,760.00,-,-,-,-,-,-,-,-,-,-,625.0
