,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,22000,-,6,-,232.50,-0.50,5500,226.15,234.25,7000,980.00,500,0.60,1.00,500,-,-,-,-,-,8500,1210.9
1,27000,-,-,-,-,-,2000,206.35,215.85,3000,1000.00,3500,0.90,1.35,500,-,1.05,34.82,24,6500,30000,1210.9
2,1000,500,1,-,188.00,-52.00,6000,185.20,195.40,3000,1020.00,500,1.70,2.20,500,1.75,2.00,35.70,21,7500,8000,1210.9
3,-,-,-,-,-,-,6000,166.45,177.00,6000,1040.00,1000,2.00,3.20,500,-,-,-,-,-,-,1210.9
4,-,-,-,-,-,-,500,149.60,155.05,500,1060.00,1000,2.40,3.00,500,-0.05,3.00,32.63,38,7000,28500,1210.9
5,500,-,-,-,-,-,500,131.75,136.00,500,1080.00,1000,3.90,4.40,500,0.10,4.10,31.26,76,23000,56500,1210.9
6,14500,1000,15,-,118.00,-,500,114.60,116.80,500,1100.00,2500,5.75,5.90,2000,0.15,5.65,30.42,740,64500,273000,1210.9
7,-,-,-,-,-,-,500,96.35,100.10,500,1120.00,500,7.90,8.65,5500,0.65,8.50,30.12,228,33000,107000,1210.9
8,20500,2000,21,15.86,81.00,-4.95,500,81.35,83.25,500,1140.00,2000,11.70,11.80,500,0.60,11.90,29.33,976,56000,178500,1210.9
9,19000,3500,20,19.28,66.15,-4.20,1500,66.25,67.65,1000,1160.00,2000,16.35,16.50,2000,0.40,16.45,29.04,1859,43500,311500,1210.9
10,33000,14000,84,21.16,55.00,-1.10,500,53.30,53.95,500,1180.00,500,22.75,22.90,1000,0.90,22.95,29.07,1496,56500,301500,1210.9
11,236500,80000,1198,21.38,41.55,-2.10,1000,41.70,41.95,500,1200.00,500,30.70,30.90,1000,0.85,30.90,29.21,3507,77500,693500,1210.9
12,621500,206500,2807,22.31,32.00,-1.80,1000,32.05,32.25,500,1220.00,2000,40.40,40.75,2500,0.95,40.70,29.51,1076,46000,353000,1210.9
13,907000,171000,2862,22.69,23.65,-1.85,1000,23.85,24.00,500,1240.00,500,52.20,52.85,1000,0.50,53.00,30.40,606,45500,1069000,1210.9
14,1049500,98500,2776,23.07,17.30,-1.35,2500,17.35,17.55,1500,1260.00,500,65.00,66.25,1500,0.45,64.40,29.55,104,-6500,234500,1210.9
15,714000,66500,1498,23.33,12.20,-1.15,1500,12.20,12.30,3500,1280.00,500,80.05,81.20,2000,1.55,79.45,30.09,16,-500,177500,1210.9
16,1437500,94000,1689,23.86,8.60,-0.90,4000,8.50,8.65,2000,1300.00,500,95.05,97.45,500,3.90,98.00,26.08,32,2000,205000,1210.9
17,467500,47000,706,23.90,6.00,-0.55,2500,5.70,5.85,2500,1320.00,500,112.90,114.85,500,1.25,112.00,31.81,9,-1500,40000,1210.9
18,1019000,-26500,630,24.35,4.20,-0.35,6000,3.95,4.05,4000,1340.00,1000,130.00,133.05,500,-0.75,129.25,32.57,3,1000,30500,1210.9
19,253500,-13500,258,24.84,2.85,-0.30,2500,2.70,2.80,3000,1360.00,500,148.20,150.95,500,-,-,-,-,-,39000,1210.9
20,141000,12000,98,25.42,1.95,-0.25,500,1.90,2.00,3500,1380.00,6000,165.65,170.75,500,-,-,-,-,-,27000,1210.9
21,374000,3500,180,26.84,1.60,-0.05,4500,1.55,1.65,1500,1400.00,500,186.50,190.55,500,-1.20,187.00,39.58,3,-,70000,1210.9
22,67000,2000,13,27.61,1.20,-,1000,1.00,1.35,1000,1420.00,9500,203.55,209.95,1000,6.65,206.00,41.17,1,-,5500,1210.9
23,12000,500,1,28.81,1.00,-0.20,500,0.85,1.10,1000,1440.00,7500,222.75,229.50,500,-,-,-,-,-,25000,1210.9
24,4500,-,1,-,1.00,0.20,1500,0.40,1.00,500,1460.00,5500,240.90,250.60,500,35.95,250.45,-,1,-,5500,1210.9
25,1000,-,-,-,-,-,500,0.30,1.00,1000,1480.00,4500,262.30,272.90,4500,-,-,-,-,-,7500,1210.9
26,99500,-1000,6,32.12,0.60,-0.15,1000,0.60,0.65,500,1500.00,5000,281.10,288.80,500,-,-,-,-,-,51500,1210.9
27,6000,-,-,-,-,-,1500,0.10,1.00,500,1520.00,2000,301.60,312.65,2000,-,-,-,-,-,12000,1210.9
28,-,-,-,-,-,-,1500,0.05,1.65,1000,1540.00,4500,321.70,332.15,4500,-,-,-,-,-,19000,1210.9
29,-,-,-,-,-,-,1500,0.05,1.60,3000,1560.00,2000,341.25,352.65,2000,-,-,-,-,-,2500,1210.9
30,-,-,-,-,-,-,11000,0.05,1.15,1000,1580.00,2000,361.40,372.25,2000,-,-,-,-,-,-,1210.9
31,25000,1500,3,35.58,0.20,-,1500,0.15,0.25,2000,1600.00,9000,381.85,390.55,7500,-,-,-,-,-,45000,1210.9
