,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,1250,-,-,-,-,-,2500,306.75,322.65,1750,1800.00,250,1.50,1.95,250,-1.40,2.00,29.28,2,-,4000,2106.2
1,-,-,-,-,-,-,2500,286.70,302.40,1500,1820.00,2000,0.50,3.85,250,-,-,-,-,-,-,2106.2
2,-,-,-,-,-,-,2500,267.80,282.05,1500,1840.00,250,1.00,4.60,750,-,-,-,-,-,-,2106.2
3,500,-,-,-,-,-,3000,249.90,263.75,1500,1860.00,500,0.55,6.30,2500,-,-,-,-,-,-,2106.2
4,-,-,-,-,-,-,2000,230.30,243.45,1500,1880.00,500,1.25,7.85,4750,-,-,-,-,-,-,2106.2
5,250,-,-,-,-,-,750,211.30,222.50,750,1900.00,1250,2.80,3.90,250,-1.75,3.20,23.39,17,2750,6000,2106.2
6,-,-,-,-,-,-,750,192.70,204.45,1000,1920.00,500,1.35,8.40,2750,-,-,-,-,-,-,2106.2
7,-,-,-,-,-,-,1500,173.75,185.25,500,1940.00,500,2.10,9.20,1250,-,-,-,-,-,-,2106.2
8,-,-,-,-,-,-,1000,155.40,166.60,500,1960.00,3500,2.50,9.45,750,-,-,-,-,-,500,2106.2
9,-,-,-,-,-,-,2000,137.65,148.40,750,1980.00,250,5.50,10.00,500,-32.10,8.00,20.78,1,-,-,2106.2
10,4000,-,1,-,120.00,-15.00,250,125.05,127.95,250,2000.00,500,10.85,11.70,750,1.00,11.30,21.01,179,7000,46250,2106.2
11,-,-,-,-,-,-,2500,104.35,115.55,750,2020.00,1500,11.00,17.00,250,2.70,21.00,24.18,1,250,1500,2106.2
12,250,250,2,14.82,97.60,-101.60,250,92.20,99.00,250,2040.00,250,18.80,19.70,250,5.25,19.10,20.66,30,1250,12500,2106.2
13,2500,-,3,16.41,85.00,-10.00,250,77.70,82.05,250,2060.00,750,24.45,24.75,750,6.80,24.45,20.64,809,3750,44750,2106.2
14,3500,-750,8,15.10,68.05,-14.90,250,66.00,69.15,250,2080.00,250,32.30,32.60,250,9.45,32.45,20.56,803,2750,36250,2106.2
15,47250,25500,277,15.73,56.70,-14.10,250,55.90,56.80,250,2100.00,750,39.10,39.40,750,9.50,38.85,20.62,1031,20250,98500,2106.2
16,57500,30250,673,15.95,44.35,-13.60,250,44.25,44.65,250,2120.00,250,50.05,50.50,250,12.80,49.80,21.18,462,5250,28750,2106.2
17,77000,22000,1060,16.23,35.80,-12.65,250,35.60,35.95,500,2140.00,250,59.50,60.00,500,12.65,59.65,21.18,115,250,13750,2106.2
18,38250,-4000,876,16.28,28.40,-10.75,500,28.25,28.45,250,2160.00,500,70.35,72.10,250,17.20,73.55,22.20,17,1250,15750,2106.2
19,38000,15000,752,16.75,23.15,-8.00,1250,22.95,23.20,1000,2180.00,250,82.65,86.65,250,17.00,84.55,21.67,2,250,4500,2106.2
20,123750,38250,606,17.07,18.20,-6.55,750,18.25,18.55,250,2200.00,250,99.30,105.50,500,22.50,100.05,22.58,11,750,29250,2106.2
21,31500,20750,316,17.35,14.15,-5.50,500,13.70,14.25,750,2220.00,250,113.50,120.10,250,-,-,-,-,-,1250,2106.2
22,10500,500,3,16.46,9.00,-6.90,1000,9.10,12.15,250,2240.00,3750,129.05,140.05,1250,-,-,-,-,-,6750,2106.2
23,2250,750,8,17.63,8.00,-2.80,250,7.00,10.95,250,2260.00,2750,144.30,156.30,3750,-,-,-,-,-,5000,2106.2
24,-,-500,2,19.38,8.00,-1.50,500,3.60,7.00,250,2280.00,1000,161.50,172.50,250,-,-,-,-,-,-,2106.2
25,102000,11500,189,18.55,5.00,-1.45,500,4.85,5.00,500,2300.00,1000,185.90,193.20,250,24.50,189.00,28.93,1,250,8750,2106.2
26,500,-250,4,19.57,4.50,-7.50,250,3.00,4.90,500,2320.00,4000,197.30,210.20,500,-,-,-,-,-,-,2106.2
27,-,-,-,-,-,-,250,2.00,5.00,500,2340.00,3000,217.65,230.50,1500,-,-,-,-,-,-,2106.2
28,-,-,-,-,-,-,2000,1.10,4.50,250,2360.00,2000,236.85,250.05,1500,-,-,-,-,-,-,2106.2
29,-,-,-,-,-,-,2000,1.10,4.75,2500,2380.00,4000,254.20,270.70,1500,-,-,-,-,-,-,2106.2
30,6500,250,1,24.06,3.60,-0.30,250,2.00,2.90,250,2400.00,3500,275.55,288.25,1500,-,-,-,-,-,-,2106.2
31,-,-,-,-,-,-,1000,0.85,4.75,1000,2420.00,2500,293.85,309.25,1500,-,-,-,-,-,-,2106.2
32,-,-,-,-,-,-,1000,1.05,4.75,2000,2440.00,2500,313.90,329.65,1500,-,-,-,-,-,-,2106.2
33,2500,-,-,-,-,-,2000,0.75,3.30,1250,2460.00,2500,334.10,349.30,2500,-,-,-,-,-,1750,2106.2
34,750,-,-,-,-,-,2000,0.65,2.40,500,2480.00,1500,353.85,367.75,1500,-,-,-,-,-,500,2106.2
