,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,-,-,280.85,30000,520.00,-,-,-,-,-,-,-,-,-,-,748.75
1,-,-,-,-,-,-,-,-,256.70,30000,540.00,-,-,-,-,-,-,-,-,-,-,748.75
2,-,-,-,-,-,-,-,-,232.55,30000,560.00,-,-,-,-,-,-,-,-,-,-,748.75
3,-,-,-,-,-,-,-,-,208.40,30000,580.00,-,-,-,-,-,-,-,-,-,-,748.75
4,-,-,-,-,-,-,30000,127.55,184.25,30000,600.00,1200,0.05,2.95,1200,-,-,-,-,-,-,748.75
5,-,-,-,-,-,-,30000,118.15,176.80,30000,610.00,-,-,-,-,-,-,-,-,-,-,748.75
6,-,-,-,-,-,-,30000,107.75,164.75,30000,620.00,-,-,-,-,-,-,-,-,-,-,748.75
7,-,-,-,-,-,-,30000,98.95,145.70,30000,630.00,-,-,-,-,-,-,-,-,-,-,748.75
8,-,-,-,-,-,-,30000,90.55,134.25,30000,640.00,-,-,-,-,-,-,-,-,-,-,748.75
9,-,-,-,-,-,-,30000,83.95,122.80,30000,650.00,4800,0.55,2.00,1200,-,-,-,-,-,-,748.75
10,-,-,-,-,-,-,3600,75.65,114.75,3600,660.00,2400,1.30,2.95,2400,-1.60,1.25,54.00,6,7200,7200,748.75
11,-,-,-,-,-,-,3600,67.00,109.05,30000,670.00,2400,1.65,-,-,-,-,-,-,-,-,748.75
12,1200,-,-,-,-,-,9600,59.00,96.45,30000,680.00,2400,3.05,-,-,-,-,-,-,-,-,748.75
13,-,-,-,-,-,-,14400,58.20,67.30,9600,690.00,1200,3.50,5.80,1200,1.20,6.10,61.20,9,2400,6000,748.75
14,-,-,2,70.75,62.35,-87.40,1200,54.15,56.80,1200,700.00,1200,5.00,6.00,1200,-0.35,5.50,46.66,518,24000,145200,748.75
15,2400,2400,2,88.59,62.10,-17.15,1200,18.50,56.60,13200,710.00,1200,6.60,9.80,2400,5.15,6.50,48.63,3,1200,2400,748.75
16,-,-,-,-,-,-,1200,37.65,40.95,1200,720.00,1200,8.55,9.45,1200,5.20,9.40,51.81,18,6000,19200,748.75
17,-,-,3,78.81,45.95,-18.40,2400,28.95,40.40,13200,730.00,3600,10.60,15.15,1200,4.50,13.00,50.32,30,3600,24000,748.75
18,4800,4800,12,54.13,29.75,-87.55,1200,25.15,27.00,1200,740.00,1200,15.55,15.75,1200,2.55,15.80,48.49,702,105600,134400,748.75
19,68400,67200,166,49.01,21.75,-19.55,2400,21.05,21.50,2400,750.00,2400,20.45,21.00,1200,3.45,20.50,47.75,798,60000,135600,748.75
20,213600,204000,643,47.22,16.95,-18.05,3600,16.50,17.05,1200,760.00,1200,25.45,26.20,2400,5.65,26.25,47.83,367,10800,170400,748.75
21,136800,91200,435,48.36,13.15,-16.40,1200,13.10,13.35,1200,770.00,2400,31.55,32.50,1200,7.85,32.50,47.97,107,-28800,40800,748.75
22,195600,87600,966,48.81,10.35,-14.25,2400,10.20,10.50,2400,780.00,6000,37.65,39.30,1200,10.65,40.85,52.61,55,-7200,93600,748.75
23,111600,33600,348,49.48,7.95,-11.95,1200,7.70,7.85,2400,790.00,1200,44.25,49.20,1200,12.50,47.70,51.50,33,-3600,38400,748.75
24,405600,163200,855,49.91,6.30,-10.20,7200,6.20,6.40,1200,800.00,1200,53.80,55.50,1200,14.35,55.40,51.16,34,-3600,99600,748.75
25,85200,19200,99,50.45,4.50,-8.65,2400,4.35,4.90,3600,810.00,1200,62.60,65.85,1200,23.00,63.50,50.54,9,2400,36000,748.75
