,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,1750,13.60,108.70,1750,80.00,5250,0.40,0.50,3500,0.05,0.50,207.26,10,3500,52500,137.3
1,1750,-,-,-,-,-,1750,4.10,98.25,1750,90.00,7000,0.90,0.95,3500,-,0.95,192.25,134,78750,479500,137.3
2,5250,-,-,-,-,-,10500,37.85,39.40,1750,100.00,1750,1.45,1.50,5250,0.25,1.45,170.09,360,-22750,1170750,137.3
3,10500,-,1,136.76,29.00,-4.00,3500,28.85,30.80,3500,110.00,22750,2.30,2.35,12250,0.50,2.35,152.03,387,49000,1247750,137.3
4,52500,3500,4,121.08,20.30,-4.50,3500,21.30,21.75,3500,120.00,21000,4.05,4.15,40250,0.80,4.10,141.60,1232,222250,2350250,137.3
5,708750,77000,210,135.23,14.70,-2.30,3500,14.60,14.90,5250,130.00,5250,7.10,7.15,15750,1.35,7.10,134.36,1991,28000,2913750,137.3
6,3328500,775250,2070,131.38,9.50,-1.65,10500,9.45,9.60,24500,140.00,10500,11.70,11.85,10500,1.95,11.85,128.37,1571,22750,3368750,137.3
7,5265750,311500,1939,133.85,6.15,-1.05,17500,6.10,6.15,1750,150.00,7000,18.15,18.35,1750,2.30,18.25,128.96,282,-33250,2058000,137.3
8,4688250,28000,1172,137.67,3.95,-0.70,17500,3.90,4.00,19250,160.00,3500,25.85,26.20,5250,3.25,26.55,137.67,28,3500,1580250,137.3
9,5554500,124250,675,140.33,2.60,-0.40,7000,2.55,2.60,21000,170.00,1750,34.50,35.10,1750,2.90,34.80,134.97,12,-3500,1190000,137.3
10,5817000,-106750,997,144.69,1.65,-0.25,77000,1.60,1.65,66500,180.00,1750,43.70,44.25,3500,2.85,43.45,123.98,16,-,1125250,137.3
11,3493000,-40250,555,147.16,1.10,-0.25,57750,1.05,1.10,66500,190.00,3500,53.15,53.70,1750,4.85,54.90,181.24,2,-,579250,137.3
12,9324000,330750,1419,150.80,0.70,-0.15,372750,0.65,0.70,98000,200.00,1750,62.40,62.90,1750,3.05,62.75,124.95,5,-7000,798000,137.3
13,2586500,103250,442,158.42,0.55,-0.10,1750,0.50,0.55,231000,210.00,1750,72.40,74.90,3500,4.10,72.90,150.52,1,-,533750,137.3
14,4186000,43750,153,155.69,0.30,-0.05,703500,0.25,0.30,96250,220.00,1750,81.90,82.45,1750,4.80,82.50,117.74,9,-1750,665000,137.3
15,3340750,-10500,59,158.07,0.20,-0.10,565250,0.20,0.25,399000,230.00,1750,92.05,94.60,5250,3.75,92.35,-,6,-3500,1365000,137.3
16,2864750,-61250,127,174.09,0.25,-0.05,155750,0.20,0.25,414750,240.00,1750,101.25,102.40,1750,2.50,102.00,-,2,-,500500,137.3
17,3314500,-64750,178,172.46,0.15,-0.10,696500,0.15,0.20,210000,250.00,1750,111.95,112.45,1750,2.40,112.00,-,2,-,360500,137.3
18,2315250,-5250,56,188.66,0.20,-0.05,397250,0.15,0.20,59500,260.00,3500,121.20,122.35,3500,6.85,122.85,213.01,1,-,260750,137.3
19,1401750,-10500,19,190.85,0.20,-,7000,0.15,0.20,108500,270.00,1750,131.65,132.45,1750,3.20,132.50,250.15,7,-,283500,137.3
20,1694000,-3500,11,190.22,0.10,-0.05,444500,0.10,0.15,14000,280.00,1750,141.15,142.30,5250,8.45,144.00,289.83,6,-3500,152250,137.3
21,924000,-,61,198.15,0.10,-0.05,131250,0.10,0.15,143500,290.00,1750,150.90,152.50,1750,-,-,-,-,-,42000,137.3
22,1431500,-17500,13,205.75,0.10,-0.05,392000,0.10,0.15,112000,300.00,1750,161.60,162.35,1750,-,-,-,-,-,218750,137.3
23,173250,-,-,-,-,-,15750,0.10,0.15,10500,310.00,1750,136.85,205.10,1750,-,-,-,-,-,-,137.3
24,236250,-5250,13,220.09,0.10,-0.05,204750,0.05,0.10,8750,320.00,1750,148.90,218.75,1750,-,-,-,-,-,7000,137.3
25,544250,-,3,226.86,0.10,-0.05,213500,0.05,0.10,14000,330.00,3500,189.70,192.35,3500,-,-,-,-,-,31500,137.3
