,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,2460,3832.00,4924.20,2460,27000.00,900,0.15,-,-,-,-,-,-,-,-,31366.45
1,-,-,-,-,-,-,2460,3739.95,4812.75,2460,27100.00,-,-,-,-,-,-,-,-,-,-,31366.45
2,-,-,-,-,-,-,2460,3650.85,4700.00,2460,27200.00,-,-,-,-,-,-,-,-,-,-,31366.45
3,-,-,-,-,-,-,2460,3561.30,4586.55,2460,27300.00,-,-,-,-,-,-,-,-,-,-,31366.45
4,-,-,-,-,-,-,2460,3471.70,4475.70,2460,27400.00,-,-,-,-,-,-,-,-,-,-,31366.45
5,-,-,-,-,-,-,2460,3381.20,4361.70,2460,27500.00,900,0.15,-,-,-,-,-,-,-,-,31366.45
6,-,-,-,-,-,-,2460,3292.50,4250.10,2460,27600.00,-,-,-,-,-,-,-,-,-,-,31366.45
7,-,-,-,-,-,-,2460,3201.35,4137.15,2460,27700.00,-,-,-,-,-,-,-,-,-,-,31366.45
8,-,-,-,-,-,-,2460,3109.90,4025.40,2460,27800.00,-,-,-,-,-,-,-,-,-,-,31366.45
9,-,-,-,-,-,-,2460,3020.25,3913.95,2460,27900.00,-,-,-,-,-,-,-,-,-,-,31366.45
10,-,-,-,-,-,-,2460,2929.60,3799.75,2460,28000.00,900,0.20,-,-,-,-,-,-,-,-,31366.45
11,-,-,-,-,-,-,2460,2839.60,3687.70,2460,28100.00,-,-,-,-,-,-,-,-,-,-,31366.45
12,-,-,-,-,-,-,2460,2749.20,3576.10,2460,28200.00,-,-,-,-,-,-,-,-,-,-,31366.45
13,-,-,-,-,-,-,2460,2660.25,3464.85,2460,28300.00,-,-,-,-,-,-,-,-,-,-,31366.45
14,-,-,-,-,-,-,2460,2568.30,3352.50,2460,28400.00,-,-,-,-,-,-,-,-,-,-,31366.45
15,-,-,-,-,-,-,2460,2479.70,3239.85,2460,28500.00,600,0.30,-,-,-,-,-,-,-,-,31366.45
16,-,-,-,-,-,-,2460,2389.45,3127.50,2460,28600.00,-,-,-,-,-,-,-,-,-,-,31366.45
17,-,-,-,-,-,-,2460,2347.30,3015.20,2460,28700.00,-,-,-,-,-,-,-,-,-,-,31366.45
18,-,-,-,-,-,-,2460,2253.35,2901.25,2460,28800.00,-,-,-,-,-,-,-,-,-,-,31366.45
19,-,-,-,-,-,-,2460,2163.50,2789.55,2460,28900.00,-,-,-,-,-,-,-,-,-,-,31366.45
20,-,-,-,-,-,-,2460,2072.80,2677.20,2460,29000.00,160,1.25,75.00,20,-,-,-,-,-,-,31366.45
21,-,-,-,-,-,-,2460,1981.70,2551.55,2460,29100.00,-,-,-,-,-,-,-,-,-,-,31366.45
