,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,120,80,24,59.36,2316.00,270.70,20,2250.05,2287.05,20,25200.00,40,2.00,2.05,1020,-2.05,2.05,38.82,2554,-5000,83900,27470.6
1,-,-,-,-,-,-,100,2126.40,2229.10,100,25300.00,20,2.45,2.75,480,-2.10,2.60,38.32,975,-2300,14440,27470.6
2,-,-,-,-,-,-,100,2026.95,2129.00,100,25400.00,540,3.00,3.20,440,-2.60,3.20,37.68,4314,2000,20440,27470.6
3,-,-,-,-,-,-,100,1925.80,2029.30,100,25500.00,20,3.40,3.50,260,-3.50,3.45,36.52,11834,14180,103120,27470.6
4,60,-,6,60.21,1950.00,301.70,20,1851.75,1888.85,20,25600.00,40,3.70,3.90,120,-4.30,3.95,34.98,4737,5480,21020,27470.6
5,-,-,-,-,-,-,100,1728.10,1830.15,100,25700.00,100,4.15,4.35,220,-5.55,4.20,33.96,6508,8220,33380,27470.6
6,-,-,-,-,-,-,100,1628.65,1731.25,100,25800.00,40,4.70,4.90,100,-6.70,5.00,32.73,9765,-4340,26120,27470.6
7,-,-,-,-,-,-,100,1528.90,1631.30,100,25900.00,160,5.40,5.50,20,-9.00,5.50,31.87,21794,32320,67580,27470.6
8,6340,2780,287,32.58,1490.00,218.90,180,1476.10,1489.10,120,26000.00,220,6.10,6.25,400,-11.90,6.10,30.65,68806,-11220,234120,27470.6
9,80,80,10,35.48,1404.50,-469.45,20,1355.80,1387.05,60,26100.00,120,7.20,7.30,140,-15.80,7.40,29.58,36418,5460,69460,27470.6
10,100,100,6,44.92,1349.20,-443.00,60,1258.30,1288.65,180,26200.00,60,8.70,8.85,260,-19.55,8.75,28.72,52243,48280,141700,27470.6
11,360,120,17,40.06,1238.20,222.90,20,1159.00,1190.70,180,26300.00,80,10.85,10.95,40,-25.05,10.90,27.99,73594,48000,141320,27470.6
12,340,180,32,24.94,1094.20,191.95,20,1068.95,1096.30,20,26400.00,440,14.10,14.30,240,-30.90,14.45,27.37,78852,65900,166220,27470.6
13,7860,720,936,-,993.00,186.10,40,984.35,995.45,60,26500.00,160,18.25,18.40,20,-38.80,18.40,26.74,195084,147900,565200,27470.6
14,1760,-780,455,27.43,895.00,171.80,20,881.00,902.25,100,26600.00,100,23.00,23.20,760,-47.55,23.00,25.97,117921,108940,258420,27470.6
15,5640,-2180,921,24.27,811.45,173.85,60,794.25,807.75,40,26700.00,160,30.00,30.20,100,-56.90,30.10,25.39,151990,124120,303660,27470.6
16,16620,-780,3543,18.94,712.80,157.90,20,708.00,715.40,40,26800.00,100,38.45,38.70,280,-69.10,38.65,24.77,219569,230180,444780,27470.6
17,15360,1020,10431,19.31,630.95,147.05,40,621.10,627.60,40,26900.00,60,49.65,49.95,80,-84.35,49.85,24.26,188156,245260,371400,27470.6
18,204800,14460,83046,20.11,538.30,122.00,20,538.70,541.55,20,27000.00,40,65.10,65.40,60,-99.50,65.05,23.89,444300,624820,1015640,27470.6
