,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI
0,-,-,-,-,-,-,2460,1418.65,2563.15,480,27000.00,20,102.00,-,-,-,-,-,-,-,-
1,-,-,-,-,-,-,2460,1288.55,2440.10,460,27100.00,-,-,-,-,-,-,-,-,-,-
2,-,-,-,-,-,-,2460,1193.20,-,-,27200.00,20,2.00,-,-,-,-,-,-,-,-
3,-,-,-,-,-,-,2460,1093.75,-,-,27300.00,620,10.00,-,-,-,-,-,-,-,-
4,-,-,-,-,-,-,2460,999.80,-,-,27400.00,620,10.00,-,-,-,-,-,-,-,-
5,-,-,-,-,-,-,2460,950.90,-,-,27500.00,620,10.00,-,-,-,-,-,-,-,-
6,-,-,-,-,-,-,460,832.20,-,-,27600.00,620,10.00,-,-,-,-,-,-,-,-
7,-,-,-,-,-,-,2460,729.25,-,-,27700.00,-,-,-,-,-,-,-,-,-,-
8,-,-,-,-,-,-,460,682.30,-,-,27800.00,2000,5.00,-,-,-,-,-,-,-,-
9,-,-,-,-,-,-,-,-,-,-,27900.00,620,10.00,-,-,-,-,-,-,-,-
10,-,-,-,-,-,-,-,-,-,-,28000.00,620,10.00,-,-,-,-,-,-,-,-
11,-,-,-,-,-,-,-,-,-,-,28100.00,620,10.00,-,-,-,-,-,-,-,-
12,-,-,-,-,-,-,-,-,-,-,28200.00,620,10.00,-,-,-,-,-,-,-,-
13,-,-,-,-,-,-,-,-,-,-,28300.00,620,10.00,-,-,-,-,-,-,-,-
14,-,-,-,-,-,-,-,-,-,-,28400.00,620,10.00,-,-,-,-,-,-,-,-
15,-,-,-,-,-,-,-,-,-,-,28500.00,620,10.00,-,-,-,-,-,-,-,-
16,-,-,-,-,-,-,-,-,-,-,28600.00,620,10.00,-,-,-,-,-,-,-,-
17,-,-,-,-,-,-,-,-,-,-,28700.00,620,10.00,-,-,-,-,-,-,-,-
18,-,-,-,-,-,-,2000,50.00,-,-,28800.00,620,10.00,-,-,-,-,-,-,-,-
19,-,-,-,-,-,-,2000,25.00,-,-,28900.00,2000,15.00,-,-,-,-,-,-,-,-
20,-,-,-,-,-,-,2000,25.00,-,-,29000.00,-,-,-,-,-,-,-,-,-,-
21,-,-,-,-,-,-,2000,25.00,-,-,29100.00,-,-,-,-,-,-,-,-,-,-
22,-,-,-,-,-,-,2000,25.00,-,-,29200.00,-,-,-,-,-,-,-,-,-,-
23,-,-,-,-,-,-,2000,25.00,-,-,29300.00,440,550.30,-,-,-,-,-,-,-,-
24,-,-,-,-,-,-,2000,25.00,-,-,29400.00,440,590.65,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,2000,20.00,-,-,29500.00,2460,636.80,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,2000,15.00,-,-,29600.00,2460,691.25,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,2000,10.00,-,-,29700.00,2460,795.25,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,620,5.00,-,-,29800.00,2460,925.25,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,620,5.00,-,-,29900.00,2460,971.50,-,-,-,-,-,-,-,-
30,-,-,-,-,-,-,620,5.00,-,-,30000.00,2460,1080.25,-,-,-,-,-,-,-,-
31,-,-,-,-,-,-,620,5.00,-,-,30100.00,2460,1174.60,-,-,-,-,-,-,-,-
32,-,-,-,-,-,-,620,5.00,-,-,30200.00,2460,1272.35,-,-,-,-,-,-,-,-
33,-,-,-,-,-,-,620,5.00,-,-,30300.00,2460,1365.25,-,-,-,-,-,-,-,-
34,-,-,-,-,-,-,620,5.00,-,-,30400.00,2460,1461.45,-,-,-,-,-,-,-,-
35,-,-,-,-,-,-,2000,10.00,-,-,30500.00,2460,1554.60,-,-,-,-,-,-,-,-
36,-,-,-,-,-,-,620,5.00,-,-,30600.00,2460,1647.15,-,-,-,-,-,-,-,-
37,-,-,-,-,-,-,620,5.00,-,-,30700.00,2460,1734.40,2853.20,420,-,-,-,-,-,-
38,-,-,-,-,-,-,620,5.00,-,-,30800.00,2460,1823.85,2913.00,420,-,-,-,-,-,-
39,-,-,-,-,-,-,620,5.00,-,-,30900.00,2460,1911.35,3041.10,420,-,-,-,-,-,-
40,-,-,-,-,-,-,620,5.00,-,-,31000.00,2460,2127.30,3170.55,400,-,-,-,-,-,-
41,-,-,-,-,-,-,620,5.00,-,-,31100.00,2460,2220.45,3300.95,400,-,-,-,-,-,-
42,-,-,-,-,-,-,620,5.00,-,-,31200.00,2460,2313.20,3432.55,400,-,-,-,-,-,-
43,-,-,-,-,-,-,620,5.00,-,-,31300.00,2460,2406.85,3565.05,400,-,-,-,-,-,-
44,-,-,-,-,-,-,620,5.00,-,-,31400.00,2460,2499.20,3698.40,400,-,-,-,-,-,-
45,-,-,-,-,-,-,620,5.00,-,-,31500.00,2460,2592.65,3832.45,400,-,-,-,-,-,-
46,-,-,-,-,-,-,620,5.00,-,-,31600.00,2460,2685.20,3967.20,400,-,-,-,-,-,-
47,-,-,-,-,-,-,620,5.00,-,-,31700.00,2460,2778.05,4102.60,400,-,-,-,-,-,-
48,-,-,-,-,-,-,620,5.00,-,-,31800.00,2460,2871.15,4238.45,400,-,-,-,-,-,-
49,-,-,-,-,-,-,620,5.00,-,-,31900.00,2460,2964.30,4374.80,400,-,-,-,-,-,-
50,-,-,-,-,-,-,620,5.00,-,-,32000.00,2460,3057.50,4511.50,400,-,-,-,-,-,-
51,-,-,-,-,-,-,620,5.00,-,-,32100.00,2460,3150.20,4641.95,400,-,-,-,-,-,-
