,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,480,4395.85,6463.00,480,27000.00,900,0.10,-,-,-,-,-,-,-,-,31589.05
1,-,-,-,-,-,-,460,2843.95,6324.05,460,27100.00,-,-,-,-,-,-,-,-,-,-,31589.05
2,-,-,-,-,-,-,460,2785.35,6184.90,460,27200.00,-,-,-,-,-,-,-,-,-,-,31589.05
3,-,-,-,-,-,-,460,2724.85,5210.65,460,27300.00,-,-,-,-,-,-,-,-,-,-,31589.05
4,-,-,-,-,-,-,460,2666.40,5109.60,460,27400.00,-,-,-,-,-,-,-,-,-,-,31589.05
5,-,-,-,-,-,-,460,2606.85,5767.90,460,27500.00,900,0.10,-,-,-,-,-,-,-,-,31589.05
6,-,-,-,-,-,-,460,2547.85,4939.70,460,27600.00,-,-,-,-,-,-,-,-,-,-,31589.05
7,-,-,-,-,-,-,460,2487.80,4809.60,460,27700.00,-,-,-,-,-,-,-,-,-,-,31589.05
8,-,-,-,-,-,-,460,3379.80,4745.20,460,27800.00,-,-,-,-,-,-,-,-,-,-,31589.05
9,-,-,-,-,-,-,460,2378.45,4584.90,460,27900.00,-,-,-,-,-,-,-,-,-,-,31589.05
10,-,-,-,-,-,-,460,2320.95,5076.55,460,28000.00,1800,0.10,-,-,-,-,-,-,-,-,31589.05
11,-,-,-,-,-,-,460,3140.80,4438.50,460,28100.00,2000,0.05,-,-,-,-,-,-,-,-,31589.05
12,-,-,-,-,-,-,460,2193.20,4331.80,460,28200.00,2000,0.05,-,-,-,-,-,-,-,-,31589.05
13,-,-,-,-,-,-,440,2135.55,4665.35,440,28300.00,2000,0.05,-,-,-,-,-,-,-,-,31589.05
14,-,-,-,-,-,-,440,2849.00,3996.55,440,28400.00,2000,0.05,-,-,-,-,-,-,-,-,31589.05
15,-,-,-,-,-,-,440,2019.20,3989.10,440,28500.00,400,0.20,-,-,-,-,-,-,-,-,31589.05
16,-,-,-,-,-,-,440,1970.50,3801.90,440,28600.00,2000,0.15,-,-,-,-,-,-,-,-,31589.05
17,-,-,-,-,-,-,440,1912.40,4123.95,440,28700.00,2000,0.15,-,-,-,-,-,-,-,-,31589.05
18,-,-,-,-,-,-,440,1854.60,3990.40,440,28800.00,2000,0.35,-,-,-,-,-,-,-,-,31589.05
19,-,-,-,-,-,-,440,1799.90,3458.15,440,28900.00,2000,0.35,-,-,-,-,-,-,-,-,31589.05
20,-,-,-,-,-,-,440,1743.85,3725.90,440,29000.00,300,0.40,-,-,-,-,-,-,-,-,31589.05
21,-,-,-,-,-,-,440,1759.40,3595.10,440,29100.00,2000,0.35,-,-,-,-,-,-,-,-,31589.05
22,-,-,-,-,-,-,440,1704.35,3093.50,440,29200.00,2000,0.35,-,-,-,-,-,-,-,-,31589.05
23,-,-,-,-,-,-,440,1650.30,2993.10,2460,29300.00,2000,0.35,-,-,-,-,-,-,-,-,31589.05
24,-,-,-,-,-,-,440,1977.10,2886.30,2460,29400.00,400,0.25,-,-,-,-,-,-,-,-,31589.05
25,-,-,-,-,-,-,440,1541.65,2780.50,2460,29500.00,100,1.10,-,-,-,-,-,-,-,-,31589.05
26,-,-,-,-,-,-,420,1486.60,2589.95,2460,29600.00,100,0.20,-,-,-,-,-,-,-,-,31589.05
27,-,-,-,-,-,-,420,1434.55,2479.80,2460,29700.00,100,0.25,-,-,-,-,-,-,-,-,31589.05
28,-,-,-,-,-,-,420,1629.40,2366.15,2460,29800.00,100,0.40,-,-,-,-,-,-,-,-,31589.05
29,-,-,-,-,-,-,420,1252.55,2253.80,2460,29900.00,80,1.20,-,-,-,-,-,-,-,-,31589.05
30,-,-,-,-,-,-,420,1200.75,2144.70,2460,30000.00,80,2.25,255.00,500,-,-,-,-,-,-,31589.05
31,-,-,-,-,-,-,420,1156.35,2029.90,2460,30100.00,20,5.00,-,-,-,-,-,-,-,-,31589.05
32,-,-,-,-,-,-,420,1106.60,1918.95,2460,30200.00,20,10.00,-,-,-,-,-,-,-,-,31589.05
33,-,-,-,-,-,-,420,1058.15,1805.05,2460,30300.00,20,10.00,-,-,-,-,-,-,-,-,31589.05
34,-,-,-,-,-,-,420,1009.65,1692.00,420,30400.00,2000,15.10,285.00,500,-,-,-,-,-,-,31589.05
35,-,-,-,-,-,-,420,965.95,1843.25,2460,30500.00,2000,25.50,-,-,-,-,-,-,-,-,31589.05
36,-,-,-,-,-,-,420,815.10,1730.40,2460,30600.00,2000,25.10,-,-,-,-,-,-,-,-,31589.05
37,-,-,-,-,-,-,420,800.10,1618.55,2460,30700.00,2000,30.10,-,-,-,-,-,-,-,-,31589.05
38,-,-,-,-,-,-,420,729.45,1506.25,420,30800.00,2000,40.10,467.00,20,-,-,-,-,-,-,31589.05
39,-,-,-,-,-,-,420,676.60,1309.95,420,30900.00,100,53.05,372.85,100,-,-,-,-,-,-,31589.05
40,-,-,-,-,-,-,400,640.05,943.45,120,31000.00,20,138.85,211.85,80,-877.55,180.00,17.81,2,20,20,31589.05
41,-,-,-,-,-,-,2000,401.70,983.95,100,31100.00,180,122.65,236.20,180,-,-,-,-,-,-,31589.05
42,-,-,-,-,-,-,40,400.10,999.35,400,31200.00,200,124.65,353.25,200,-,-,-,-,-,-,31589.05
43,-,-,-,-,-,-,200,529.00,757.00,100,31300.00,200,95.20,339.65,300,-,-,-,-,-,20,31589.05
44,140,-,-,-,-,-,20,477.40,654.95,120,31400.00,100,225.50,355.90,60,-,-,-,-,-,-,31589.05
45,-,-,-,-,-,-,200,461.60,528.65,200,31500.00,220,287.95,348.00,200,-,-,-,-,-,-,31589.05
46,20,20,2,15.19,487.20,61.55,200,407.95,446.65,100,31600.00,200,198.80,514.40,200,-,-,-,-,-,-,31589.05
47,100,100,10,10.58,312.40,-84.15,200,342.30,388.75,20,31700.00,140,309.15,454.90,120,-,-,-,-,-,-,31589.05
48,-,-,-,-,-,-,200,278.85,345.85,120,31800.00,160,159.75,525.10,200,-,-,-,-,-,-,31589.05
49,-,-,-,-,-,-,200,254.60,298.00,40,31900.00,200,50.05,773.00,200,-,-,-,-,-,-,31589.05
50,120,100,8,13.00,240.00,-759.00,20,207.80,258.40,200,32000.00,140,70.05,630.70,200,-,-,-,-,-,-,31589.05
51,-,-,-,-,-,-,2000,12.00,296.05,140,32100.00,2000,65.00,852.25,2460,-,-,-,-,-,-,31589.05
52,-,-,-,-,-,-,2000,8.00,469.25,20,32200.00,2000,75.00,1305.50,400,-,-,-,-,-,-,31589.05
53,-,-,-,-,-,-,2000,6.00,449.95,20,32300.00,2000,80.00,1363.80,400,-,-,-,-,-,-,31589.05
54,-,-,-,-,-,-,2000,6.00,551.10,20,32400.00,2000,101.00,1368.00,2460,-,-,-,-,-,-,31589.05
55,-,-,-,-,-,-,2000,7.35,168.45,40,32500.00,400,711.60,1480.35,2460,-,-,-,-,-,-,31589.05
56,-,-,-,-,-,-,2000,6.00,-,-,32600.00,380,763.80,1588.20,2460,-,-,-,-,-,-,31589.05
57,-,-,-,-,-,-,2000,4.00,-,-,32700.00,380,806.25,1696.30,2460,-,-,-,-,-,-,31589.05
