,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI
0,8300,-1460,75,43.34,3535.00,-31.70,60,3489.20,3539.80,20,25200.00,100,135.00,138.00,100,6.30,135.00,52.63,758,7720,54080
1,-,-,-,-,-,-,2480,3102.75,4702.15,500,25300.00,16200,3.10,-,-,-,-,-,-,-,-
2,-,-,-,-,-,-,100,3013.20,4601.60,500,25400.00,13700,3.10,-,-,-,-,-,-,-,-
3,5900,-,-,-,-,-,20,3224.30,3283.55,40,25500.00,120,156.90,161.90,20,3.80,157.80,51.10,1586,14480,68800
4,-,-,-,-,-,-,2480,2825.60,3674.70,500,25600.00,20200,3.25,-,-,-,-,-,-,-,-
5,-,-,-,-,-,-,2480,2732.10,3561.95,500,25700.00,20200,3.35,-,-,-,-,-,-,-,-
6,-,-,-,-,-,-,2480,2642.20,3448.85,500,25800.00,20200,3.50,-,-,-,-,-,-,-,-
7,-,-,-,-,-,-,2480,2547.15,3337.50,500,25900.00,18220,3.85,-,-,-,-,-,-,-,-
8,25360,-160,38,39.79,2780.00,-46.80,20,2779.05,2811.95,20,26000.00,20,203.55,207.20,20,-10.85,204.30,48.75,1457,1260,75920
9,140,-,-,-,-,-,480,2325.65,3162.00,480,26100.00,17780,7.25,-,-,-,-,-,-,-,100
10,-,-,-,-,-,-,480,2233.35,3117.85,480,26200.00,15700,9.95,-,-,-,-,-,-,-,-
11,-,-,-,-,-,-,2480,2175.70,2941.25,480,26300.00,15700,13.25,-,-,-,-,-,-,-,-
12,-,-,-,-,-,-,480,2033.30,2887.45,480,26400.00,15700,17.75,-,-,-,-,-,-,-,-
13,11140,-340,35,40.19,2355.00,-45.05,20,2351.60,2389.45,80,26500.00,60,276.50,280.00,20,-18.95,279.05,47.38,2269,8720,161440
14,40,-,-,-,-,-,100,1884.60,2935.60,480,26600.00,18100,30.60,-,-,-,-,-,-,-,-
15,40,-,-,-,-,-,480,1754.90,2599.05,480,26700.00,15100,39.50,-,-,-,-,-,-,-,-
16,-,-,-,-,-,-,480,1666.15,2487.45,480,26800.00,13100,50.45,-,-,-,-,-,-,-,-
17,60,-,-,-,-,-,2480,1594.20,2374.70,480,26900.00,13100,63.95,-,-,-,-,-,-,-,-
18,44140,-1680,290,39.83,1950.00,-48.35,20,1956.70,1980.90,20,27000.00,120,373.65,376.60,20,-32.30,373.40,45.87,5534,15260,189680
19,100,-,-,-,-,-,460,1381.40,2260.35,460,27100.00,10300,99.80,-,-,-,-,-,-,-,-
20,-,-,-,-,-,-,2000,1151.65,-,-,27200.00,1000,350.20,-,-,-,-,-,-,-,1800
21,20,-,-,-,-,-,20,1300.00,-,-,27300.00,20,420.00,-,-,-,-,-,-,-,1460
22,40,-,-,-,-,-,100,1082.25,-,-,27400.00,20,400.05,-,-,-,-,-,-,-,1020
23,32860,-300,109,39.53,1580.00,-69.05,80,1591.95,1607.80,20,27500.00,20,502.85,506.00,20,-30.00,505.70,44.65,1914,-3920,131300
24,20,-,-,-,-,-,460,924.15,-,-,27600.00,6000,259.65,-,-,-,-,-,-,-,100
25,40,-,-,-,-,-,40,1010.00,-,-,27700.00,6000,306.45,-,-,-,-,-,-,-,160
26,-,-,-,-,-,-,460,733.80,-,-,27800.00,6040,358.80,-,-,-,-,-,-,-,40
27,40,-,-,-,-,-,40,900.00,-,-,27900.00,6000,417.00,-,-,-,-,-,-,-,-
28,87320,-100,265,40.85,1275.00,-72.20,20,1265.45,1286.90,20,28000.00,40,666.40,670.00,60,-35.35,669.05,44.10,5956,-720,510760
29,-,-,-,-,-,-,460,628.50,1283.65,20,28100.00,40,698.15,707.00,20,-38.15,698.90,43.57,219,1000,4260
30,-,-,-,-,-,-,460,616.80,1231.00,20,28200.00,40,737.85,749.05,40,-33.80,740.65,43.63,221,-340,3740
31,60,-,-,-,-,-,440,450.25,1165.15,20,28300.00,40,776.45,782.65,140,-32.10,781.60,43.83,176,940,1940
32,800,280,24,41.40,1068.70,-75.15,40,1026.30,1050.20,40,28400.00,80,820.05,826.25,40,-37.75,822.05,43.12,218,660,3480
33,33480,6160,1263,40.10,980.00,-64.70,20,978.85,987.75,20,28500.00,40,864.85,868.35,20,-31.10,867.60,42.78,4068,1980,147940
34,6640,4060,526,39.94,937.30,-58.30,60,929.70,935.40,20,28600.00,20,906.20,912.85,160,-42.20,910.00,42.51,353,1460,8740
35,9400,6960,773,39.91,876.35,-78.10,20,874.50,879.95,20,28700.00,20,950.60,960.95,20,-30.35,960.00,42.18,241,1020,5540
36,11360,2740,466,39.52,828.45,-78.75,20,824.30,830.80,20,28800.00,40,997.90,1008.90,20,-32.30,1002.00,41.92,307,-1360,6660
37,10820,4200,729,39.59,780.65,-70.75,160,772.80,781.35,20,28900.00,40,1051.65,1058.50,20,-33.25,1056.00,42.20,93,120,5740
38,429300,-1360,6837,39.10,728.30,-70.90,20,728.35,731.60,40,29000.00,20,1093.90,1099.05,20,-26.00,1102.95,41.45,3037,4660,619940
39,8580,3380,401,39.20,690.25,-69.15,200,681.10,687.50,20,29100.00,20,1145.30,1163.30,20,-72.15,1128.25,40.34,9,-60,5200
40,7520,2620,389,39.14,646.60,-76.95,20,642.40,652.10,240,29200.00,20,1198.20,1246.95,20,-24.00,1223.90,41.99,5,-,5000
41,4220,1420,227,38.89,605.00,-64.90,20,600.45,610.95,140,29300.00,20,1252.10,1291.00,20,-39.80,1264.00,41.05,3,-20,5760
42,4200,1020,197,38.98,565.15,-80.80,20,564.10,568.10,100,29400.00,20,1323.10,1360.80,20,-26.15,1348.75,42.08,2,-20,4840
43,194320,55780,6205,38.82,529.80,-70.70,20,530.65,534.65,20,29500.00,20,1397.70,1413.25,20,-15.20,1404.70,40.55,509,-2500,257500
44,8480,4140,436,38.53,493.00,-80.35,40,483.70,497.15,20,29600.00,80,1434.40,1482.65,20,-36.20,1450.00,40.75,15,-200,4780
45,5840,1880,376,38.65,450.00,-80.70,20,453.70,464.70,20,29700.00,40,1512.70,1558.55,20,30.00,1510.00,40.40,21,-280,4800
46,7800,980,164,38.41,428.00,-63.50,20,420.75,430.35,20,29800.00,60,1580.45,1622.35,20,-83.90,1560.00,39.47,1,-,6480
47,8920,-620,105,38.22,396.50,-66.40,20,387.55,405.65,20,29900.00,80,1636.50,1690.60,20,0.20,1600.85,37.94,8,-100,5500
48,303480,1300,5560,38.13,368.90,-63.05,80,369.25,372.10,20,30000.00,20,1722.05,1748.85,20,-32.20,1740.00,40.35,774,-320,115440
49,4280,-380,87,37.82,348.05,-43.00,20,333.20,345.05,40,30100.00,40,1783.40,1826.30,40,241.15,1768.25,39.03,10,-200,4300
50,5300,-860,122,37.66,307.80,-60.45,80,306.90,318.85,40,30200.00,40,1856.15,1898.60,20,3.05,1868.00,40.36,6,-120,5540
51,4640,-,49,38.08,284.80,-66.75,80,283.10,295.10,20,30300.00,40,1935.65,1975.55,20,-,-,-,-,-,1880
52,10240,-240,57,38.25,276.70,-37.15,20,261.20,273.25,20,30400.00,40,2009.25,2053.55,20,-30.05,2010.00,39.73,6,40,2020
53,304460,9720,9658,37.70,247.55,-45.45,20,247.80,249.20,20,30500.00,240,2089.40,2119.50,20,-22.80,2090.00,38.99,154,-1100,31820
54,6300,-,-,-,-,-,-,-,269.90,300,30600.00,20,1912.10,2405.15,20,-,-,-,-,-,20
55,3200,-,-,-,-,-,-,-,269.90,300,30700.00,20,2017.50,2440.05,20,-,-,-,-,-,140
56,7920,-160,18,37.48,192.00,-45.05,20,181.00,209.95,40,30800.00,20,2289.55,2484.25,440,-,-,-,-,-,20
57,1640,-,8,39.80,210.00,-12.80,-,-,225.00,200,30900.00,20,2208.55,2568.30,20,-,-,-,-,-,-
58,363020,19720,7977,37.12,156.20,-33.45,20,155.30,156.20,200,31000.00,20,2501.25,2523.30,20,25.55,2546.80,42.99,101,-1920,15060
59,1660,-200,16,37.52,150.00,-105.00,160,126.00,166.00,20,31100.00,20,2541.95,2665.90,20,-,-,-,-,-,100
60,2340,-,-,-,-,-,-,-,200.00,200,31200.00,420,2478.10,2825.55,20,-,-,-,-,-,-
61,460,-,-,-,-,-,-,-,-,-,31300.00,400,1605.30,3274.40,2480,-,-,-,-,-,-
62,3320,-,-,-,-,-,-,-,180.00,200,31400.00,400,2604.15,3249.50,20,-,-,-,-,-,20
