,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,8120,-140,13,-,5170.00,920.00,40,5109.25,5163.50,20,25200.00,20,19.00,20.95,20,-33.70,20.05,55.32,1488,2240,77340,30322.2
1,-,-,-,-,-,-,100,4674.05,5731.05,20,25300.00,9200,3.05,-,-,-,-,-,-,-,-,30322.2
2,-,-,-,-,-,-,100,4588.15,5623.20,2480,25400.00,9200,3.05,-,-,-,-,-,-,-,-,30322.2
3,5740,-,1,-,4850.00,951.80,40,4806.25,4887.70,20,25500.00,40,24.60,25.00,20,-35.30,25.00,53.41,1819,-9120,65880,30322.2
4,-,-,-,-,-,-,100,4404.20,5173.40,2480,25600.00,8000,3.05,-,-,-,-,-,-,-,-,30322.2
5,-,-,-,-,-,-,100,4311.45,5062.80,2480,25700.00,8000,3.05,-,-,-,-,-,-,-,-,30322.2
6,-,-,-,-,-,-,100,4219.45,4976.90,2480,25800.00,8000,3.05,-,-,-,-,-,-,-,-,30322.2
7,-,-,-,-,-,-,100,4125.80,4863.65,2480,25900.00,8000,3.10,-,-,-,-,-,-,-,-,30322.2
8,22100,-20,3,-,4212.05,654.05,40,4320.50,4386.85,40,26000.00,20,30.80,31.60,20,-55.00,31.85,51.28,3182,-11740,89940,30322.2
9,140,-,-,-,-,-,100,3941.60,4709.40,2480,26100.00,11820,3.15,-,-,-,-,-,-,-,100,30322.2
10,-,-,-,-,-,-,100,3849.65,4618.60,2480,26200.00,10800,3.20,-,-,-,-,-,-,-,-,30322.2
11,-,-,-,-,-,-,480,3834.85,4510.25,2480,26300.00,8300,3.30,-,-,-,-,-,-,-,-,30322.2
12,-,-,-,-,-,-,480,3742.05,4414.15,2480,26400.00,11820,3.40,-,-,-,-,-,-,-,-,30322.2
13,11160,-,1,49.54,3950.00,972.30,40,3851.00,3887.45,20,26500.00,160,47.60,48.50,40,-84.30,48.15,49.80,1806,-7860,113680,30322.2
14,40,-,-,-,-,-,480,3638.80,3881.10,2400,26600.00,10800,3.85,-,-,-,-,-,-,-,-,30322.2
15,40,-,-,-,-,-,480,3540.80,3782.25,2400,26700.00,9800,4.15,-,-,-,-,-,-,-,-,30322.2
16,-,-,-,-,-,-,480,3444.65,3685.20,2400,26800.00,9800,5.25,-,-,-,-,-,-,-,-,30322.2
17,60,-,-,-,-,-,2400,3420.45,3660.40,2400,26900.00,9820,7.20,-,-,-,-,-,-,-,-,30322.2
18,40040,-,42,33.98,3400.00,757.50,20,3378.00,3414.20,100,27000.00,20,67.35,68.45,540,-121.25,68.00,48.00,6570,-51960,168320,30322.2
19,100,-,5,57.13,3452.60,1197.75,2400,3214.75,3452.60,2300,27100.00,9000,13.40,-,-,-,-,-,-,-,-,30322.2
20,-,-,-,-,-,-,2400,3119.70,3356.35,2400,27200.00,5060,21.15,-,-,-122.10,17.90,35.29,1,-,1800,30322.2
21,20,-,-,-,-,-,20,3050.30,3256.35,20,27300.00,200,67.00,98.00,40,-240.00,60.00,43.43,2,-,1540,30322.2
22,2100,-,-,-,-,-,2400,2932.40,3166.35,2400,27400.00,200,68.00,-,-,-,-,-,-,-,1020,30322.2
23,32060,-280,22,37.96,2950.00,718.85,20,2922.75,2950.10,20,27500.00,140,101.50,102.95,40,-159.40,102.80,46.61,4071,10300,140600,30322.2
24,20,-,-,-,-,-,2400,2757.65,2988.25,2400,27600.00,500,80.00,-,-,-,-,-,-,-,100,30322.2
25,40,-,-,-,-,-,2400,2670.50,2899.30,2400,27700.00,3500,66.50,-,-,-,-,-,-,-,160,30322.2
