,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,460,1297.40,1935.10,2460,27700.00,5000,7.00,199.00,500,-,-,-,-,-,-,29128.1
1,-,-,-,-,-,-,460,1209.65,1863.95,2460,27800.00,2000,2.00,-,-,-,-,-,-,-,-,29128.1
2,-,-,-,-,-,-,460,1047.30,1734.95,2460,27900.00,2000,2.00,-,-,-,-,-,-,-,-,29128.1
3,-,-,-,-,-,-,460,1022.55,1627.85,2460,28000.00,20,10.00,-,-,-,-,-,-,-,-,29128.1
4,-,-,-,-,-,-,460,915.90,1530.15,2460,28100.00,2000,3.00,-,-,-,-,-,-,-,-,29128.1
5,-,-,-,-,-,-,460,834.70,1373.40,460,28200.00,2000,4.00,170.00,500,-,-,-,-,-,-,29128.1
6,-,-,-,-,-,-,440,736.70,1355.50,440,28300.00,2000,3.00,255.00,500,-,-,-,-,-,-,29128.1
7,-,-,-,-,-,-,440,625.50,1229.25,440,28400.00,2000,22.00,199.00,500,-,-,-,-,-,-,29128.1
8,-,-,-,-,-,-,440,562.70,1296.45,440,28500.00,20,80.10,192.50,80,-20.35,80.00,13.64,1,20,20,29128.1
9,-,-,-,-,-,-,440,521.15,1123.40,440,28600.00,2000,52.45,339.80,20,-,-,-,-,-,-,29128.1
10,-,-,-,-,-,-,2000,420.00,950.90,440,28700.00,2000,65.00,269.65,20,-,-,-,-,-,-,29128.1
11,-,-,-,-,-,-,2000,301.00,914.55,440,28800.00,2000,85.00,297.80,20,-,-,-,-,-,-,29128.1
12,-,-,-,-,-,-,2000,125.00,756.90,440,28900.00,40,64.75,276.45,40,-167.90,238.85,16.16,4,20,20,29128.1
13,-,-,-,-,-,-,2000,320.00,557.65,20,29000.00,20,250.05,265.25,40,-102.35,260.00,15.43,22,80,80,29128.1
14,-,-,-,-,-,-,40,205.10,443.30,40,29100.00,20,152.25,553.20,120,-,-,-,-,-,-,29128.1
15,-,-,-,-,-,-,40,299.75,632.50,140,29200.00,60,272.10,708.05,20,-65.40,349.70,15.51,2,-,-,29128.1
16,20,20,3,18.46,428.00,-2037.85,20,282.50,331.25,20,29300.00,100,212.20,587.10,100,-220.60,343.00,13.17,1,20,20,29128.1
17,20,20,1,18.03,371.70,-2025.35,40,243.60,338.20,20,29400.00,20,354.85,481.80,100,-231.70,361.90,11.67,258,80,80,29128.1
18,1020,860,422,13.87,231.15,-108.05,40,223.35,229.10,40,29500.00,20,491.70,517.65,20,108.40,513.50,15.55,184,-740,380,29128.1
19,-,-,-,-,-,-,40,50.05,196.10,40,29600.00,40,30.10,672.00,20,-,-,-,-,-,-,29128.1
20,-,-,-,-,-,-,20,55.05,258.60,20,29700.00,2000,355.00,892.75,500,-,-,-,-,-,-,29128.1
21,-,-,-,-,-,-,2000,10.00,243.10,20,29800.00,2000,450.00,1079.80,2880,-,-,-,-,-,-,29128.1
22,-,-,-,-,-,-,2000,10.00,229.95,20,29900.00,420,575.80,1177.80,420,-,-,-,-,-,-,29128.1
23,-,-,-,-,-,-,20,95.00,395.05,40,30000.00,420,647.00,1237.50,40,-,-,-,-,-,-,29128.1
24,1500,860,71,14.03,76.85,-3.20,20,77.05,80.00,100,30100.00,420,710.60,1298.75,420,-,-,-,-,-,-,29128.1
25,1060,1060,314,14.60,70.00,-1816.65,120,57.85,69.90,40,30200.00,420,824.90,1286.20,420,-,-,-,-,-,-,29128.1
26,580,580,142,14.07,50.00,-1778.00,200,50.00,58.90,60,30300.00,420,914.10,1431.30,420,-,-,-,-,-,-,29128.1
27,-,-,-,-,-,-,2000,5.00,69.95,200,30400.00,420,1008.45,1519.10,2460,-,-,-,-,-,-,29128.1
28,-,-,-,-,-,-,140,10.55,56.70,40,30500.00,420,1099.45,1667.10,2460,-,-,-,-,-,-,29128.1
29,-,-,-,-,-,-,20,8.15,95.70,20,30600.00,420,1217.70,1656.00,420,-,874.50,-,-,-,40,29128.1
30,-,-,-,-,-,-,40,2.20,172.25,2460,30700.00,420,1075.80,1853.00,2460,-,-,-,-,-,-,29128.1
31,-,-,-,-,-,-,100,1.15,-,-,30800.00,420,1163.75,1932.75,2460,-,-,-,-,-,-,29128.1
32,-,-,-,-,-,-,100,1.15,-,-,30900.00,420,1306.35,2064.10,2460,-,-,-,-,-,-,29128.1
33,-,-,-,-,-,-,100,1.15,48.10,20,31000.00,400,1429.95,2053.35,2460,186.35,1414.25,-,2,40,40,29128.1
34,-,-,-,-,-,-,400,1.00,119.95,500,31100.00,400,1459.50,2247.60,2460,-,-,-,-,-,-,29128.1
35,-,-,-,-,-,-,100,0.20,119.95,500,31200.00,400,1530.90,2347.10,2460,-,-,-,-,-,-,29128.1
36,-,-,-,-,-,-,100,0.20,-,-,31300.00,400,1608.35,2457.55,2460,-,-,-,-,-,-,29128.1
37,-,-,-,-,-,-,100,0.20,-,-,31400.00,400,1710.15,2566.90,2460,-,-,-,-,-,-,29128.1
38,100,-,-,-,1109.10,-,400,0.20,99.00,500,31500.00,400,1874.30,2678.05,2460,-,-,-,-,-,-,29128.1
39,-,-,-,-,-,-,400,0.10,-,-,31600.00,400,1928.60,2795.45,2460,-,-,-,-,-,-,29128.1
40,-,-,-,-,-,-,400,0.10,-,-,31700.00,400,2189.35,2941.65,400,-,-,-,-,-,-,29128.1
41,-,-,-,-,-,-,400,0.10,-,-,31800.00,400,2200.90,2928.85,2460,-,-,-,-,-,-,29128.1
42,-,-,-,-,-,-,400,0.10,-,-,31900.00,400,2334.10,3024.60,2460,-,-,-,-,-,-,29128.1
43,-,-,-,-,-,-,900,0.10,-,-,32000.00,400,2420.15,3106.85,2460,-,-,-,-,-,-,29128.1
44,-,-,-,-,-,-,2000,0.05,-,-,32100.00,400,2486.30,3210.05,400,-,-,-,-,-,-,29128.1
45,-,-,-,-,-,-,2000,0.05,-,-,32200.00,400,2556.30,3316.10,400,-,-,-,-,-,-,29128.1
46,-,-,-,-,-,-,2000,0.05,-,-,32300.00,400,2611.05,3452.45,400,-,-,-,-,-,-,29128.1
47,-,-,-,-,-,-,2000,0.05,-,-,32400.00,400,2813.95,3533.60,400,-,-,-,-,-,-,29128.1
48,-,-,-,-,-,-,1800,0.10,-,-,32500.00,400,2833.70,3649.80,400,-,-,-,-,-,-,29128.1
49,-,-,-,-,-,-,2000,0.05,-,-,32600.00,380,3027.25,3754.90,380,-,-,-,-,-,-,29128.1
50,-,-,-,-,-,-,2000,0.05,-,-,32700.00,380,3013.10,3867.80,380,-,-,-,-,-,-,29128.1
51,-,-,-,-,-,-,2000,0.05,-,-,32800.00,380,3013.80,3991.55,380,-,-,-,-,-,-,29128.1
52,-,-,-,-,-,-,2000,0.05,-,-,32900.00,380,3194.10,4068.95,380,-,-,-,-,-,-,29128.1
53,-,-,-,-,-,-,1800,0.10,-,-,33000.00,380,3354.85,4222.60,380,-,-,-,-,-,-,29128.1
54,-,-,-,-,-,-,2000,0.05,-,-,33100.00,380,3331.45,4429.20,380,-,-,-,-,-,-,29128.1
