,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,7350,1301.05,2116.75,1125,9250.00,3000,0.10,3.05,300,-,-,-,-,-,-,10844.45
1,-,-,-,-,-,-,7350,1251.05,2066.60,1125,9300.00,3000,0.10,-,-,-,-,-,-,-,-,10844.45
2,-,-,-,-,-,-,7350,1201.05,1998.10,1125,9350.00,3000,0.10,-,-,-,-,-,-,-,-,10844.45
3,-,-,-,-,-,-,7350,1328.75,1948.25,1125,9400.00,900,0.25,-,-,-,-,-,-,-,-,10844.45
4,-,-,-,-,-,-,1125,1295.35,1546.90,1125,9450.00,3000,0.10,-,-,-,-,-,-,-,-,10844.45
5,-,-,-,-,-,-,1125,1246.50,1487.40,7350,9500.00,900,0.50,2.70,600,-,-,-,-,-,-,10844.45
6,-,-,-,-,-,-,1125,1205.20,1422.15,7350,9550.00,3000,0.10,-,-,-,-,-,-,-,-,10844.45
7,-,-,-,-,-,-,1125,1159.70,1367.55,1125,9600.00,3000,0.30,-,-,-,-,-,-,-,-,10844.45
8,-,-,-,-,-,-,1125,1114.40,1287.50,1125,9650.00,3000,0.10,-,-,-,-,-,-,-,-,10844.45
9,-,-,-,-,-,-,1125,1061.65,1249.00,7350,9700.00,3000,0.30,3.00,300,-,-,-,-,-,-,10844.45
10,-,-,-,-,-,-,1125,1022.75,1198.60,7350,9750.00,3000,0.10,3.00,300,-,-,-,-,-,-,10844.45
11,-,-,-,-,-,-,1125,976.20,1140.05,7350,9800.00,900,1.10,3.00,300,-,-,-,-,-,-,10844.45
12,-,-,-,-,-,-,1125,928.80,1080.35,7350,9850.00,10050,0.20,3.00,300,-,-,-,-,-,-,10844.45
13,-,-,-,-,-,-,1125,882.40,1023.15,7350,9900.00,900,0.65,3.25,600,-,-,-,-,-,-,10844.45
14,-,-,-,-,-,-,1125,835.25,981.90,7350,9950.00,10050,0.25,3.45,300,-,-,-,-,-,-,10844.45
15,-,-,-,-,-,-,1125,788.10,946.95,1125,10000.00,150,2.20,2.35,300,-1.60,2.25,25.97,254,11100,16575,10844.45
16,-,-,-,-,-,-,1125,740.60,896.45,1125,10050.00,150,1.15,5.90,900,-,-,-,-,-,-,10844.45
17,-,-,-,-,-,-,1125,693.65,829.85,1125,10100.00,225,2.30,4.90,300,-0.60,2.30,23.33,36,1725,2250,10844.45
18,-,-,-,-,-,-,1125,646.45,771.95,7350,10150.00,3000,2.55,6.75,225,-,-,-,-,-,-,10844.45
19,-,-,-,-,-,-,1125,599.50,715.20,7350,10200.00,1500,3.30,3.40,150,-2.70,3.35,22.16,410,15450,16650,10844.45
20,-,-,-,-,-,-,1125,550.35,674.55,1125,10250.00,150,3.70,5.75,300,-1.95,5.05,21.92,4,300,300,10844.45
21,-,-,-,-,-,-,75,542.05,614.95,75,10300.00,300,5.85,6.00,975,-3.20,6.00,21.25,2871,68175,225225,10844.45
22,-,-,-,-,-,-,1125,455.15,594.90,1125,10350.00,1500,7.10,9.90,450,-1.70,8.50,20.98,41,600,600,10844.45
23,-,-,-,-,-,-,300,450.70,511.90,300,10400.00,150,10.40,10.60,450,-6.40,10.65,20.23,5460,47700,293400,10844.45
24,-,-,-,-,-,-,1125,360.45,488.05,1125,10450.00,225,13.30,14.40,225,-6.30,14.60,19.58,202,1800,4125,10844.45
25,5025,-150,35,23.88,395.00,60.25,75,387.10,393.95,75,10500.00,75,19.25,19.45,225,-10.05,19.50,19.89,10295,61200,283500,10844.45
26,-,-,-,-,-,-,300,318.35,372.60,300,10550.00,225,24.25,24.90,150,-4.00,25.00,19.17,701,5250,6150,10844.45
27,2625,2325,90,20.71,303.85,49.75,75,296.50,298.65,75,10600.00,450,33.10,33.35,75,-15.25,33.35,19.09,11620,112275,220875,10844.45
28,750,750,24,20.38,261.45,-823.10,75,257.65,269.70,75,10650.00,150,41.05,41.60,75,-20.35,41.20,18.80,2391,27075,30450,10844.45
29,28050,27375,1874,19.77,220.00,30.80,75,219.55,220.85,150,10700.00,150,54.30,54.90,150,-20.85,54.70,18.54,18687,128850,253575,10844.45
30,7725,6525,688,19.06,188.50,36.50,75,181.95,186.60,75,10750.00,150,68.30,68.95,75,-25.25,68.25,18.11,5810,67200,81000,10844.45
