,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI
0,-,-,-,-,-,-,4950,1346.35,-,-,9650.00,900,0.10,-,-,-,-,-,-,-,-
1,-,-,-,-,-,-,4950,1304.10,-,-,9700.00,-,-,-,-,-,-,-,-,-,-
2,-,-,-,-,-,-,1200,1339.85,1867.20,1200,9750.00,-,-,-,-,-,-,-,-,-,-
3,-,-,-,-,-,-,1200,1293.35,1817.40,1200,9800.00,-,-,-,-,-,-,-,-,-,-
4,-,-,-,-,-,-,1200,1246.90,1767.60,1200,9850.00,-,-,-,-,-,-,-,-,-,-
5,-,-,-,-,-,-,1200,1200.35,1717.80,1200,9900.00,-,-,-,-,-,-,-,-,-,-
6,-,-,-,-,-,-,1200,1153.85,1667.95,1200,9950.00,-,-,-,-,-,-,-,-,-,-
7,-,-,-,-,-,-,1200,1107.35,1618.10,1200,10000.00,900,0.25,-,-,-,-,-,-,-,-
8,-,-,-,-,-,-,1200,1060.90,1568.15,1200,10050.00,-,-,-,-,-,-,-,-,-,-
9,-,-,-,-,-,-,1200,810.60,-,-,10100.00,4800,3.50,-,-,-,-,-,-,-,-
10,-,-,-,-,-,-,1200,758.45,1467.95,1200,10150.00,-,-,-,-,-,-,-,-,-,-
11,-,-,-,-,-,-,1200,725.70,-,-,10200.00,4800,4.25,-,-,-,-,-,-,-,-
12,-,-,-,-,-,-,1200,694.15,1365.60,1200,10250.00,-,-,-,-,-,-,-,-,-,-
13,-,-,-,-,-,-,1200,665.65,-,-,10300.00,4800,8.25,-,-,-,-,-,-,-,-
14,-,-,-,-,-,-,1200,636.10,1228.45,1200,10350.00,-,-,-,-,-,-,-,-,-,-
15,-,-,-,-,-,-,1200,605.00,-,-,10400.00,4800,15.25,-,-,-,-,-,-,-,-
16,-,-,-,-,-,-,1200,579.95,1093.00,1200,10450.00,-,-,-,-,-,-,-,-,-,-
17,-,-,-,-,-,-,1200,551.00,-,-,10500.00,4800,26.65,-,-,-,-,-,-,-,-
18,-,-,-,-,-,-,1200,521.75,960.30,1200,10550.00,-,-,-,-,-,-,-,-,-,-
19,-,-,-,-,-,-,4950,482.45,-,-,10600.00,4800,44.35,-,-,-,-,-,-,-,-
20,-,-,-,-,-,-,1200,456.65,831.50,1200,10650.00,-,-,-,-,-,-,-,-,-,-
21,-,-,-,-,-,-,4950,387.45,-,-,10700.00,4800,70.00,-,-,-,-,-,-,-,-
22,-,-,-,-,-,-,1200,363.55,-,-,10750.00,-,-,-,-,-,-,-,-,-,-
23,-,-,-,-,-,-,1200,313.65,-,-,10800.00,900,5.15,-,-,-,-,-,-,-,-
24,-,-,-,-,-,-,1125,261.55,-,-,10850.00,-,-,-,-,-,-,-,-,-,-
25,-,-,-,-,-,-,-,-,-,-,10900.00,900,0.50,-,-,-,-,-,-,-,-
26,-,-,-,-,-,-,-,-,-,-,10950.00,-,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,1125,190.15,-,-,11000.00,750,100.30,-,-,-,-,-,-,-,-
28,-,-,-,-,-,-,-,-,-,-,11050.00,900,1.00,-,-,-,-,-,-,-,-
29,-,-,-,-,-,-,75,285.00,-,-,11100.00,900,10.15,-,-,-,-,-,-,-,-
30,-,-,-,-,-,-,-,-,-,-,11150.00,900,1.00,-,-,-,-,-,-,-,-
31,-,-,-,-,-,-,75,245.00,-,-,11200.00,900,1.10,-,-,-,-,-,-,-,-
32,-,-,-,-,-,-,4950,114.00,-,-,11250.00,900,1.00,-,-,-,-,-,-,-,-
33,-,-,-,-,-,-,75,195.00,-,-,11300.00,1125,125.40,-,-,-,-,-,-,-,-
34,-,-,-,-,-,-,-,-,-,-,11350.00,900,1.50,-,-,-,-,-,-,-,-
35,-,-,-,-,-,-,75,153.00,-,-,11400.00,150,20.20,-,-,-,-,-,-,-,-
36,-,-,-,-,-,-,-,-,-,-,11450.00,1125,181.60,-,-,-,-,-,-,-,-
37,-,-,-,-,-,-,2400,129.00,-,-,11500.00,900,60.15,-,-,-,-,-,-,-,-
38,-,-,-,-,-,-,-,-,-,-,11550.00,1125,251.25,-,-,-,-,-,-,-,-
39,-,-,-,-,-,-,75,105.00,-,-,11600.00,4950,286.15,-,-,-,-,-,-,-,-
40,-,-,-,-,-,-,-,-,-,-,11650.00,1050,349.05,-,-,-,-,-,-,-,-
41,-,-,-,-,-,-,2400,92.60,-,-,11700.00,4950,387.65,-,-,-,-,-,-,-,-
42,-,-,-,-,-,-,-,-,-,-,11750.00,1050,451.95,-,-,-,-,-,-,-,-
43,-,-,-,-,-,-,2400,63.05,-,-,11800.00,4950,482.65,-,-,-,-,-,-,-,-
44,-,-,-,-,-,-,-,-,-,-,11850.00,1050,550.80,-,-,-,-,-,-,-,-
45,-,-,-,-,-,-,2400,41.60,-,-,11900.00,4950,576.30,-,-,-,-,-,-,-,-
46,-,-,-,-,-,-,-,-,-,-,11950.00,1050,624.40,1019.20,1050,-,-,-,-,-,-
47,-,-,-,-,-,-,2475,26.55,-,-,12000.00,1050,654.70,-,-,-,-,-,-,-,-
48,-,-,-,-,-,-,-,-,-,-,12050.00,1050,567.85,1152.30,1050,-,-,-,-,-,-
49,-,-,-,-,-,-,-,-,-,-,12100.00,1050,595.75,1219.70,1050,-,-,-,-,-,-
50,-,-,-,-,-,-,300,0.80,-,-,12150.00,1050,623.85,1287.60,1050,-,-,-,-,-,-
51,-,-,-,-,-,-,-,-,-,-,12200.00,1050,660.00,1355.90,1050,-,-,-,-,-,-
52,-,-,-,-,-,-,-,-,-,-,12250.00,1050,707.55,1427.40,1050,-,-,-,-,-,-
53,-,-,-,-,-,-,-,-,-,-,12300.00,1050,756.85,1483.05,1050,-,-,-,-,-,-
