,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI
0,-,-,-,-,-,-,4950,1354.25,1720.75,4950,9650.00,10725,3.05,11.00,75,-,-,-,-,-,-
1,-,-,-,-,-,-,4950,1306.70,1700.75,4950,9700.00,1500,4.00,-,-,-,-,-,-,-,-
2,-,-,-,-,-,-,1200,1339.80,1644.65,4950,9750.00,6375,3.05,-,-,-,-,-,-,-,-
3,-,-,-,-,-,-,1200,1293.30,1588.35,1200,9800.00,75,5.00,19.70,75,-,-,-,-,-,-
4,-,-,-,-,-,-,1200,1246.75,1499.60,4950,9850.00,6300,3.05,-,-,-,-,-,-,-,-
5,-,-,-,-,-,-,1200,1200.20,1475.90,4950,9900.00,75,7.00,24.95,600,-,-,-,-,-,-
6,-,-,-,-,-,-,1200,1153.75,1387.25,4950,9950.00,6300,3.05,-,-,-,-,-,-,-,-
7,-,-,-,-,-,-,1200,1107.15,1356.45,1200,10000.00,150,24.25,25.60,75,-0.05,24.25,55.66,600,19725,50550
8,-,-,-,-,-,-,1200,1060.75,1333.60,4950,10050.00,16575,3.05,-,-,-,-,-,-,-,-
9,-,-,-,-,-,-,4950,959.25,1305.60,1200,10100.00,525,21.00,-,-,-,-,-,-,-,-
10,-,-,-,-,-,-,1200,679.55,1212.25,4950,10150.00,19575,3.05,-,-,-,-,-,-,-,-
11,-,-,-,-,-,-,-,-,1187.40,1200,10200.00,3600,24.15,-,-,-,-,-,-,-,-
12,-,-,-,-,-,-,1200,619.15,1117.05,4950,10250.00,19500,3.05,-,-,-,-,-,-,-,-
13,-,-,-,-,-,-,4950,772.85,1066.90,4950,10300.00,150,37.10,-,-,-,-,-,-,-,-
14,-,-,-,-,-,-,1200,559.00,1012.05,4950,10350.00,16500,3.05,-,-,-,-,-,-,-,-
15,-,-,-,-,-,-,4950,675.45,959.60,4950,10400.00,75,44.00,68.60,75,-,-,-,-,-,-
16,-,-,-,-,-,-,1200,499.20,907.05,4950,10450.00,31500,3.05,-,-,-,-,-,-,-,-
17,-,-,-,-,-,-,1200,469.45,845.25,1200,10500.00,75,66.05,66.90,75,-4.65,66.05,48.86,500,13575,51750
18,-,-,-,-,-,-,1200,440.30,836.45,4950,10550.00,48375,3.20,-,-,-,-,-,-,-,-
19,-,-,-,-,-,-,1200,408.95,783.90,1200,10600.00,75,78.35,80.00,225,76.95,80.00,46.76,44,2250,2550
20,-,-,-,-,-,-,1200,379.25,734.85,4950,10650.00,41775,4.85,-,-,-,-,-,-,-,-
21,-,-,-,-,-,-,1200,403.80,692.90,1200,10700.00,75,96.35,99.80,150,-6.30,100.00,46.13,260,7050,8850
22,-,-,-,-,-,-,1200,324.40,-,-,10750.00,45300,15.10,-,-,-,-,-,-,-,-
23,-,-,-,-,-,-,375,473.70,514.50,375,10800.00,75,120.10,121.80,75,5.70,120.15,45.41,360,9900,10725
24,-,-,-,-,-,-,1125,231.15,-,-,10850.00,75,127.00,142.80,600,-,-,-,-,-,150
25,150,150,3,37.75,407.00,-382.65,75,406.95,424.00,75,10900.00,150,147.90,148.80,75,-11.40,148.85,44.59,943,20625,37275
26,-,-,-,-,-,-,375,358.10,422.35,375,10950.00,150,156.90,165.20,600,-6.05,168.90,44.93,116,2850,3750
27,4050,2775,131,39.16,349.80,-0.90,75,351.50,360.30,75,11000.00,825,180.00,181.70,150,-20.15,180.00,44.35,2783,61875,166500
28,-,-,-,-,-,-,150,282.90,345.85,375,11050.00,75,195.20,198.75,75,-23.05,195.30,43.61,224,8475,10725
29,11100,7275,447,38.69,288.60,-7.70,75,285.75,296.70,75,11100.00,750,217.35,219.20,150,-23.05,216.85,43.25,1898,16425,56175
30,4875,4875,101,38.39,260.00,-320.15,75,259.50,268.20,150,11150.00,150,236.10,239.65,75,26.85,235.05,42.60,384,14250,15150
31,121200,87150,3891,38.57,237.80,-8.60,150,237.80,239.65,150,11200.00,750,261.85,263.25,150,-16.85,261.85,42.66,3537,104250,243000
32,7350,2175,204,37.91,215.15,-3.35,75,212.40,214.30,150,11250.00,150,282.30,292.60,150,-0.30,299.70,43.92,39,225,2025
33,86475,33900,2409,38.15,189.90,-8.00,150,189.05,190.20,75,11300.00,75,305.40,314.55,75,-16.10,313.00,41.54,220,4500,26400
34,5850,4050,210,37.87,166.35,-13.20,75,166.90,168.80,75,11350.00,75,332.35,343.75,75,-33.60,345.30,42.01,10,600,975
35,61650,13650,1697,37.53,146.70,-10.35,150,146.75,148.00,75,11400.00,75,365.20,370.80,75,-29.75,364.65,40.06,37,150,13125
36,450,375,36,36.83,125.10,-11.95,675,126.20,135.60,75,11450.00,150,364.25,439.70,225,-,-,-,-,-,-
37,172650,43800,2638,37.07,113.00,-8.70,150,112.05,113.00,75,11500.00,75,426.65,433.00,75,2.15,433.00,40.38,220,11250,38400
38,7200,6975,114,36.69,95.20,-17.65,600,94.10,98.55,300,11550.00,75,440.80,480.15,150,133.90,300.15,-,1,75,150
39,18075,14625,491,36.17,80.25,-12.55,75,81.90,85.10,75,11600.00,150,491.50,515.35,150,31.00,501.00,39.62,18,1050,1500
40,150,150,2,20.16,11.05,-244.90,18300,13.40,-,-,11650.00,1050,430.05,750.00,75,264.95,500.00,30.95,2,150,150
41,70500,13200,1193,36.16,61.95,-7.60,75,60.80,62.80,75,11700.00,75,569.40,591.45,75,67.55,582.55,40.55,6,300,1050
42,-,-,-,-,-,-,39075,3.75,-,-,11750.00,1050,420.15,734.80,4950,-,-,-,-,-,-
43,69000,20100,764,35.70,42.00,-8.80,375,42.35,43.55,75,11800.00,150,630.40,669.50,75,19.00,660.00,39.65,10,600,1275
