,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,4950,1869.45,2364.60,4950,9650.00,150,3.70,3.80,4875,1.25,3.80,167.16,984,450,71550,11764.0
1,-,-,-,-,-,-,4950,1840.15,2279.85,4950,9700.00,300,4.60,4.85,600,2.05,4.60,168.25,6292,14175,24300,11764.0
2,-,-,-,-,-,-,4950,1776.30,2254.60,4950,9750.00,75,4.75,5.45,3000,2.50,5.95,170.71,8145,525,2175,11764.0
3,-,-,-,-,-,-,4950,1740.15,2179.85,4950,9800.00,75,5.35,5.60,75,1.65,5.55,164.37,907,14325,31650,11764.0
4,-,-,-,-,-,-,4950,1686.55,2144.65,4950,9850.00,75,4.40,7.80,825,1.45,6.00,162.89,8,150,1650,11764.0
5,-,-,-,-,-,-,4950,1641.15,2079.85,4950,9900.00,75,7.20,7.75,975,2.00,7.60,167.79,1582,14550,87450,11764.0
6,-,-,-,-,-,-,4950,1598.35,2032.50,4950,9950.00,150,3.65,-,-,-,-,-,-,-,300,11764.0
7,-,-,-,-,-,-,4950,1572.50,1979.85,4950,10000.00,75,7.75,7.85,1500,1.95,7.85,156.82,6267,27375,306150,11764.0
8,-,-,-,-,-,-,4950,1505.50,1921.50,4950,10050.00,900,3.05,-,-,-,-,-,-,-,-,11764.0
9,-,-,-,-,-,-,4950,1472.30,1884.85,4950,10100.00,75,8.65,9.00,75,2.25,8.75,151.18,955,2850,16200,11764.0
10,-,-,-,-,-,-,4950,1415.30,1810.90,4950,10150.00,4800,3.05,-,-,-,-,-,-,-,-,11764.0
11,75,-,-,-,-,-,1200,1470.25,1784.75,1200,10200.00,300,10.20,10.45,150,2.05,10.40,147.63,2298,19875,83700,11764.0
12,-,-,-,-,-,-,1200,1237.35,1699.95,4950,10250.00,4800,3.05,-,-,-,-,-,-,-,-,11764.0
13,-,-,-,-,-,-,1200,1377.05,1684.75,1200,10300.00,75,11.15,11.60,150,1.40,11.25,141.82,2498,16200,66300,11764.0
14,-,-,-,-,-,-,1200,1172.50,1590.05,4950,10350.00,4875,6.05,-,-,-,-,-,-,-,75,11764.0
15,-,-,-,-,-,-,1200,1284.35,1589.75,1200,10400.00,75,13.40,13.80,75,1.05,13.20,136.74,2947,14025,88050,11764.0
16,-,-,-,-,-,-,1200,1116.55,1481.60,4950,10450.00,16350,3.05,-,-,-,-,-,-,-,-,11764.0
17,75,-,-,-,-,-,1200,1272.45,1367.25,4950,10500.00,600,16.35,16.55,225,1.30,16.55,133.42,15385,105375,751200,11764.0
18,750,-,-,-,-,-,4950,1220.65,1311.40,4950,10550.00,72300,3.05,-,-,-,-,-,-,-,-,11764.0
19,-,-,-,-,-,-,1200,1167.35,1255.80,4950,10600.00,150,19.30,19.60,75,2.35,19.50,128.27,7726,4650,136500,11764.0
20,-,-,-,-,-,-,1200,1118.80,1203.35,4950,10650.00,150,20.25,22.90,150,1.85,21.05,126.88,137,3825,5925,11764.0
21,225,-,-,-,-,-,75,1093.35,1155.10,75,10700.00,150,23.65,23.95,75,2.65,23.90,124.60,12654,-11850,254850,11764.0
22,150,-,-,-,-,-,4950,1045.15,1120.25,4950,10750.00,150,24.00,25.95,75,7.85,30.00,121.19,78,75,2250,11764.0
23,1500,-,-,-,-,-,75,1018.40,1051.05,75,10800.00,600,28.00,28.30,75,2.50,27.70,119.59,10978,24300,257100,11764.0
24,-,-,-,-,-,-,4950,954.45,1022.65,4950,10850.00,150,30.80,32.00,150,3.40,30.15,119.48,164,600,5400,11764.0
25,825,-,8,115.91,910.00,-65.00,150,935.00,945.70,75,10900.00,150,33.15,33.85,75,1.90,33.20,114.60,7487,13350,154275,11764.0
26,150,-,-,-,-,-,150,880.40,898.30,75,10950.00,150,35.70,36.45,75,2.05,36.25,112.05,408,2700,12225,11764.0
27,8850,-1425,73,132.09,847.00,103.25,75,834.10,839.20,75,11000.00,150,39.45,39.65,375,1.85,39.50,109.39,35096,183900,977925,11764.0
28,1725,-,-,-,-,-,75,770.20,825.95,75,11050.00,225,42.15,43.00,75,1.30,39.75,106.75,306,1725,15825,11764.0
29,6825,-300,19,124.68,751.00,100.10,75,737.65,756.30,75,11100.00,150,46.30,46.50,4125,0.90,46.50,104.34,14632,87525,252150,11764.0
30,2775,-,-,-,-,-,75,692.30,710.50,75,11150.00,150,49.85,50.70,525,0.20,48.50,101.19,720,2925,17475,11764.0
31,48000,-24075,622,120.69,668.20,111.35,225,646.45,653.50,150,11200.00,225,54.65,55.00,1200,1.05,55.00,98.86,25466,144525,549975,11764.0
32,5025,-600,30,110.07,642.60,137.60,75,604.50,619.25,75,11250.00,150,59.00,59.50,150,-1.75,57.15,96.42,1156,3150,25950,11764.0
33,85425,-1050,407,105.05,561.85,85.90,3225,560.00,564.00,75,11300.00,75,65.10,65.65,375,-0.95,65.15,93.16,23918,61575,489975,11764.0
34,5700,300,36,114.43,537.00,104.15,75,514.10,531.45,75,11350.00,75,71.30,71.95,75,-4.65,68.70,90.40,2805,5475,35250,11764.0
35,132300,15525,771,99.98,477.00,87.15,75,471.85,476.50,150,11400.00,150,79.80,79.95,150,-3.00,79.90,87.72,32361,62925,494625,11764.0
36,9000,75,17,96.07,432.15,72.95,75,428.15,443.65,75,11450.00,75,88.05,88.60,300,-10.50,85.00,86.28,2022,9825,32775,11764.0
37,208350,42825,3564,100.38,400.00,79.70,150,395.00,396.85,75,11500.00,450,99.15,99.45,375,-11.05,99.40,83.28,62460,322200,1202325,11764.0
38,13800,75,61,96.12,365.00,71.50,150,358.85,375.80,150,11550.00,75,112.30,113.30,375,-15.10,112.00,82.34,2178,6375,31050,11764.0
39,152400,-2175,5650,97.09,327.25,67.65,75,326.35,327.50,75,11600.00,150,127.80,128.10,150,-17.65,128.15,80.27,34744,81750,415425,11764.0
40,19275,-2925,1109,95.04,294.85,61.25,75,293.85,296.30,75,11650.00,75,143.85,144.65,75,-27.30,141.85,80.03,4119,12450,36675,11764.0
41,437175,92775,29431,94.39,263.60,56.20,75,262.90,263.75,75,11700.00,75,162.10,162.80,75,-28.80,162.75,77.31,52541,130575,460350,11764.0
42,80100,20700,8304,93.25,235.00,49.75,75,235.85,236.60,75,11750.00,225,183.05,184.10,75,-35.20,183.45,76.29,7108,80100,101925,11764.0
43,820425,269625,57858,92.53,210.20,46.55,75,209.60,210.20,150,11800.00,75,205.35,205.90,525,-40.95,205.70,74.42,23407,150675,461625,11764.0
44,69825,-11850,4970,92.76,188.35,42.80,75,187.90,188.80,150,11850.00,75,231.80,233.65,75,-45.75,228.00,74.78,1595,-24900,17100,11764.0
45,659925,138075,42410,92.82,167.65,39.65,75,167.30,167.65,75,11900.00,150,261.00,262.75,75,-49.00,261.05,72.45,3813,-30450,66225,11764.0
46,73125,-225,3454,92.43,148.50,36.15,75,148.45,149.25,75,11950.00,150,285.15,292.95,150,-58.50,287.55,76.24,30,-600,6750,11764.0
47,1745475,298725,106057,92.13,130.30,31.90,75,129.80,130.30,450,12000.00,75,319.05,321.95,75,-59.00,320.00,71.72,2397,-35025,91500,11764.0
48,54600,17025,4191,90.40,113.40,27.75,75,112.80,113.15,75,12050.00,75,345.95,362.15,75,-71.45,346.55,71.59,4,75,450,11764.0
49,955500,124725,41278,91.10,98.25,23.55,75,98.05,98.25,75,12100.00,75,380.85,392.00,75,-73.00,381.65,70.26,15,300,4725,11764.0
50,27975,9525,2807,90.31,84.00,18.00,600,84.10,84.55,600,12150.00,4950,386.65,447.60,4950,-,-,-,-,-,-,11764.0
51,1217100,308400,49284,89.88,70.95,15.50,750,71.15,71.50,900,12200.00,75,453.90,470.10,150,-92.85,440.45,54.58,48,1125,8025,11764.0
52,-,-,-,-,-,-,8100,52.00,-,-,12250.00,4950,465.25,514.55,4950,-,-,-,-,-,-,11764.0
53,747150,143400,30812,89.31,52.00,11.25,975,51.60,51.90,900,12300.00,75,534.50,550.15,150,-46.25,587.00,95.81,14,225,900,11764.0
54,10425,2025,392,89.67,46.80,11.15,1050,45.15,45.80,1050,12350.00,4950,552.10,604.60,4950,-,-,-,-,-,-,11764.0
55,639525,256800,23763,89.61,38.40,8.30,300,38.25,38.45,525,12400.00,75,599.00,647.85,4950,-,-,-,-,-,-,11764.0
56,-,-,-,-,-,-,4800,27.00,-,-,12450.00,4950,637.70,692.65,4950,-,-,-,-,-,-,11764.0
57,1321425,189750,48790,90.82,28.70,6.75,75,28.70,28.90,225,12500.00,75,707.10,733.00,75,-11.00,727.00,60.64,7,375,450,11764.0
58,-,-,-,-,-,-,31350,3.05,-,-,12550.00,4950,726.80,783.70,4950,-,-,-,-,-,-,11764.0
59,403650,166350,17450,91.69,21.40,4.95,300,21.25,21.40,75,12600.00,975,768.90,826.95,4950,-,-,-,-,-,-,11764.0
60,-,-,-,-,-,-,29550,3.05,-,-,12650.00,4950,809.95,870.60,4950,-,-,-,-,-,-,11764.0
61,345600,96600,12408,93.05,15.70,3.75,375,15.70,16.00,75,12700.00,975,862.90,928.80,4950,-,-,-,-,-,-,11764.0
62,-,-,-,-,-,-,27300,3.05,-,-,12750.00,4950,905.55,972.70,4950,-,-,-,-,-,-,11764.0
63,335850,59400,9688,96.06,13.00,3.40,75,12.70,13.00,75,12800.00,975,949.15,1018.70,4950,-,-,-,-,-,-,11764.0
64,-,-,-,-,-,-,7875,3.05,-,-,12850.00,4950,988.95,1061.40,4950,-,-,-,-,-,-,11764.0
65,110625,43800,4719,99.37,10.60,3.40,300,10.35,10.60,75,12900.00,4950,1053.40,1133.45,4950,-,-,-,-,-,-,11764.0
66,225,-,-,-,-,-,10800,3.05,-,-,12950.00,975,1054.15,1332.50,4950,-,-,-,-,-,-,11764.0
67,942600,179250,29310,103.56,8.90,3.45,225,8.90,9.00,2700,13000.00,975,1099.65,1434.75,975,-,-,-,-,-,-,11764.0
68,9150,3450,210,106.72,9.00,5.95,675,7.80,10.00,750,13050.00,975,1132.05,1457.75,975,-,-,-,-,-,-,11764.0
69,27375,6600,1203,109.09,8.00,4.00,1425,8.00,8.30,2175,13100.00,975,1192.75,1534.65,975,-,-,-,-,-,-,11764.0
70,675,450,7,99.68,4.05,-0.95,75,6.55,-,-,13150.00,975,1188.95,1554.00,975,-,-,-,-,-,-,11764.0
71,51150,3525,1703,111.94,7.40,4.25,150,7.25,7.40,375,13200.00,975,1266.45,1634.75,975,-,-,-,-,-,-,11764.0
72,15900,600,254,114.22,6.35,3.45,75,4.90,6.80,75,13250.00,4950,1324.10,1688.35,4950,-,-,-,-,-,-,11764.0
73,607650,335475,70768,115.27,6.05,3.60,300,6.05,6.15,675,13300.00,4950,1310.15,1734.85,4950,-,-,-,-,-,-,11764.0
74,88350,80625,16024,117.63,5.15,2.70,75,5.10,5.15,450,13350.00,4950,1412.45,1797.50,4950,-,-,-,-,-,-,11764.0
