,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,4950,2014.55,2900.95,1200,9650.00,-,-,-,-,-,-,-,-,-,-,11946.75
1,-,-,-,-,-,-,4950,1970.25,2851.45,1200,9700.00,-,-,-,-,-,-,-,-,-,-,11946.75
2,-,-,-,-,-,-,4950,1926.25,2801.25,1200,9750.00,-,-,-,-,-,-,-,-,-,-,11946.75
3,-,-,-,-,-,-,4950,1881.90,2751.50,1200,9800.00,-,-,-,-,-,-,-,-,-,-,11946.75
4,-,-,-,-,-,-,4950,1838.40,2701.90,1200,9850.00,-,-,-,-,-,-,-,-,-,-,11946.75
5,-,-,-,-,-,-,4950,1793.65,2652.00,1200,9900.00,-,-,-,-,-,-,-,-,-,-,11946.75
6,-,-,-,-,-,-,4950,1749.95,2602.10,1200,9950.00,-,-,-,-,-,-,-,-,-,-,11946.75
7,-,-,-,-,-,-,4950,1438.90,2551.65,1200,10000.00,900,0.05,-,-,-,-,-,-,-,-,11946.75
8,-,-,-,-,-,-,1200,1390.60,2502.80,1200,10050.00,-,-,-,-,-,-,-,-,-,-,11946.75
9,-,-,-,-,-,-,1200,1341.10,2452.90,1200,10100.00,-,-,-,-,-,-,-,-,-,-,11946.75
10,-,-,-,-,-,-,1200,1292.50,2403.10,1200,10150.00,-,-,-,-,-,-,-,-,-,-,11946.75
11,-,-,-,-,-,-,1200,1242.05,2353.05,1200,10200.00,-,-,-,-,-,-,-,-,-,-,11946.75
12,-,-,-,-,-,-,1200,1190.90,2303.40,1200,10250.00,-,-,-,-,-,-,-,-,-,-,11946.75
13,-,-,-,-,-,-,1200,1143.25,2252.85,1200,10300.00,-,-,-,-,-,-,-,-,-,-,11946.75
14,-,-,-,-,-,-,1200,1093.30,2202.90,1200,10350.00,-,-,-,-,-,-,-,-,-,-,11946.75
15,-,-,-,-,-,-,1200,1043.80,2153.40,1200,10400.00,-,-,-,-,-,-,-,-,-,-,11946.75
16,-,-,-,-,-,-,1200,1001.35,2102.75,1200,10450.00,-,-,-,-,-,-,-,-,-,-,11946.75
17,-,-,-,-,-,-,1200,971.75,2052.60,1200,10500.00,900,0.05,-,-,-,-,-,-,-,-,11946.75
18,-,-,-,-,-,-,1200,943.50,2002.90,1200,10550.00,-,-,-,-,-,-,-,-,-,-,11946.75
19,-,-,-,-,-,-,1200,912.40,1953.25,1200,10600.00,-,-,-,-,-,-,-,-,-,-,11946.75
20,-,-,-,-,-,-,1200,883.40,1891.25,1200,10650.00,-,-,-,-,-,-,-,-,-,-,11946.75
21,-,-,-,-,-,-,1200,852.25,1822.15,1200,10700.00,-,-,-,-,-,-,-,-,-,-,11946.75
22,375,-,-,-,-,-,1200,823.60,1753.50,1200,10750.00,-,-,-,-,-,-,-,-,-,-,11946.75
23,-,-,-,-,-,-,1200,793.50,1685.65,1200,10800.00,-,-,-,-,-,-,-,-,-,-,11946.75
24,-,-,-,-,-,-,1125,764.35,1617.00,1125,10850.00,75,0.10,-,-,-,-,-,-,-,-,11946.75
25,-,-,-,-,-,-,1125,734.55,1548.30,1125,10900.00,900,0.15,-,-,-,-,-,-,-,-,11946.75
26,-,-,-,-,-,-,1125,706.50,1480.85,1125,10950.00,75,0.10,-,-,-,-,-,-,-,-,11946.75
27,-,-,-,-,-,-,1125,677.15,1413.70,1125,11000.00,900,2.30,-,-,-,-,-,-,-,-,11946.75
28,-,-,-,-,-,-,4950,650.90,1347.10,1125,11050.00,150,0.30,-,-,-,-,-,-,-,-,11946.75
29,-,-,-,-,-,-,1125,621.80,1280.25,1125,11100.00,150,0.30,-,-,-,-,-,-,-,-,11946.75
30,-,-,-,-,-,-,1125,593.25,1214.30,1125,11150.00,150,0.30,-,-,-,-,-,-,-,-,11946.75
31,-,-,-,-,-,-,1125,564.70,1150.65,1125,11200.00,150,0.20,-,-,-,-,-,-,-,-,11946.75
32,-,-,-,-,-,-,1125,538.30,1087.05,1125,11250.00,150,0.20,-,-,-,-,-,-,-,-,11946.75
33,-,-,-,-,-,-,1125,511.60,801.90,4950,11300.00,150,1.10,-,-,-,-,-,-,-,-,11946.75
34,-,-,-,-,-,-,1125,483.50,748.65,4950,11350.00,75,1.15,-,-,-,-,-,-,-,-,11946.75
35,-,-,-,-,-,-,1125,457.15,681.10,4950,11400.00,900,1.70,-,-,-,-,-,-,-,-,11946.75
36,-,-,-,-,-,-,4950,424.55,626.30,4950,11450.00,75,1.65,-,-,-,-,-,-,-,-,11946.75
37,-,-,-,-,-,-,4950,380.30,576.25,75,11500.00,75,3.90,79.90,150,-,-,-,-,-,75,11946.75
38,-,-,-,-,-,-,4950,334.45,-,-,11550.00,-,-,-,-,-,-,-,-,-,-,11946.75
39,-,-,-,-,-,-,4950,297.50,-,-,11600.00,-,-,-,-,-,-,-,-,-,-,11946.75
40,-,-,-,-,-,-,4950,258.80,-,-,11650.00,-,-,-,-,-,-,-,-,-,-,11946.75
41,-,-,-,-,-,-,900,2.05,-,-,11900.00,-,-,-,-,-,-,-,-,-,-,11946.75
42,150,-,-,-,-,-,-,-,-,-,11950.00,-,-,-,-,-,-,-,-,-,-,11946.75
43,-,-,-,-,-,-,75,0.20,-,-,12000.00,-,-,-,-,-,-,-,-,-,-,11946.75
44,75,-,-,-,-,-,150,40.35,331.40,225,12050.00,-,-,-,-,-,-,-,-,-,-,11946.75
45,-,-,-,-,-,-,150,0.20,124.30,150,12100.00,-,-,302.95,4950,-,-,-,-,-,-,11946.75
46,-,-,-,-,-,-,150,1.25,142.55,150,12150.00,150,146.95,445.20,1050,-,-,-,-,-,-,11946.75
47,-,-,-,-,-,-,150,0.25,156.20,75,12200.00,150,208.70,481.80,75,-,-,-,-,-,-,11946.75
48,-,-,-,-,-,-,75,0.10,-,-,12250.00,1050,244.90,499.20,4950,-,-,-,-,-,-,11946.75
49,-,-,-,-,-,-,900,0.15,-,-,12300.00,1050,301.60,599.65,75,-,-,-,-,-,-,11946.75
50,-,-,-,-,-,-,75,0.10,-,-,12350.00,1050,331.40,607.15,4950,-,-,-,-,-,-,11946.75
51,-,-,-,-,-,-,900,0.15,-,-,12400.00,975,357.05,708.05,75,-,-,-,-,-,-,11946.75
52,-,-,-,-,-,-,75,0.10,-,-,12450.00,975,380.40,722.55,4950,-,-,-,-,-,-,11946.75
53,-,-,-,-,-,-,900,0.60,-,-,12500.00,975,405.55,810.35,75,-,-,-,-,-,-,11946.75
54,-,-,-,-,-,-,-,-,-,-,12550.00,975,428.30,834.00,4950,-,-,-,-,-,-,11946.75
55,-,-,-,-,-,-,-,-,-,-,12600.00,975,453.40,898.05,4950,-,-,-,-,-,-,11946.75
56,-,-,-,-,-,-,-,-,-,-,12650.00,975,477.55,934.45,4950,-,-,-,-,-,-,11946.75
57,-,-,-,-,-,-,-,-,-,-,12700.00,975,505.65,1011.35,4950,-,-,-,-,-,-,11946.75
58,-,-,-,-,-,-,-,-,-,-,12750.00,975,531.55,1057.65,4950,-,-,-,-,-,-,11946.75
59,75,-,-,-,-,-,-,-,-,-,12800.00,975,558.25,1127.30,4950,-,-,-,-,-,-,11946.75
60,-,-,-,-,-,-,-,-,-,-,12850.00,975,585.70,1253.50,975,-,-,-,-,-,-,11946.75
61,-,-,-,-,-,-,-,-,-,-,12900.00,975,612.05,1267.70,975,-,-,-,-,-,-,11946.75
62,-,-,-,-,-,-,-,-,-,-,12950.00,975,641.85,1333.00,975,-,-,-,-,-,-,11946.75
63,75,-,-,-,-,-,3000,0.05,19.40,150,13000.00,975,669.35,1398.85,975,-,-,-,-,-,-,11946.75
64,-,-,-,-,-,-,-,-,-,-,13050.00,975,698.15,1465.35,975,-,-,-,-,-,-,11946.75
65,-,-,-,-,-,-,-,-,-,-,13100.00,975,726.30,1532.45,975,-,-,-,-,-,-,11946.75
66,-,-,-,-,-,-,-,-,-,-,13150.00,975,755.05,1599.75,975,-,-,-,-,-,-,11946.75
67,-,-,-,-,-,-,-,-,-,-,13200.00,975,784.05,1667.60,975,-,-,-,-,-,-,11946.75
68,-,-,-,-,-,-,-,-,-,-,13250.00,975,812.80,1735.65,975,-,-,-,-,-,-,11946.75
69,-,-,-,-,-,-,-,-,-,-,13300.00,4950,841.75,1804.05,975,-,-,-,-,-,-,11946.75
70,-,-,-,-,-,-,-,-,-,-,13350.00,900,872.50,1872.55,900,-,-,-,-,-,-,11946.75
71,-,-,-,-,-,-,-,-,-,-,13400.00,900,905.55,1944.60,900,-,-,-,-,-,-,11946.75
72,-,-,-,-,-,-,-,-,-,-,13450.00,900,953.75,2013.70,900,-,-,-,-,-,-,11946.75
73,-,-,-,-,-,-,900,0.05,-,-,13500.00,900,1003.20,2082.90,900,-,-,-,-,-,-,11946.75
74,-,-,-,-,-,-,-,-,-,-,13550.00,900,1052.25,2152.20,900,-,-,-,-,-,-,11946.75
75,-,-,-,-,-,-,-,-,-,-,13600.00,900,1098.90,2212.30,900,-,-,-,-,-,-,11946.75
