,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,4950,1460.65,-,-,9650.00,-,-,-,-,-,-,-,-,-,-,11298.85
1,-,-,-,-,-,-,4950,1417.30,-,-,9700.00,-,-,-,-,-,-,-,-,-,-,11298.85
2,-,-,-,-,-,-,4950,1373.10,-,-,9750.00,-,-,-,-,-,-,-,-,-,-,11298.85
3,-,-,-,-,-,-,4950,1328.40,-,-,9800.00,-,-,-,-,-,-,-,-,-,-,11298.85
4,-,-,-,-,-,-,4950,1281.40,1862.80,1200,9850.00,-,-,-,-,-,-,-,-,-,-,11298.85
5,-,-,-,-,-,-,4950,1239.55,1807.00,1200,9900.00,-,-,-,-,-,-,-,-,-,-,11298.85
6,-,-,-,-,-,-,4950,1195.35,1752.00,1200,9950.00,-,-,-,-,-,-,-,-,-,-,11298.85
7,-,-,-,-,-,-,4950,1150.45,1691.50,1200,10000.00,900,1.05,-,-,-,-,-,-,-,-,11298.85
8,-,-,-,-,-,-,4950,1107.00,1639.10,1200,10050.00,-,-,-,-,-,-,-,-,-,-,11298.85
9,-,-,-,-,-,-,4950,1062.10,1613.60,1200,10100.00,-,-,-,-,-,-,-,-,-,-,11298.85
10,-,-,-,-,-,-,4950,1016.35,1563.70,1200,10150.00,-,-,-,-,-,-,-,-,-,-,11298.85
11,-,-,-,-,-,-,4950,967.65,1497.50,1200,10200.00,-,-,-,-,-,-,-,-,-,-,11298.85
12,-,-,-,-,-,-,4950,928.25,1441.30,1200,10250.00,-,-,-,-,-,-,-,-,-,-,11298.85
13,-,-,-,-,-,-,4950,880.75,1402.65,1200,10300.00,75,1.10,-,-,-,-,-,-,-,-,11298.85
14,-,-,-,-,-,-,1200,831.65,1333.30,1200,10350.00,-,-,-,-,-,-,-,-,-,-,11298.85
15,-,-,-,-,-,-,1200,782.50,1264.00,1200,10400.00,300,0.95,-,-,-,-,-,-,-,-,11298.85
16,-,-,-,-,-,-,1200,735.25,1194.80,1200,10450.00,150,1.65,-,-,-,-,-,-,-,-,11298.85
17,-,-,-,-,-,-,1200,689.15,-,-,10500.00,75,8.20,-,-,-,-,-,-,-,-,11298.85
18,-,-,-,-,-,-,1200,641.85,1057.45,1200,10550.00,75,0.20,-,-,-,-,-,-,-,-,11298.85
19,-,-,-,-,-,-,1200,592.30,989.80,1200,10600.00,900,5.30,-,-,-,-,-,-,-,-,11298.85
20,-,-,-,-,-,-,1200,546.75,922.55,1200,10650.00,-,-,-,-,-,-,-,-,-,-,11298.85
21,-,-,-,-,-,-,1200,499.25,856.20,1200,10700.00,900,7.05,-,-,-,-,-,-,-,-,11298.85
22,-,-,-,-,-,-,1200,367.35,790.80,1200,10750.00,600,2.10,-,-,-,-,-,-,-,-,11298.85
23,-,-,-,-,-,-,1200,340.50,726.75,1200,10800.00,900,16.30,-,-,-,-,-,-,-,-,11298.85
24,-,-,-,-,-,-,1125,312.80,-,-,10850.00,375,1.00,-,-,-,-,-,-,-,-,11298.85
25,-,-,-,-,-,-,1125,287.15,-,-,10900.00,750,7.80,-,-,-,-,-,-,-,-,11298.85
26,-,-,-,-,-,-,1125,261.90,-,-,10950.00,600,1.00,-,-,-,-,-,-,-,-,11298.85
27,225,-,-,-,-,-,150,484.75,530.75,75,11000.00,75,185.70,189.80,75,-7.60,185.30,32.36,5,-,60825,11298.85
28,-,-,-,-,-,-,1125,187.35,-,-,11050.00,600,1.00,-,-,-,-,-,-,-,-,11298.85
29,-,-,-,-,-,-,75,337.00,-,-,11100.00,75,194.55,-,-,-,-,-,-,-,-,11298.85
30,-,-,-,-,-,-,1125,145.05,-,-,11150.00,4950,111.70,-,-,-,-,-,-,-,-,11298.85
31,-,-,-,-,-,-,75,266.00,-,-,11200.00,300,35.25,-,-,-,-,-,-,-,-,11298.85
32,-,-,-,-,-,-,150,3.00,-,-,11250.00,300,2.00,-,-,-,-,-,-,-,-,11298.85
33,-,-,-,-,-,-,75,205.00,-,-,11300.00,900,21.10,-,-,-,-,-,-,-,-,11298.85
34,-,-,-,-,-,-,-,-,-,-,11350.00,600,2.10,-,-,-,-,-,-,-,-,11298.85
35,-,-,-,-,-,-,75,156.00,-,-,11400.00,900,2.10,-,-,-,-,-,-,-,-,11298.85
36,-,-,-,-,-,-,-,-,-,-,11450.00,600,10.10,-,-,-,-,-,-,-,-,11298.85
37,-,-,-,-,-,-,75,115.75,-,-,11500.00,600,11.70,-,-,-,-,-,-,-,-,11298.85
38,-,-,-,-,-,-,4950,77.60,-,-,11550.00,1125,183.55,-,-,-,-,-,-,-,-,11298.85
39,14025,75,7,25.82,174.05,9.80,75,171.05,175.45,225,11600.00,1050,206.30,-,-,-,-,-,-,-,-,11298.85
40,-,-,-,-,-,-,75,1.65,-,-,11650.00,1050,230.15,-,-,-,-,-,-,-,-,11298.85
41,-,-,-,-,-,-,4950,50.25,-,-,11700.00,1050,260.00,-,-,-,-,-,-,-,-,11298.85
42,-,-,-,-,-,-,75,1.65,-,-,11750.00,1050,297.35,-,-,-,-,-,-,-,-,11298.85
