,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,4875,1475.45,1849.00,75,10000.00,900,0.10,-,-,-,-,-,-,-,-,11571.2
1,-,-,-,-,-,-,4875,1425.80,1799.00,75,10050.00,-,-,-,-,-,-,-,-,-,-,11571.2
2,-,-,-,-,-,-,1125,1382.50,1749.00,75,10100.00,-,-,-,-,-,-,-,-,-,-,11571.2
3,-,-,-,-,-,-,1125,1335.50,1699.00,75,10150.00,-,-,-,-,-,-,-,-,-,-,11571.2
4,-,-,-,-,-,-,1125,1287.90,1649.00,75,10200.00,-,-,-,-,-,-,-,-,-,-,11571.2
5,-,-,-,-,-,-,1125,1240.30,1599.00,75,10250.00,-,-,-,-,-,-,-,-,-,-,11571.2
6,-,-,-,-,-,-,1125,1192.70,1549.00,75,10300.00,-,-,-,-,-,-,-,-,-,-,11571.2
7,-,-,-,-,-,-,1125,1145.40,1499.00,75,10350.00,-,-,-,-,-,-,-,-,-,-,11571.2
8,-,-,-,-,-,-,1125,1097.90,1449.00,75,10400.00,-,-,-,-,-,-,-,-,-,-,11571.2
9,-,-,-,-,-,-,1125,1050.40,1399.00,75,10450.00,-,-,-,-,-,-,-,-,-,-,11571.2
10,-,-,-,-,-,-,1125,953.70,1349.00,75,10500.00,900,0.15,-,-,-,-,-,-,-,-,11571.2
11,-,-,-,-,-,-,75,901.00,1299.00,75,10550.00,-,-,-,-,-,-,-,-,-,-,11571.2
12,-,-,-,-,-,-,1125,851.20,1249.00,75,10600.00,-,-,-,-,-,-,-,-,-,-,11571.2
13,-,-,-,-,-,-,1125,846.70,1199.00,75,10650.00,-,-,-,-,-,-,-,-,-,-,11571.2
14,-,-,-,-,-,-,1125,791.10,1149.00,75,10700.00,-,-,-,-,-,-,-,-,-,-,11571.2
15,-,-,-,-,-,-,1125,743.70,1099.00,75,10750.00,-,-,-,-,-,-,-,-,-,-,11571.2
16,-,-,-,-,-,-,1125,693.80,1049.00,75,10800.00,-,-,-,-,-,-,-,-,-,-,11571.2
17,-,-,-,-,-,-,1125,645.30,999.00,75,10850.00,-,-,-,-,-,-,-,-,-,-,11571.2
18,-,-,-,-,-,-,1125,597.70,949.00,75,10900.00,900,0.10,-,-,-,-,-,-,-,-,11571.2
19,-,-,-,-,-,-,1125,543.90,899.00,75,10950.00,-,-,-,-,-,-,-,-,-,-,11571.2
20,-,-,-,-,-,-,1125,504.80,848.95,1125,11000.00,900,2.65,-,-,-,-,-,-,-,-,11571.2
21,-,-,-,-,-,-,1125,444.70,799.00,75,11050.00,75,0.10,-,-,-,-,-,-,-,-,11571.2
22,-,-,-,-,-,-,1125,388.50,749.00,75,11100.00,900,0.15,-,-,-,-,-,-,-,-,11571.2
23,-,-,-,-,-,-,4875,361.60,645.40,4875,11150.00,75,0.10,-,-,-,-,-,-,-,-,11571.2
24,-,-,-,-,-,-,4875,311.70,556.80,4875,11200.00,900,0.15,-,-,-,-,-,-,-,-,11571.2
25,-,-,-,-,-,-,4875,260.20,520.35,4875,11250.00,75,0.10,-,-,-,-,-,-,-,-,11571.2
26,-,-,-,-,-,-,1200,61.15,699.00,75,11300.00,900,0.15,-,-,-,-,-,-,-,-,11571.2
27,-,-,-,-,-,-,1200,51.00,432.65,4875,11350.00,75,0.10,-,-,-,-,-,-,-,-,11571.2
28,-,-,-,-,-,-,1200,41.00,599.00,75,11400.00,900,0.15,-,-,-,-,-,-,-,-,11571.2
29,-,-,-,-,-,-,1200,31.00,352.50,4875,11450.00,75,0.10,-,-,-,-,-,-,-,-,11571.2
30,-,-,-,-,-,-,1200,21.30,210.55,150,11500.00,1200,6.50,-,-,-,-,-,-,-,-,11571.2
31,-,-,-,-,-,-,1200,16.00,277.05,4875,11550.00,1200,2.00,199.70,4875,-,-,-,-,-,-,11571.2
32,-,-,-,-,-,-,1200,13.20,378.25,150,11600.00,1200,3.10,-,-,-,-,-,-,-,-,11571.2
33,-,-,-,-,-,-,1200,8.00,349.00,75,11650.00,1200,6.00,-,-,-,-,-,-,-,-,11571.2
34,-,-,-,-,-,-,1200,4.25,349.00,75,11700.00,1200,11.30,526.55,4875,-,-,-,-,-,-,11571.2
35,-,-,-,-,-,-,75,0.10,310.30,4875,11750.00,1200,16.00,576.90,4875,-,-,-,-,-,-,11571.2
36,-,-,-,-,-,-,900,0.15,138.50,4875,11800.00,1050,179.25,574.90,4875,-,-,-,-,-,-,11571.2
37,-,-,-,-,-,-,75,0.10,138.65,4875,11850.00,1050,203.00,676.15,4875,-,-,-,-,-,-,11571.2
38,-,-,-,-,-,-,900,0.25,104.35,4875,11900.00,1050,250.95,690.15,4875,-,-,-,-,-,-,11571.2
39,-,-,-,-,-,-,75,0.10,104.45,4875,11950.00,4875,270.70,742.00,4875,-,-,-,-,-,-,11571.2
40,-,-,-,-,-,-,900,3.95,-,-,12000.00,4875,316.25,797.10,4875,-,-,-,-,-,-,11571.2
41,-,-,-,-,-,-,300,0.20,75.50,4875,12050.00,1050,374.00,853.60,4875,-,-,-,-,-,-,11571.2
42,-,-,-,-,-,-,900,0.35,63.05,4875,12100.00,4875,407.80,749.00,75,-,-,-,-,-,-,11571.2
43,-,-,-,-,-,-,75,0.20,-,-,12150.00,4875,446.40,799.00,75,-,-,-,-,-,-,11571.2
44,-,-,-,-,-,-,900,0.15,53.10,4875,12200.00,1050,381.85,849.00,75,-,-,-,-,-,-,11571.2
45,-,-,-,-,-,-,150,0.10,-,-,12250.00,1050,476.15,899.00,75,-,-,-,-,-,-,11571.2
46,-,-,-,-,-,-,900,0.15,-,-,12300.00,4875,646.50,1114.20,4875,-,-,-,-,-,-,11571.2
47,-,-,-,-,-,-,-,-,-,-,12350.00,4875,693.50,998.95,1050,-,-,-,-,-,-,11571.2
48,-,-,-,-,-,-,-,-,-,-,12400.00,975,686.90,999.00,75,-,-,-,-,-,-,11571.2
49,-,-,-,-,-,-,-,-,-,-,12450.00,975,737.50,1048.95,975,-,-,-,-,-,-,11571.2
50,-,-,-,-,-,-,900,2.05,25.00,75,12500.00,4875,798.75,1067.55,975,-,-,-,-,-,-,11571.2
51,-,-,-,-,-,-,-,-,-,-,12550.00,4875,848.65,1131.15,975,-,-,-,-,-,-,11571.2
52,-,-,-,-,-,-,-,-,-,-,12600.00,975,901.20,1147.75,975,-,-,-,-,-,-,11571.2
53,-,-,-,-,-,-,-,-,-,-,12650.00,975,954.00,1230.35,975,-,-,-,-,-,-,11571.2
54,-,-,-,-,-,-,-,-,-,-,12700.00,4875,1008.25,1245.75,975,-,-,-,-,-,-,11571.2
55,-,-,-,-,-,-,-,-,-,-,12750.00,4875,956.25,1328.80,4875,-,-,-,-,-,-,11571.2
56,-,-,-,-,-,-,-,-,-,-,12800.00,4875,1054.45,1355.00,4875,-,-,-,-,-,-,11571.2
57,-,-,-,-,-,-,-,-,-,-,12850.00,975,1066.30,1403.15,975,-,-,-,-,-,-,11571.2
58,-,-,-,-,-,-,-,-,-,-,12900.00,4875,1109.05,1453.05,975,-,-,-,-,-,-,11571.2
59,-,-,-,-,-,-,-,-,-,-,12950.00,975,1171.90,1496.25,975,-,-,-,-,-,-,11571.2
60,450,-,-,-,-,-,900,0.85,-,-,13000.00,975,1228.10,1554.55,975,-,-,-,-,-,-,11571.2
61,-,-,-,-,-,-,-,-,-,-,13050.00,975,1277.70,1646.65,975,-,-,-,-,-,-,11571.2
62,-,-,-,-,-,-,-,-,-,-,13100.00,975,1329.10,1655.45,975,-,-,-,-,-,-,11571.2
63,-,-,-,-,-,-,-,-,-,-,13150.00,4875,1380.55,1705.20,4875,-,-,-,-,-,-,11571.2
64,-,-,-,-,-,-,-,-,-,-,13200.00,4875,1434.85,1798.55,975,-,-,-,-,-,-,11571.2
65,-,-,-,-,-,-,-,-,-,-,13250.00,4875,1490.05,1830.60,4875,-,-,-,-,-,-,11571.2
66,-,-,-,-,-,-,-,-,-,-,13300.00,975,1517.40,1874.40,4875,-,-,-,-,-,-,11571.2
67,-,-,-,-,-,-,-,-,-,-,13350.00,4875,1600.05,1929.65,900,-,-,-,-,-,-,11571.2
68,-,-,-,-,-,-,-,-,-,-,13400.00,900,1656.80,1979.55,900,-,-,-,-,-,-,11571.2
69,-,-,-,-,-,-,-,-,-,-,13450.00,900,1714.80,2048.45,900,-,-,-,-,-,-,11571.2
