,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,50,469.25,1116.05,50,14800.00,-,-,-,-,-,-,-,-,-,-,15569.85
1,-,-,-,-,-,-,50,410.70,958.25,50,14900.00,-,-,-,-,-,-,-,-,-,-,15569.85
2,-,-,-,-,-,-,50,353.30,-,-,15000.00,-,-,-,-,-,-,-,-,-,-,15569.85
3,-,-,-,-,-,-,50,297.85,-,-,15100.00,-,-,-,-,-,-,-,-,-,-,15569.85
4,-,-,-,-,-,-,50,245.20,-,-,15200.00,-,-,-,-,-,-,-,-,-,-,15569.85
5,-,-,-,-,-,-,50,196.45,-,-,15300.00,-,-,-,-,-,-,-,-,-,-,15569.85
6,-,-,-,-,-,-,50,152.55,-,-,15400.00,-,-,-,-,-,-,-,-,-,-,15569.85
7,-,-,-,-,-,-,-,-,-,-,15500.00,-,-,-,-,-,-,-,-,-,-,15569.85
8,-,-,-,-,-,-,-,-,-,-,15700.00,-,-,-,-,-,-,-,-,-,-,15569.85
9,-,-,-,-,-,-,-,-,-,-,15800.00,-,-,773.65,50,-,-,-,-,-,-,15569.85
10,-,-,-,-,-,-,-,-,-,-,15900.00,50,215.25,-,-,-,-,-,-,-,-,15569.85
11,-,-,-,-,-,-,-,-,-,-,16000.00,-,-,-,-,-,-,-,-,-,-,15569.85
12,-,-,-,-,-,-,-,-,-,-,16100.00,-,-,-,-,-,-,-,-,-,-,15569.85
13,-,-,-,-,-,-,-,-,-,-,16200.00,-,-,-,-,-,-,-,-,-,-,15569.85
14,-,-,-,-,-,-,-,-,-,-,16300.00,-,-,-,-,-,-,-,-,-,-,15569.85
15,-,-,-,-,-,-,-,-,-,-,16400.00,50,493.05,-,-,-,-,-,-,-,-,15569.85
16,-,-,-,-,-,-,-,-,-,-,16500.00,-,-,-,-,-,-,-,-,-,-,15569.85
17,-,-,-,-,-,-,-,-,-,-,16600.00,-,-,-,-,-,-,-,-,-,50,15569.85
