,name,curprice,pcr,resistance,support,CallChngInLTP,PutChngInLTP,CoiMaxAdd,CoiMaxExit,callprob,putprob
0,ESCORTS_14-10-2018_22:03.csv,601.45,0.458498023715415,"700.0,800.0,640.0,660.0,","540.0,600.0,560.0,520.0,","47.17,57.14,44.91,45.19,","-127.86,-97.47,-110.45,-132.1,","620.0,660.0,600.0,580.0,","700.0,600.0,560.0,720.0,","88.24,95.72,69.53,77.41,","76.51,50.71,69.07,83.08,"
1,ESCORTS_14-10-2018_22:41.csv,601.45,0.458498023715415,"700.0,800.0,640.0,660.0,","540.0,600.0,560.0,520.0,","47.17,57.14,44.91,45.19,","-127.86,-97.47,-110.45,-132.1,","620.0,660.0,600.0,580.0,","700.0,600.0,560.0,720.0,","88.24,95.72,69.53,77.41,","76.51,50.71,69.07,83.08,"
2,ESCORTS_15-10-2018_12:30.csv,602.9,0.4609435421500387,"700.0,660.0,800.0,640.0,","540.0,560.0,600.0,580.0,","-37.5,-22.5,nan,-20.5,","-18.97,-19.89,-7.66,-7.62,","600.0,660.0,540.0,580.0,","640.0,620.0,600.0,520.0,","85.72,74.9,100.0,67.37,","75.53,68.24,51.33,60.43,"
3,ESCORTS_15-10-2018_15:32.csv,600.9,0.4535603715170279,"700.0,660.0,800.0,640.0,","540.0,560.0,600.0,580.0,","-52.78,-38.68,-180.0,-36.16,","-32.69,-24.58,-10.0,-11.51,","600.0,660.0,540.0,580.0,","620.0,640.0,600.0,500.0,","86.7,76.61,95.71,69.38,","75.52,68.46,50.4,59.75,"
4,ESCORTS_16-10-2018_09:30.csv,600.9,0.4535603715170279,"700.0,660.0,800.0,640.0,","540.0,560.0,600.0,580.0,","-52.78,-38.68,-180.0,-36.16,","-32.69,-24.58,-10.0,-11.51,","600.0,660.0,540.0,580.0,","620.0,640.0,600.0,500.0,","86.7,76.61,95.71,69.38,","75.52,68.46,50.4,59.75,"
5,ESCORTS_16-10-2018_11:50.csv,623.9,0.4467776973207821,"640.0,700.0,660.0,800.0,","600.0,540.0,560.0,520.0,","38.85,30.77,37.58,nan,","-94.51,-152.27,-132.5,-140.0,","640.0,660.0,600.0,620.0,","600.0,460.0,580.0,500.0,","58.63,81.83,68.08,100.0,","61.45,82.81,77.24,87.36,"
6,ESCORTS_16-10-2018_15:32.csv,637.95,0.5307570977917981,"700.0,640.0,660.0,800.0,","600.0,620.0,540.0,580.0,","42.86,54.79,53.77,58.33,","-244.03,-236.0,-258.06,-279.27,","640.0,680.0,620.0,600.0,","600.0,620.0,560.0,500.0,","100.0,51.19,62.53,100.0,","100.0,100.0,100.0,76.14,"
7,ESCORTS_17-10-2018_09:30.csv,644.7,0.5211051419800461,"700.0,660.0,800.0,680.0,","620.0,540.0,600.0,580.0,","4.62,7.73,nan,6.5,","-23.23,nan,-26.36,-41.38,","660.0,700.0,640.0,600.0,","640.0,620.0,460.0,1000.0,","76.48,58.47,100.0,68.54,","62.71,100.0,71.41,78.56,"
8,ESCORTS_17-10-2018_11:50.csv,638.1,0.5283605283605284,"700.0,640.0,660.0,800.0,","620.0,540.0,600.0,580.0,","-24.0,-5.9,-14.97,-100.0,","-6.55,-47.62,-0.72,-13.89,","700.0,640.0,640.0,620.0,","620.0,600.0,500.0,560.0,","79.65,51.12,62.73,93.03,","59.37,86.2,68.76,75.84,"
9,ESCORTS_17-10-2018_15:32.csv,617.1,0.4874213836477987,"700.0,640.0,660.0,800.0,","540.0,600.0,560.0,580.0,","-181.82,-124.4,-144.32,-9.09,","0.0,30.5,12.96,18.81,","700.0,660.0,640.0,1020.0,","620.0,600.0,620.0,580.0,","85.79,63.56,73.04,91.55,","83.03,59.88,77.77,70.19,"
10,ESCORTS_18-10-2018_09:30.csv,617.1,0.4883907125700561,"700.0,640.0,660.0,800.0,","540.0,600.0,560.0,580.0,","-181.82,-134.16,-168.75,-9.09,","0.0,33.81,12.96,22.64,","660.0,700.0,640.0,1020.0,","620.0,600.0,620.0,580.0,","85.82,63.59,73.07,91.56,","83.01,59.86,77.74,70.16,"
11,ESCORTS_18-10-2018_11:50.csv,617.1,0.4883907125700561,"700.0,640.0,660.0,800.0,","540.0,600.0,560.0,580.0,","-181.82,-134.16,-168.75,-9.09,","0.0,33.81,12.96,22.64,","660.0,700.0,640.0,1020.0,","620.0,600.0,620.0,580.0,","85.82,63.59,73.07,91.56,","83.01,59.86,77.74,70.16,"
12,ESCORTS_18-10-2018_15:32.csv,617.1,0.4883907125700561,"700.0,640.0,660.0,800.0,","540.0,600.0,560.0,580.0,","-181.82,-134.16,-168.75,-9.09,","0.0,33.81,12.96,22.64,","660.0,700.0,640.0,1020.0,","620.0,600.0,620.0,580.0,","85.82,63.59,73.07,91.56,","83.01,59.86,77.74,70.16,"
13,ESCORTS_19-10-2018_09:30.csv,613.1,0.4829770387965162,"700.0,660.0,640.0,800.0,","540.0,600.0,560.0,580.0,","-15.0,-15.0,2.67,-450.0,","nan,-0.49,nan,-10.0,","660.0,620.0,460.0,760.0,","460.0,1000.0,460.0,1000.0,","82.89,71.35,62.01,92.99,","100.0,57.14,100.0,67.08,"
14,ESCORTS_19-10-2018_11:50.csv,590.35,0.4453781512605042,"700.0,640.0,660.0,800.0,","540.0,560.0,580.0,520.0,","-64.29,-87.63,-67.27,-266.67,","56.34,58.09,57.85,62.16,","620.0,600.0,560.0,460.0,","720.0,700.0,600.0,580.0,","86.41,72.0,77.84,92.64,","70.65,63.25,54.66,77.55,"
15,ESCORTS_19-10-2018_15:32.csv,602.05,0.470873786407767,"700.0,640.0,660.0,800.0,","540.0,600.0,560.0,580.0,","-91.67,-127.5,-130.0,-266.67,","24.39,13.75,-16.33,4.35,","620.0,600.0,580.0,460.0,","700.0,720.0,600.0,620.0,","100.0,70.77,77.82,100.0,","100.0,100.0,72.62,62.82,"
16,ESCORTS_22-10-2018_09:30.csv,598.65,0.4619124797406807,"700.0,640.0,660.0,800.0,","540.0,560.0,580.0,520.0,","nan,-57.14,nan,nan,","nan,nan,nan,nan,","620.0,640.0,460.0,760.0,","460.0,1000.0,460.0,1000.0,","100.0,66.72,100.0,100.0,","100.0,100.0,100.0,100.0,"
17,ESCORTS_22-10-2018_11:50.csv,601.3,0.4326018808777429,"640.0,700.0,660.0,800.0,","540.0,580.0,600.0,560.0,","-66.04,-71.43,-168.75,-50.0,","-105.0,-12.4,-1.87,14.06,","640.0,620.0,580.0,460.0,","700.0,680.0,520.0,600.0,","66.76,78.46,73.54,84.99,","73.65,58.87,50.56,66.19,"
18,ESCORTS_22-10-2018_15:32.csv,573.95,0.4089162182936203,"640.0,700.0,660.0,800.0,","560.0,540.0,520.0,500.0,","-388.89,-140.0,-207.14,25.0,","65.19,40.58,70.59,70.0,","600.0,640.0,560.0,460.0,","700.0,680.0,600.0,520.0,","74.58,81.63,76.64,83.91,","56.06,63.96,69.76,73.65,"
19,ESCORTS_23-10-2018_09:30.csv,571.05,0.3995416348357525,"640.0,700.0,660.0,800.0,","560.0,540.0,520.0,500.0,","-58.33,-150.0,-8.33,nan,","0.57,-3.95,-12.12,nan,","580.0,460.0,460.0,760.0,","620.0,640.0,560.0,460.0,","71.78,79.27,72.67,100.0,","54.14,61.03,66.6,100.0,"
20,ESCORTS_23-10-2018_11:50.csv,579.35,0.4226044226044226,"640.0,700.0,660.0,800.0,","540.0,560.0,500.0,520.0,","-58.33,0.0,-62.5,-300.0,","-21.54,-75.0,-11.11,-146.67,","580.0,460.0,540.0,580.0,","640.0,660.0,520.0,560.0,","70.72,76.64,73.93,82.36,","62.53,57.46,70.53,70.32,"
21,ESCORTS_23-10-2018_15:32.csv,575.4,0.4310197086546701,"640.0,700.0,800.0,600.0,","540.0,560.0,520.0,500.0,","-72.73,-150.0,-33.33,-61.4,","-132.35,-105.88,-117.65,-233.33,","580.0,560.0,540.0,460.0,","640.0,660.0,560.0,640.0,","72.16,79.39,100.0,61.75,","64.66,57.46,69.27,74.08,"
22,ESCORTS_24-10-2018_09:30.csv,583.6,0.41989881956155145,"640.0,700.0,600.0,800.0,","540.0,560.0,580.0,520.0,","60.71,0.0,0.0,nan,","-142.11,-176.32,-112.1,nan,","620.0,600.0,600.0,460.0,","460.0,1000.0,540.0,560.0,","62.63,71.42,55.99,100.0,","63.29,59.35,100.0,100.0,"
23,ESCORTS_24-10-2018_11:50.csv,578.4,0.401743264659271,"640.0,600.0,580.0,700.0,","560.0,540.0,520.0,500.0,","-37.5,-42.86,-44.86,0.0,","-75.0,-109.09,-83.33,-200.0,","580.0,600.0,560.0,580.0,","700.0,660.0,500.0,540.0,","66.51,58.7,50.94,71.59,","57.08,62.24,67.22,70.67,"
24,ESCORTS_24-10-2018_15:32.csv,591.0,0.4515859766277129,"640.0,700.0,800.0,620.0,","580.0,560.0,540.0,520.0,","-37.5,50.0,-50.0,34.78,","-696.97,-1066.67,-557.14,-175.0,","580.0,620.0,580.0,560.0,","660.0,700.0,540.0,640.0,","65.62,69.96,72.91,61.69,","56.56,63.14,66.14,68.5,"
25,ESCORTS_25-10-2018_09:30.csv,583.3,0.4333612740989103,"640.0,700.0,800.0,600.0,","580.0,560.0,540.0,520.0,","nan,-300.0,nan,-220.0,","-5.71,41.67,nan,nan,","600.0,460.0,460.0,760.0,","700.0,460.0,580.0,460.0,","100.0,100.0,100.0,100.0,","100.0,100.0,100.0,100.0,"
26,ESCORTS_25-10-2018_11:50.csv,568.8,0.3650927487352445,"580.0,600.0,640.0,800.0,","560.0,540.0,520.0,500.0,","-476.09,-900.0,-900.0,nan,","70.21,12.5,-100.0,-50.0,","600.0,580.0,520.0,500.0,","640.0,620.0,580.0,540.0,","100.0,100.0,100.0,100.0,","100.0,100.0,100.0,100.0,"
