,name,curprice,pcr,resistance,support,CallChngInLTP,PutChngInLTP,CoiMaxAdd,CoiMaxExit,callprob,putprob
0,KOTAKBANK_14-10-2018_22:03.csv,1166.05,0.7302631578947368,"1200.0,1260.0,1180.0,1240.0,","1000.0,1100.0,1060.0,1140.0,","56.21,55.95,56.51,60.0,","-102.22,-144.5,-137.37,-126.67,","1260.0,1200.0,1140.0,1100.0,","1160.0,1140.0,1000.0,1080.0,","64.82,85.06,56.17,78.82,","90.61,73.77,83.32,60.72,"
1,KOTAKBANK_14-10-2018_22:41.csv,1166.05,0.7302631578947368,"1200.0,1260.0,1180.0,1240.0,","1000.0,1100.0,1060.0,1140.0,","56.21,55.95,56.51,60.0,","-102.22,-144.5,-137.37,-126.67,","1260.0,1200.0,1140.0,1100.0,","1160.0,1140.0,1000.0,1080.0,","64.82,85.06,56.17,78.82,","90.61,73.77,83.32,60.72,"
2,KOTAKBANK_15-10-2018_12:30.csv,1180.7,0.7825590251332826,"1200.0,1260.0,1240.0,1220.0,","1000.0,1100.0,1060.0,1140.0,","10.53,6.0,8.98,12.5,","-51.61,-28.48,-10.59,-26.27,","1180.0,1200.0,1100.0,1160.0,","1140.0,1240.0,1060.0,1300.0,","58.24,82.94,72.83,66.14,","89.79,75.08,82.62,63.26,"
3,KOTAKBANK_15-10-2018_15:32.csv,1168.0,0.8045454545454546,"1200.0,1260.0,1180.0,1240.0,","1000.0,1100.0,1060.0,1140.0,","-23.64,-38.24,-17.32,-38.18,","-51.61,-21.25,-18.99,-16.33,","1180.0,1220.0,1100.0,1140.0,","1160.0,1140.0,980.0,1080.0,","63.95,83.42,55.54,78.04,","89.27,73.12,81.65,60.33,"
4,KOTAKBANK_16-10-2018_09:30.csv,1168.0,0.8045454545454546,"1200.0,1260.0,1180.0,1240.0,","1000.0,1100.0,1060.0,1140.0,","-23.64,-38.24,-17.32,-38.18,","-51.61,-21.25,-18.99,-16.33,","1180.0,1220.0,1100.0,1140.0,","1160.0,1140.0,980.0,1080.0,","63.95,83.42,55.54,78.04,","89.27,73.12,81.65,60.33,"
5,KOTAKBANK_16-10-2018_11:50.csv,1168.25,0.8193697156033821,"1200.0,1260.0,1180.0,1240.0,","1000.0,1100.0,1060.0,1140.0,","-1.05,nan,-2.61,0.88,","nan,-6.85,nan,-2.73,","1180.0,1160.0,1160.0,1140.0,","1200.0,900.0,900.0,1480.0,","62.85,100.0,54.93,76.32,","100.0,73.12,100.0,60.44,"
6,KOTAKBANK_16-10-2018_15:32.csv,1171.85,0.8099601593625498,"1200.0,1180.0,1260.0,1240.0,","1000.0,1100.0,1060.0,1140.0,","-20.33,-13.68,-32.0,-30.23,","-50.0,-73.33,-116.67,-43.64,","1220.0,1180.0,1160.0,1140.0,","1260.0,1200.0,1100.0,1000.0,","100.0,100.0,100.0,100.0,","100.0,76.98,100.0,100.0,"
7,KOTAKBANK_17-10-2018_09:30.csv,1182.35,0.8186549239391513,"1200.0,1260.0,1240.0,1220.0,","1000.0,1100.0,1140.0,1060.0,","5.24,nan,3.0,6.36,","-50.0,nan,-25.0,nan,","1220.0,1200.0,1180.0,1140.0,","1160.0,900.0,900.0,1480.0,","58.62,100.0,74.52,67.22,","90.38,100.0,66.55,100.0,"
8,KOTAKBANK_17-10-2018_11:50.csv,1178.5,0.7996101364522417,"1200.0,1180.0,1220.0,1260.0,","1000.0,1100.0,1060.0,1140.0,","-6.69,2.75,-15.71,-13.04,","-23.53,-61.4,-26.67,-43.75,","1220.0,1200.0,1180.0,1160.0,","1160.0,1080.0,1140.0,1120.0,","60.59,50.77,69.82,82.57,","89.37,78.79,84.95,66.67,"
9,KOTAKBANK_17-10-2018_15:32.csv,1173.05,0.8370967741935483,"1200.0,1220.0,1180.0,1240.0,","1000.0,1100.0,1060.0,1140.0,","-27.83,-40.87,-19.77,-67.24,","30.0,3.16,-5.56,-9.52,","1220.0,1200.0,1180.0,1160.0,","1260.0,1240.0,1040.0,1140.0,","63.58,72.96,53.8,80.26,","86.88,75.5,83.38,63.71,"
