,name,curprice,pcr,resistance,support,CallChngInLTP,PutChngInLTP,CoiMaxAdd,CoiMaxExit,callprob,putprob
0,LT_21-01-2019_16:03.csv,1314.6,0.4203262233375157,"1400.0,1360.0,1380.0,1340.0,","1300.0,1280.0,1200.0,1260.0,","-8.04,-10.25,-7.74,-8.42,","8.79,15.99,40.91,20.0,","1320.0,1300.0,1200.0,1260.0,","1440.0,1420.0,1340.0,1380.0,","79.03,67.82,73.9,60.34,","55.8,63.41,83.42,70.0,"
1,LT_21-01-2019_16:08.csv,1314.6,0.4203262233375157,"1400.0,1360.0,1380.0,1340.0,","1300.0,1280.0,1200.0,1260.0,","-8.04,-10.25,-7.74,-8.42,","8.79,15.99,40.91,20.0,","1320.0,1300.0,1200.0,1260.0,","1440.0,1420.0,1340.0,1380.0,","79.03,67.82,73.9,60.34,","55.8,63.41,83.42,70.0,"
2,LT_22-01-2019_09:00.csv,1314.6,0.4200021010610358,"1400.0,1360.0,1380.0,1340.0,","1300.0,1280.0,1200.0,1260.0,","nan,nan,nan,nan,","nan,nan,nan,nan,","1100.0,1420.0,1100.0,1420.0,","1100.0,1620.0,1100.0,1620.0,","79.07,67.86,73.89,60.36,","56.1,63.69,83.39,70.47,"
3,LT_22-01-2019_09:30.csv,1315.1,0.4191971713810316,"1400.0,1360.0,1380.0,1340.0,","1300.0,1280.0,1200.0,1260.0,","6.72,6.11,6.67,5.18,","-6.4,-7.55,-15.52,-8.89,","1320.0,1360.0,1280.0,1240.0,","1420.0,1000.0,1380.0,1400.0,","77.31,66.53,72.38,59.61,","55.6,63.2,82.92,69.43,"
4,LT_22-01-2019_10:00.csv,1310.2,0.4173033243857113,"1400.0,1360.0,1380.0,1340.0,","1300.0,1280.0,1200.0,1260.0,","-11.0,-10.31,-13.51,-10.91,","4.21,3.39,4.29,6.67,","1320.0,1340.0,1240.0,1260.0,","1500.0,1360.0,1300.0,1400.0,","78.85,68.27,74.13,61.5,","53.9,61.49,81.64,67.82,"
5,LT_22-01-2019_10:30.csv,1308.3,0.4174817255224956,"1400.0,1360.0,1380.0,1340.0,","1300.0,1280.0,1260.0,1200.0,","-11.0,-12.33,-12.75,-10.57,","3.57,4.36,-0.51,-3.08,","1320.0,1400.0,1280.0,1240.0,","1500.0,1440.0,1400.0,1340.0,","79.71,68.88,74.57,62.29,","53.25,60.93,67.73,81.33,"
6,LT_22-01-2019_11:00.csv,1305.85,0.4141537211899685,"1400.0,1360.0,1380.0,1340.0,","1300.0,1280.0,1260.0,1200.0,","-20.65,-21.18,-25.37,-17.68,","8.47,8.06,4.39,1.47,","1320.0,1340.0,1300.0,1240.0,","1500.0,1360.0,1360.0,1400.0,","79.78,69.6,75.23,63.0,","52.28,60.1,67.17,81.59,"
7,LT_22-01-2019_11:30.csv,1302.45,0.4146539476354779,"1400.0,1360.0,1380.0,1340.0,","1300.0,1280.0,1260.0,1200.0,","-29.07,-31.55,-36.59,-27.53,","14.96,17.63,14.04,4.29,","1320.0,1380.0,1300.0,1240.0,","1500.0,1480.0,1360.0,1400.0,","80.3,70.65,76.07,63.96,","50.97,58.82,66.1,81.38,"
8,LT_22-01-2019_12:00.csv,1305.7,0.4114793856103477,"1400.0,1360.0,1380.0,1340.0,","1300.0,1280.0,1260.0,1200.0,","-30.59,-27.46,-33.33,-24.07,","9.62,9.52,4.85,-4.69,","1320.0,1300.0,1300.0,1240.0,","1440.0,1500.0,1360.0,1400.0,","79.93,69.84,75.69,63.2,","52.19,59.94,67.06,81.83,"
9,LT_22-01-2019_12:30.csv,1303.5,0.4144390441474281,"1400.0,1360.0,1380.0,1340.0,","1300.0,1280.0,1260.0,1200.0,","-33.73,-28.8,-38.84,-24.07,","12.55,13.9,10.91,-3.08,","1320.0,1380.0,1260.0,1240.0,","1440.0,1500.0,1360.0,1400.0,","81.12,71.04,77.05,64.34,","51.33,58.92,66.21,81.3,"
10,LT_22-01-2019_13:00.csv,1304.15,0.4123524069028156,"1400.0,1360.0,1380.0,1340.0,","1300.0,1280.0,1260.0,1200.0,","-30.59,-28.12,-33.33,-25.77,","8.67,9.52,4.39,-3.08,","1320.0,1300.0,1240.0,1300.0,","1480.0,1500.0,1360.0,1400.0,","100.0,100.0,100.0,100.0,","100.0,100.0,100.0,100.0,"
11,LT_22-01-2019_13:30.csv,1305.35,0.4106642657062825,"1400.0,1360.0,1380.0,1340.0,","1300.0,1280.0,1260.0,1200.0,","-24.72,-28.12,-37.7,-27.97,","6.9,6.86,1.51,-8.06,","1320.0,1400.0,1240.0,1260.0,","1440.0,1480.0,1360.0,1400.0,","79.89,70.07,75.91,63.37,","52.16,60.1,67.35,82.06,"
12,LT_22-01-2019_14:00.csv,1304.6,0.4115176964607079,"1400.0,1360.0,1380.0,1340.0,","1300.0,1280.0,1260.0,1200.0,","-29.07,-29.47,-36.59,-25.77,","1.82,4.36,-7.69,-8.06,","1320.0,1400.0,1240.0,1260.0,","1440.0,1480.0,1360.0,1400.0,","80.13,70.63,76.31,63.8,","51.95,60.2,67.69,81.85,"
13,LT_22-01-2019_14:30.csv,1303.0,0.40614368621172703,"1400.0,1360.0,1380.0,1340.0,","1300.0,1280.0,1260.0,1200.0,","-30.59,-34.43,-40.0,-30.71,","5.47,6.56,-4.26,-17.54,","1320.0,1340.0,1240.0,1300.0,","1440.0,1500.0,1360.0,1400.0,","80.47,70.91,76.46,64.23,","51.28,59.55,67.42,82.44,"
