,name,curprice,pcr,resistance,support,CallChngInLTP,PutChngInLTP,CoiMaxAdd,CoiMaxExit,callprob,putprob
0,RELIANCE_03-01-2019_09:00.csv,1104.35,0.6210086061288507,"1140.0,1200.0,1160.0,1120.0,","1100.0,1060.0,1040.0,1080.0,","nan,nan,nan,nan,","nan,nan,nan,nan,","840.0,1160.0,840.0,1160.0,","840.0,1380.0,840.0,1380.0,","66.82,88.88,75.43,57.42,","53.18,77.41,85.62,67.18,"
1,RELIANCE_03-01-2019_09:30.csv,1105.1,0.6200269991264988,"1140.0,1200.0,1160.0,1120.0,","1100.0,1060.0,1040.0,1080.0,","-5.67,-6.12,-6.98,-4.29,","1.73,1.41,0.52,0.74,","1140.0,1120.0,1100.0,1000.0,","1100.0,1220.0,1140.0,1400.0,","69.61,90.74,78.65,58.81,","52.83,73.9,81.91,63.86,"
2,RELIANCE_03-01-2019_10:00.csv,1109.1,0.6292591434823382,"1140.0,1200.0,1160.0,1120.0,","1100.0,1060.0,1040.0,1080.0,","1.97,0.0,1.83,1.94,","-1.79,-1.45,-1.06,-2.02,","1120.0,1200.0,1100.0,1000.0,","1100.0,840.0,1220.0,1180.0,","67.56,90.0,77.03,56.53,","54.87,74.88,82.73,65.38,"
3,RELIANCE_03-01-2019_10:22.csv,1113.4,0.6281276962899051,"1140.0,1200.0,1160.0,1120.0,","1100.0,1060.0,1040.0,1080.0,","8.96,8.77,10.31,9.25,","-9.23,-10.67,-10.47,-11.26,","1120.0,1200.0,1100.0,1000.0,","1100.0,840.0,1220.0,1120.0,","65.14,88.81,75.04,53.89,","57.17,76.84,84.21,67.61,"
4,RELIANCE_03-01-2019_10:26.csv,1113.0,0.6323540932236584,"1140.0,1200.0,1160.0,1120.0,","1100.0,1060.0,1040.0,1080.0,","8.59,6.59,8.26,8.71,","-9.65,-11.11,-9.83,-10.35,","1120.0,1200.0,1100.0,1040.0,","1100.0,1160.0,1220.0,1120.0,","65.36,88.92,75.22,54.12,","56.96,76.67,84.08,67.42,"
5,RELIANCE_03-01-2019_10:30.csv,1111.75,0.6329153605015674,"1140.0,1200.0,1160.0,1120.0,","1100.0,1060.0,1040.0,1080.0,","7.45,7.69,6.94,7.88,","-7.98,-9.38,-11.76,-8.58,","1120.0,1200.0,1100.0,1040.0,","1100.0,1160.0,1220.0,1120.0,","66.04,89.26,75.8,54.86,","56.3,76.16,83.68,66.81,"
6,RELIANCE_03-01-2019_10:47.csv,1105.5,0.6261393480611772,"1140.0,1200.0,1120.0,1160.0,","1100.0,1060.0,1040.0,1080.0,","-4.44,-7.59,-3.58,-5.92,","3.89,5.72,2.56,4.48,","1120.0,1200.0,1100.0,1040.0,","1100.0,1160.0,1220.0,840.0,","69.53,91.09,58.65,78.89,","52.95,73.38,81.59,63.67,"
7,RELIANCE_03-01-2019_11:00.csv,1105.35,0.6235994127192643,"1140.0,1200.0,1120.0,1160.0,","1100.0,1060.0,1040.0,1080.0,","-2.29,-6.85,-2.18,-3.21,","3.73,6.04,6.86,5.59,","1120.0,1200.0,1100.0,1040.0,","1160.0,1100.0,1140.0,1220.0,","69.55,90.84,58.68,78.66,","52.85,73.28,81.34,63.51,"
8,RELIANCE_03-01-2019_11:30.csv,1104.75,0.622737035900583,"1140.0,1200.0,1120.0,1160.0,","1100.0,1060.0,1040.0,1080.0,","-1.82,-4.7,-2.18,-3.87,","3.73,5.72,7.32,6.03,","1120.0,1200.0,1100.0,1000.0,","1160.0,1100.0,1140.0,1220.0,","69.57,90.87,58.89,78.56,","52.52,72.93,81.08,63.08,"
9,RELIANCE_03-01-2019_12:00.csv,1101.6,0.6149594973124385,"1140.0,1200.0,1120.0,1160.0,","1100.0,1060.0,1040.0,1080.0,","-3.95,-6.85,-4.47,-4.21,","8.24,10.83,11.63,8.37,","1120.0,1200.0,1100.0,1000.0,","1160.0,1100.0,1140.0,1220.0,","70.53,91.15,60.4,79.25,","50.86,71.55,79.89,61.49,"
10,RELIANCE_03-01-2019_12:30.csv,1100.3,0.6093538183461364,"1140.0,1200.0,1120.0,1160.0,","1100.0,1060.0,1040.0,1080.0,","-5.92,-8.33,-6.11,-6.98,","8.83,10.54,12.44,8.78,","1120.0,1200.0,1100.0,1000.0,","1160.0,1240.0,1140.0,1220.0,","71.04,91.15,60.97,79.58,","50.16,71.29,79.87,61.11,"
11,RELIANCE_03-01-2019_13:00.csv,1100.6,0.6113412154529708,"1140.0,1200.0,1120.0,1160.0,","1100.0,1060.0,1040.0,1080.0,","-3.95,-6.12,-4.47,-5.23,","7.64,10.54,11.21,8.58,","1120.0,1200.0,1100.0,1000.0,","1160.0,840.0,1140.0,1220.0,","70.96,91.11,60.83,79.54,","50.33,71.26,80.16,61.27,"
12,RELIANCE_03-01-2019_13:30.csv,1102.15,0.6080959520239879,"1140.0,1200.0,1120.0,1160.0,","1100.0,1060.0,1040.0,1080.0,","-2.52,-5.41,-2.53,-3.87,","4.86,5.08,7.32,5.15,","1120.0,1200.0,1100.0,1060.0,","1160.0,840.0,1140.0,1220.0,","70.28,90.99,59.97,79.05,","51.19,72.26,80.48,62.15,"
13,RELIANCE_03-01-2019_14:30.csv,1094.0,0.5958795562599051,"1140.0,1200.0,1120.0,1160.0,","1060.0,1040.0,1080.0,1000.0,","-18.88,-22.83,-18.06,-20.15,","20.0,19.15,18.18,20.0,","1120.0,1200.0,1040.0,1100.0,","840.0,860.0,1140.0,1220.0,","73.5,92.15,63.97,81.85,","68.65,77.8,57.96,89.95,"
14,RELIANCE_03-01-2019_15:00.csv,1095.0,0.5880760737944298,"1140.0,1200.0,1120.0,1160.0,","1060.0,1080.0,1040.0,1000.0,","-15.8,-23.81,-16.7,-18.38,","16.67,15.45,18.1,20.0,","1120.0,1200.0,1060.0,1100.0,","1000.0,840.0,1140.0,1300.0,","73.66,92.52,63.85,81.66,","68.85,58.19,77.56,90.09,"
15,RELIANCE_03-01-2019_15:32.csv,1090.5,0.5796012915906219,"1140.0,1200.0,1120.0,1160.0,","1060.0,1080.0,1040.0,1000.0,","-23.48,-32.2,-22.58,-24.32,","23.91,21.51,25.2,23.48,","1120.0,1200.0,1060.0,1100.0,","1240.0,1000.0,1140.0,1120.0,","75.67,93.13,66.32,83.25,","66.52,55.78,75.9,89.11,"
16,RELIANCE_04-01-2019_09:30.csv,1088.7,0.5692202928157984,"1140.0,1200.0,1120.0,1160.0,","1060.0,1080.0,1040.0,1000.0,","-7.0,-7.02,-6.33,-6.61,","8.44,7.68,9.45,9.45,","1100.0,1140.0,1040.0,1080.0,","840.0,1400.0,840.0,1400.0,","75.86,92.89,66.83,83.38,","65.18,54.7,74.62,88.21,"
17,RELIANCE_04-01-2019_10:00.csv,1087.65,0.5759712613092071,"1140.0,1200.0,1120.0,1160.0,","1060.0,1080.0,1040.0,1000.0,","-9.23,-12.96,-8.39,-10.26,","9.14,8.18,9.78,14.18,","1100.0,1200.0,980.0,1040.0,","1220.0,1040.0,1120.0,840.0,","76.37,93.02,67.26,83.71,","64.79,54.15,74.25,87.96,"
18,RELIANCE_04-01-2019_10:30.csv,1085.65,0.5732866763501915,"1140.0,1200.0,1120.0,1160.0,","1060.0,1080.0,1040.0,1020.0,","-11.55,-14.02,-10.04,-12.17,","12.04,10.46,12.32,13.2,","1100.0,1200.0,1080.0,980.0,","1220.0,1000.0,1100.0,1120.0,","77.19,93.29,68.34,84.34,","63.79,53.07,73.32,81.37,"
19,RELIANCE_04-01-2019_11:00.csv,1087.6,0.5740704691454156,"1140.0,1200.0,1120.0,1160.0,","1060.0,1080.0,1020.0,1040.0,","-8.58,-12.96,-6.11,-7.95,","9.82,8.35,15.76,11.7,","1100.0,1200.0,1020.0,1080.0,","1220.0,1000.0,1100.0,1120.0,","76.23,93.05,67.2,83.51,","64.72,54.13,81.84,74.18,"
20,RELIANCE_04-01-2019_11:30.csv,1091.2,0.567692407780886,"1140.0,1200.0,1120.0,1160.0,","1060.0,1080.0,1040.0,1020.0,","-1.1,-3.39,0.0,-3.2,","1.1,0.39,1.19,2.84,","1100.0,1200.0,1020.0,1080.0,","1220.0,1000.0,1100.0,1120.0,","74.8,92.7,65.52,82.72,","66.62,56.13,75.88,82.98,"
