,name,curprice,pcr,resistance,support,CallChngInLTP,PutChngInLTP,CoiMaxAdd,CoiMaxExit,callprob,putprob
0,TCS_02-01-2019_12:17.csv,1932.2,1.077814310317833,"2200.0,2000.0,2100.0,1940.0,","1700.0,1800.0,1900.0,1860.0,","17.05,19.88,16.77,16.28,","-21.43,-33.93,-24.2,-28.57,","2000.0,1940.0,1800.0,1860.0,","1900.0,2100.0,1740.0,2000.0,","96.81,70.34,89.21,52.49,","94.42,82.2,59.0,69.56,"
1,TCS_02-01-2019_12:30.csv,1928.7,1.078198310916484,"2200.0,2000.0,2100.0,1940.0,","1700.0,1800.0,1900.0,1860.0,","13.01,15.1,9.74,12.97,","-21.43,-28.36,-20.81,-23.31,","2000.0,2200.0,1800.0,1860.0,","1900.0,2100.0,1960.0,2000.0,","97.02,71.34,89.92,53.64,","94.22,81.63,58.09,68.71,"
2,TCS_02-01-2019_13:00.csv,1923.0,1.090636822194199,"2200.0,2000.0,2100.0,1940.0,","1700.0,1800.0,1900.0,1860.0,","3.6,10.47,3.47,8.16,","-17.24,-22.09,-12.2,-16.71,","2000.0,2200.0,1800.0,1860.0,","1900.0,2100.0,1960.0,2000.0,","97.35,73.09,90.9,55.66,","94.03,80.42,56.31,67.18,"
3,TCS_02-01-2019_13:30.csv,1921.75,1.087669504888048,"2200.0,2000.0,2100.0,1940.0,","1700.0,1800.0,1900.0,1860.0,","2.73,8.95,0.71,6.66,","-23.19,-19.86,-12.94,-16.71,","2000.0,2200.0,1800.0,1860.0,","1900.0,2100.0,1900.0,1960.0,","97.31,73.36,90.74,56.06,","94.19,80.55,56.15,66.92,"
4,TCS_02-01-2019_14:00.csv,1918.0,1.0781616382679382,"2200.0,2000.0,2100.0,1940.0,","1700.0,1800.0,1900.0,1860.0,","0.0,6.97,-0.36,4.42,","-12.58,-15.64,-9.93,-10.65,","2000.0,2200.0,1800.0,1860.0,","1900.0,2100.0,1900.0,1960.0,","97.34,74.21,91.25,57.18,","94.0,80.06,55.06,66.08,"
5,TCS_02-01-2019_14:30.csv,1919.5,1.0734655920644762,"2200.0,2000.0,2100.0,1940.0,","1700.0,1800.0,1900.0,1860.0,","0.0,6.83,0.0,5.76,","-12.58,-19.59,-11.36,-15.94,","2000.0,2200.0,1800.0,1860.0,","1900.0,2100.0,2000.0,1900.0,","97.31,73.76,90.84,56.62,","93.95,80.22,55.54,66.37,"
6,TCS_02-01-2019_15:00.csv,1926.7,1.0660813308687616,"2200.0,2000.0,2100.0,1940.0,","1700.0,1800.0,1900.0,1860.0,","0.0,12.07,3.47,9.17,","-20.57,-31.91,-18.65,-21.25,","2000.0,2200.0,1800.0,1860.0,","1900.0,1920.0,2000.0,1900.0,","100.0,100.0,100.0,100.0,","100.0,100.0,100.0,100.0,"
7,TCS_02-01-2019_15:32.csv,1919.0,1.0761712690040337,"2200.0,2000.0,2100.0,1940.0,","1700.0,1800.0,1900.0,1860.0,","-7.0,6.15,-6.92,5.43,","-15.65,-19.05,-10.74,-12.07,","2000.0,1950.0,1800.0,1860.0,","1900.0,1920.0,2000.0,1900.0,","97.42,73.99,91.08,56.83,","93.88,80.26,55.38,66.25,"
8,TCS_02-01-2019_23:42.csv,1919.0,1.0630658278348937,"2200.0,2000.0,2100.0,1940.0,","1700.0,1800.0,1900.0,1860.0,","-7.0,9.59,-3.73,4.42,","-15.65,-17.98,-10.74,-12.5,","2000.0,1960.0,1800.0,1860.0,","1900.0,1920.0,2000.0,1780.0,","97.47,74.76,91.11,57.09,","93.75,78.88,55.06,65.49,"
9,TCS_02-01-2019_23:47.csv,1919.0,1.0630658278348937,"2200.0,2000.0,2100.0,1940.0,","1700.0,1800.0,1900.0,1860.0,","-7.0,9.59,-3.73,4.42,","-15.65,-17.98,-10.74,-12.5,","2000.0,1960.0,1800.0,1860.0,","1900.0,1920.0,2000.0,1780.0,","97.47,74.76,91.11,57.09,","93.75,78.88,55.06,65.49,"
