,name,curprice,pcr,resistance,support,CallChngInLTP,PutChngInLTP,CoiMaxAdd,CoiMaxExit,callprob,putprob
0,YESBANK_14-10-2018_22:03.csv,245.65,0.6513513513513514,"300.0,280.0,250.0,260.0,","200.0,220.0,210.0,190.0,","0.0,4.46,8.68,8.41,","-36.84,-40.68,-40.74,-42.11,","240.0,330.0,240.0,200.0,","230.0,250.0,230.0,180.0,","83.02,74.08,53.59,61.37,","81.52,70.45,76.66,85.76,"
1,YESBANK_14-10-2018_22:41.csv,245.65,0.6513513513513514,"300.0,280.0,250.0,260.0,","200.0,220.0,210.0,190.0,","0.0,4.46,8.68,8.41,","-36.84,-40.68,-40.74,-42.11,","240.0,330.0,240.0,200.0,","230.0,250.0,230.0,180.0,","83.02,74.08,53.59,61.37,","81.52,70.45,76.66,85.76,"
2,YESBANK_15-10-2018_12:30.csv,246.35,0.6415643018300325,"300.0,280.0,250.0,260.0,","220.0,200.0,190.0,210.0,","-23.08,-18.0,-6.47,-10.55,","-2.63,-5.66,-5.56,-3.95,","250.0,300.0,220.0,230.0,","240.0,340.0,200.0,210.0,","80.23,71.95,52.73,59.87,","68.99,79.34,83.25,74.79,"
3,YESBANK_15-10-2018_15:32.csv,246.35,0.6372677705977383,"300.0,280.0,250.0,260.0,","220.0,200.0,190.0,240.0,","-30.61,-22.92,-12.55,-17.02,","-18.18,-21.74,-15.15,-9.82,","300.0,260.0,220.0,240.0,","240.0,320.0,210.0,250.0,","81.1,72.52,52.85,60.22,","69.61,79.86,83.39,54.97,"
4,YESBANK_16-10-2018_09:30.csv,246.35,0.6376488472257411,"300.0,280.0,250.0,260.0,","220.0,200.0,190.0,240.0,","-28.0,-24.21,-11.7,-16.4,","-18.18,-21.74,-11.76,-9.33,","300.0,270.0,220.0,205.0,","240.0,230.0,210.0,250.0,","81.02,72.65,52.86,60.33,","69.83,80.13,83.6,55.04,"
5,YESBANK_16-10-2018_11:50.csv,249.8,0.6299038122576421,"300.0,280.0,250.0,260.0,","220.0,200.0,190.0,240.0,","-22.5,-15.66,2.23,-4.44,","-39.73,-41.18,-41.67,-30.46,","260.0,250.0,250.0,230.0,","220.0,300.0,180.0,200.0,","80.91,71.65,50.17,58.22,","72.31,81.63,84.84,58.11,"
6,YESBANK_16-10-2018_15:32.csv,249.25,0.6318127809061321,"300.0,280.0,250.0,260.0,","220.0,200.0,190.0,240.0,","-68.97,-54.84,-16.89,-25.33,","-85.45,-118.18,-70.0,-54.42,","280.0,260.0,230.0,250.0,","400.0,300.0,200.0,180.0,","82.77,74.06,50.7,59.58,","74.2,83.15,85.46,58.61,"
7,YESBANK_17-10-2018_09:30.csv,250.85,0.6353865233567589,"300.0,280.0,260.0,270.0,","220.0,200.0,240.0,190.0,","-20.0,-12.73,-6.38,-8.89,","-42.86,-47.06,-35.4,-90.0,","270.0,280.0,240.0,230.0,","250.0,230.0,245.0,225.0,","82.47,73.85,58.63,67.01,","75.42,84.55,60.45,86.55,"
8,YESBANK_17-10-2018_11:50.csv,235.35,0.6201015228426396,"300.0,280.0,250.0,240.0,","220.0,200.0,210.0,190.0,","-76.47,-87.88,-94.07,-78.31,","47.83,45.65,47.14,38.71,","240.0,250.0,230.0,210.0,","280.0,330.0,250.0,220.0,","86.12,80.47,62.99,54.29,","62.98,75.41,70.5,80.0,"
9,YESBANK_17-10-2018_15:32.csv,233.0,0.6008601062484189,"300.0,250.0,280.0,240.0,","220.0,200.0,210.0,190.0,","-150.0,-133.67,-169.57,-124.67,","50.41,41.86,45.59,26.92,","250.0,240.0,210.0,230.0,","280.0,200.0,240.0,250.0,","86.61,64.95,81.24,56.66,","61.59,75.89,69.91,80.92,"
10,YESBANK_18-10-2018_09:30.csv,233.0,0.6024035034117527,"300.0,250.0,280.0,240.0,","220.0,200.0,210.0,190.0,","-150.0,-133.67,-169.57,-124.67,","48.72,37.5,45.59,26.92,","250.0,240.0,210.0,230.0,","280.0,200.0,240.0,250.0,","87.48,65.17,82.41,56.89,","61.43,75.69,69.7,80.74,"
11,YESBANK_18-10-2018_11:50.csv,233.0,0.6024035034117527,"300.0,250.0,280.0,240.0,","220.0,200.0,210.0,190.0,","-150.0,-133.67,-169.57,-124.67,","48.72,37.5,45.59,26.92,","250.0,240.0,210.0,230.0,","280.0,200.0,240.0,250.0,","87.48,65.17,82.41,56.89,","61.43,75.69,69.7,80.74,"
12,YESBANK_18-10-2018_15:32.csv,233.0,0.6024035034117527,"300.0,250.0,280.0,240.0,","220.0,200.0,210.0,190.0,","-150.0,-133.67,-169.57,-124.67,","48.72,37.5,45.59,26.92,","250.0,240.0,210.0,230.0,","280.0,200.0,240.0,250.0,","87.48,65.17,82.41,56.89,","61.43,75.69,69.7,80.74,"
13,YESBANK_19-10-2018_09:30.csv,228.55,0.6029604269459269,"300.0,250.0,280.0,240.0,","220.0,200.0,210.0,190.0,","-20.0,-18.75,-31.58,-30.25,","18.67,26.32,19.32,27.78,","230.0,250.0,210.0,220.0,","300.0,290.0,230.0,180.0,","85.01,66.0,80.42,59.26,","56.84,69.97,64.19,74.88,"
