,Name,Curprice,R1,R2,R3,R4,S1,S2,S3,S4
0,BANKNIFTY_14-10-2018_22:03,25395.85,26000.0,25500.0,26500.0,25700.0,25000.0,24500.0,24000.0,24700.0
1,BANKNIFTY_14-10-2018_22:41,25395.85,26000.0,25500.0,26500.0,25700.0,25000.0,24500.0,24000.0,24700.0
2,BANKNIFTY_15-10-2018_12:30,25335.2,25500.0,26000.0,25700.0,25800.0,25000.0,24500.0,24700.0,24000.0
3,BANKNIFTY_15-10-2018_15:32,25402.95,26000.0,25500.0,25700.0,25800.0,25000.0,24500.0,24000.0,24700.0
4,BANKNIFTY_16-10-2018_09:30,25388.05,26000.0,25500.0,25700.0,25800.0,25000.0,24500.0,24000.0,24700.0
5,BANKNIFTY_16-10-2018_11:50,25681.85,26000.0,25800.0,25700.0,26200.0,25000.0,24500.0,25500.0,24000.0
6,BANKNIFTY_16-10-2018_15:32,25558.7,26000.0,25900.0,25800.0,25700.0,25000.0,24500.0,25500.0,25300.0
7,BANKNIFTY_17-10-2018_09:30,25827.85,26000.0,26100.0,26200.0,25900.0,25500.0,25000.0,25400.0,25600.0
8,BANKNIFTY_17-10-2018_11:50,25571.0,26000.0,25800.0,25900.0,26100.0,25400.0,25500.0,25300.0,25000.0
9,BANKNIFTY_17-10-2018_15:32,25195.3,26000.0,25500.0,25700.0,25600.0,25100.0,25000.0,24500.0,24000.0
10,BANKNIFTY_18-10-2018_09:30,25188.6,26000.0,25500.0,25700.0,25600.0,25100.0,25000.0,24500.0,24000.0
11,BANKNIFTY_18-10-2018_11:50,25188.6,26000.0,25500.0,25700.0,25600.0,25100.0,25000.0,24500.0,24000.0
12,BANKNIFTY_18-10-2018_15:32,25188.6,26000.0,25500.0,25700.0,25600.0,25100.0,25000.0,24500.0,24000.0
13,BANKNIFTY_19-10-2018_09:30,25239.95,26000.0,25500.0,26500.0,25800.0,24500.0,25000.0,24000.0,23500.0
14,BANKNIFTY_19-10-2018_11:50,25077.9,26000.0,25500.0,26500.0,25700.0,24500.0,25000.0,24000.0,23500.0
15,BANKNIFTY_19-10-2018_15:32,25107.45,26000.0,25500.0,26500.0,25700.0,24500.0,24000.0,25000.0,23500.0
16,BANKNIFTY_22-10-2018_09:30,25279.6,26000.0,25500.0,26500.0,25700.0,24500.0,25000.0,24000.0,23500.0
17,BANKNIFTY_22-10-2018_11:50,25355.35,26000.0,25500.0,25600.0,26500.0,25000.0,24500.0,24000.0,24800.0
18,BANKNIFTY_22-10-2018_15:32,25114.5,25500.0,26000.0,25600.0,26500.0,24500.0,25000.0,24000.0,23500.0
19,BANKNIFTY_23-10-2018_09:30,24918.9,25500.0,26000.0,25000.0,25600.0,24500.0,24000.0,23500.0,24800.0
20,BANKNIFTY_23-10-2018_11:50,24972.9,25500.0,26000.0,25000.0,25200.0,24500.0,24000.0,24800.0,23500.0
21,BANKNIFTY_23-10-2018_15:32,25030.25,25500.0,26000.0,25200.0,25300.0,24500.0,25000.0,24000.0,24800.0
22,BANKNIFTY_24-10-2018_09:30,25242.45,25500.0,26000.0,25300.0,25800.0,25000.0,24500.0,24000.0,24900.0
23,BANKNIFTY_24-10-2018_11:50,25136.15,25500.0,26000.0,25400.0,25300.0,25000.0,24500.0,24000.0,24800.0
24,BANKNIFTY_24-10-2018_15:32,25082.45,25500.0,26000.0,25300.0,25400.0,25000.0,24500.0,24000.0,24700.0
25,BANKNIFTY_25-10-2018_09:30,24931.3,25500.0,25200.0,25000.0,25300.0,24500.0,24000.0,24600.0,24700.0
26,BANKNIFTY_25-10-2018_11:50,24836.55,25000.0,25500.0,25300.0,25200.0,24500.0,24600.0,24000.0,24700.0
27,BANKNIFTY_25-10-2018_15:32,24845.65,25000.0,25500.0,25200.0,25100.0,24500.0,24600.0,24700.0,24000.0
28,BANKNIFTY_26-10-2018_09:30,24631.9,25500.0,25000.0,26000.0,25800.0,24000.0,24500.0,23500.0,23000.0
29,BANKNIFTY_26-10-2018_11:50,24654.2,25000.0,25500.0,25200.0,25300.0,24000.0,24500.0,23500.0,24100.0
30,BANKNIFTY_26-10-2018_15:32,24388.55,25000.0,25500.0,25200.0,26000.0,24000.0,23500.0,22800.0,23000.0
31,BANKNIFTY_29-10-2018_09:30,24518.75,25000.0,25500.0,25200.0,26000.0,24000.0,24500.0,23500.0,22800.0
32,BANKNIFTY_29-10-2018_11:50,24604.7,25000.0,25200.0,25500.0,26000.0,24000.0,24500.0,23500.0,24200.0
33,BANKNIFTY_29-10-2018_15:32,24992.6,25500.0,25000.0,25300.0,26000.0,24000.0,24500.0,24300.0,24400.0
34,BANKNIFTY_30-10-2018_09:30,25040.7,25500.0,25300.0,25200.0,26000.0,24500.0,24000.0,24300.0,24200.0
35,BANKNIFTY_30-10-2018_11:50,24912.6,25500.0,25400.0,25200.0,25300.0,24500.0,24000.0,24200.0,24400.0
36,BANKNIFTY_30-10-2018_15:32,24805.5,25500.0,25200.0,25000.0,25400.0,24500.0,24000.0,24200.0,24400.0
37,BANKNIFTY_31-10-2018_09:30,24799.8,25500.0,25200.0,25000.0,25300.0,24500.0,24000.0,24200.0,24400.0
38,BANKNIFTY_31-10-2018_11:50,24697.65,25000.0,25500.0,25100.0,25200.0,24000.0,24500.0,24400.0,24200.0
39,BANKNIFTY_31-10-2018_15:32,25073.85,25500.0,25400.0,25200.0,25600.0,24500.0,24000.0,24800.0,24700.0
40,BANKNIFTY_01-11-2018_09:30,25180.9,25500.0,25600.0,25400.0,25300.0,25000.0,24800.0,24500.0,24700.0
41,BANKNIFTY_01-11-2018_11:50,25212.6,25500.0,25400.0,25600.0,25300.0,25000.0,24800.0,24900.0,24500.0
42,BANKNIFTY_01-11-2018_15:32,25329.8,25500.0,25400.0,25600.0,25700.0,25000.0,25300.0,25200.0,24900.0
43,BANKNIFTY_02-11-2018_09:30,25588.7,26000.0,25700.0,25800.0,25600.0,25000.0,24500.0,24000.0,25300.0
44,BANKNIFTY_02-11-2018_11:50,25755.2,26000.0,25800.0,25900.0,26500.0,25000.0,25300.0,25500.0,24500.0
45,BANKNIFTY_02-11-2018_15:32,25722.35,26000.0,25800.0,26500.0,26100.0,25000.0,25500.0,25300.0,25400.0
46,BANKNIFTY_05-11-2018_09:30,25555.9,26000.0,25800.0,25700.0,26100.0,25000.0,25300.0,25500.0,25400.0
47,BANKNIFTY_05-11-2018_11:50,25625.35,26000.0,25800.0,26100.0,25700.0,25500.0,25000.0,25400.0,25300.0
48,BANKNIFTY_05-11-2018_15:32,25747.95,26000.0,26100.0,25800.0,25900.0,25500.0,25000.0,25400.0,25600.0
49,BANKNIFTY_06-11-2018_09:30,25828.1,26000.0,26100.0,26200.0,25900.0,25500.0,25600.0,25400.0,25000.0
50,BANKNIFTY_06-11-2018_11:50,25769.8,26000.0,25900.0,26100.0,25800.0,25500.0,25700.0,25600.0,25400.0
51,BANKNIFTY_06-11-2018_15:32,25612.1,26000.0,25800.0,25700.0,25900.0,25500.0,25400.0,25000.0,25600.0
52,BANKNIFTY_07-11-2018_09:30,25598.0,26000.0,25800.0,25700.0,25900.0,25500.0,25400.0,25000.0,25300.0
53,BANKNIFTY_07-11-2018_11:50,25598.0,26000.0,25800.0,25700.0,25900.0,25500.0,25400.0,25000.0,25300.0
54,BANKNIFTY_07-11-2018_15:32,25598.0,26000.0,25800.0,25700.0,25900.0,25500.0,25400.0,25000.0,25300.0
55,BANKNIFTY_08-11-2018_09:30,25737.5,26000.0,26500.0,26200.0,26100.0,25500.0,25000.0,25300.0,24500.0
56,BANKNIFTY_08-11-2018_11:50,25737.5,26000.0,26500.0,26200.0,26100.0,25500.0,25000.0,25300.0,24500.0
