,Name,Curprice,R1,R2,R3,R4,S1,S2,S3,S4
0,BIOCON_14-10-2018_22:03,608.3,700.0,720.0,740.0,640.0,560.0,580.0,600.0,550.0
1,BIOCON_14-10-2018_22:41,608.3,700.0,720.0,740.0,640.0,560.0,580.0,600.0,550.0
2,BIOCON_15-10-2018_12:30,628.2,700.0,720.0,740.0,640.0,600.0,560.0,580.0,620.0
3,BIOCON_15-10-2018_15:32,627.0,700.0,720.0,740.0,640.0,600.0,580.0,560.0,620.0
4,BIOCON_16-10-2018_09:30,627.9,700.0,720.0,740.0,640.0,600.0,580.0,560.0,620.0
5,BIOCON_16-10-2018_11:50,626.7,700.0,720.0,740.0,640.0,600.0,580.0,560.0,620.0
6,BIOCON_16-10-2018_15:32,628.3,700.0,720.0,740.0,640.0,600.0,580.0,560.0,620.0
7,BIOCON_17-10-2018_09:30,631.35,700.0,720.0,640.0,740.0,600.0,580.0,560.0,620.0
8,BIOCON_17-10-2018_11:50,636.85,720.0,700.0,640.0,740.0,600.0,580.0,560.0,620.0
9,BIOCON_17-10-2018_15:32,634.0,720.0,700.0,660.0,740.0,600.0,580.0,560.0,550.0
10,BIOCON_18-10-2018_09:30,634.0,720.0,700.0,740.0,660.0,600.0,580.0,560.0,550.0
11,BIOCON_18-10-2018_11:50,634.0,720.0,700.0,740.0,660.0,600.0,580.0,560.0,550.0
12,BIOCON_18-10-2018_15:32,634.0,720.0,700.0,740.0,660.0,600.0,580.0,560.0,550.0
13,BIOCON_19-10-2018_09:30,655.35,720.0,700.0,660.0,740.0,600.0,580.0,560.0,550.0
14,BIOCON_19-10-2018_11:50,658.0,720.0,700.0,660.0,680.0,600.0,640.0,580.0,560.0
15,BIOCON_19-10-2018_15:32,662.75,720.0,700.0,680.0,740.0,600.0,640.0,580.0,560.0
16,BIOCON_22-10-2018_09:30,671.65,720.0,700.0,680.0,740.0,600.0,640.0,660.0,620.0
17,BIOCON_22-10-2018_11:50,679.05,680.0,720.0,700.0,740.0,600.0,660.0,640.0,650.0
18,BIOCON_22-10-2018_15:32,673.9,720.0,680.0,700.0,740.0,600.0,660.0,640.0,650.0
19,BIOCON_23-10-2018_09:30,660.55,680.0,720.0,700.0,780.0,600.0,660.0,640.0,650.0
20,BIOCON_23-10-2018_11:50,632.3,680.0,700.0,720.0,660.0,600.0,620.0,580.0,560.0
21,BIOCON_23-10-2018_15:32,626.95,680.0,700.0,720.0,660.0,600.0,620.0,560.0,580.0
22,BIOCON_24-10-2018_09:30,641.5,680.0,700.0,720.0,660.0,600.0,620.0,560.0,640.0
23,BIOCON_24-10-2018_11:50,639.25,680.0,700.0,640.0,720.0,600.0,620.0,560.0,580.0
24,BIOCON_24-10-2018_15:32,643.5,680.0,700.0,660.0,720.0,600.0,620.0,640.0,560.0
25,BIOCON_25-10-2018_09:30,646.4,680.0,700.0,660.0,720.0,600.0,620.0,640.0,560.0
26,BIOCON_25-10-2018_11:50,632.0,680.0,640.0,660.0,700.0,600.0,620.0,630.0,580.0
27,BIOCON_25-10-2018_15:32,617.05,680.0,700.0,640.0,720.0,600.0,560.0,580.0,550.0
28,BIOCON_26-10-2018_09:30,635.35,700.0,660.0,650.0,640.0,600.0,540.0,620.0,630.0
29,BIOCON_26-10-2018_11:50,613.75,700.0,660.0,640.0,650.0,600.0,580.0,540.0,560.0
30,BIOCON_26-10-2018_15:32,602.5,700.0,660.0,640.0,650.0,600.0,580.0,560.0,540.0
31,BIOCON_29-10-2018_09:30,598.45,700.0,640.0,660.0,650.0,580.0,560.0,540.0,590.0
32,BIOCON_29-10-2018_11:50,619.7,700.0,640.0,660.0,680.0,600.0,580.0,560.0,540.0
33,BIOCON_29-10-2018_15:32,622.2,700.0,660.0,640.0,680.0,600.0,580.0,560.0,540.0
34,BIOCON_30-10-2018_09:30,627.8,700.0,660.0,640.0,680.0,600.0,580.0,560.0,540.0
35,BIOCON_30-10-2018_11:50,635.5,700.0,660.0,640.0,680.0,600.0,580.0,560.0,620.0
36,BIOCON_30-10-2018_15:32,643.85,700.0,660.0,680.0,650.0,600.0,580.0,560.0,540.0
37,BIOCON_31-10-2018_09:30,639.8,700.0,660.0,680.0,640.0,600.0,560.0,580.0,540.0
38,BIOCON_31-10-2018_11:50,647.5,700.0,680.0,660.0,650.0,600.0,560.0,580.0,540.0
39,BIOCON_31-10-2018_15:32,658.0,700.0,680.0,660.0,740.0,600.0,640.0,580.0,620.0
40,BIOCON_01-11-2018_09:30,658.7,700.0,680.0,660.0,740.0,600.0,580.0,620.0,640.0
41,BIOCON_01-11-2018_11:50,650.4,700.0,680.0,660.0,670.0,600.0,580.0,640.0,560.0
42,BIOCON_01-11-2018_15:32,644.45,700.0,680.0,660.0,650.0,600.0,580.0,640.0,620.0
43,BIOCON_02-11-2018_09:30,647.45,700.0,680.0,660.0,650.0,600.0,580.0,640.0,560.0
44,BIOCON_02-11-2018_11:50,640.0,700.0,680.0,660.0,640.0,600.0,580.0,560.0,620.0
45,BIOCON_02-11-2018_15:32,630.75,700.0,680.0,660.0,640.0,600.0,580.0,560.0,620.0
46,BIOCON_05-11-2018_09:30,636.35,700.0,680.0,660.0,640.0,600.0,580.0,560.0,620.0
47,BIOCON_05-11-2018_11:50,627.85,700.0,680.0,660.0,640.0,600.0,580.0,560.0,620.0
48,BIOCON_05-11-2018_15:32,628.0,700.0,680.0,660.0,640.0,600.0,580.0,560.0,620.0
49,BIOCON_06-11-2018_09:30,628.4,700.0,680.0,660.0,640.0,600.0,580.0,560.0,620.0
50,BIOCON_06-11-2018_11:50,631.0,700.0,680.0,660.0,640.0,600.0,580.0,560.0,620.0
51,BIOCON_06-11-2018_15:32,629.7,700.0,680.0,660.0,640.0,600.0,580.0,560.0,620.0
52,BIOCON_07-11-2018_09:30,629.5,700.0,680.0,660.0,640.0,600.0,580.0,560.0,620.0
53,BIOCON_07-11-2018_11:50,629.5,700.0,680.0,660.0,640.0,600.0,580.0,560.0,620.0
54,BIOCON_07-11-2018_15:32,629.5,700.0,680.0,660.0,640.0,600.0,580.0,560.0,620.0
55,BIOCON_08-11-2018_09:30,632.6,700.0,680.0,660.0,640.0,600.0,580.0,560.0,620.0
56,BIOCON_08-11-2018_11:50,632.6,700.0,680.0,660.0,640.0,600.0,580.0,560.0,620.0
57,BIOCON_08-11-2018_15:32,632.6,700.0,680.0,660.0,640.0,600.0,580.0,560.0,620.0
58,BIOCON_09-11-2018_15:32,640.8,700.0,680.0,660.0,650.0,600.0,620.0,560.0,580.0
59,BIOCON_09-11-2018_11:50,635.15,700.0,680.0,660.0,640.0,600.0,560.0,580.0,620.0
60,BIOCON_09-11-2018_09:30,638.0,700.0,680.0,660.0,640.0,600.0,580.0,560.0,620.0
