,Name,Curprice,R1,R2,R3,R4,S1,S2,S3,S4
0,ESCORTS_14-10-2018_22:03,601.45,700.0,800.0,640.0,660.0,540.0,600.0,560.0,520.0
1,ESCORTS_14-10-2018_22:41,601.45,700.0,800.0,640.0,660.0,540.0,600.0,560.0,520.0
2,ESCORTS_15-10-2018_12:30,602.9,700.0,660.0,800.0,640.0,540.0,560.0,600.0,580.0
3,ESCORTS_15-10-2018_15:32,600.9,700.0,660.0,800.0,640.0,540.0,560.0,600.0,580.0
4,ESCORTS_16-10-2018_09:30,600.9,700.0,660.0,800.0,640.0,540.0,560.0,600.0,580.0
5,ESCORTS_16-10-2018_11:50,623.9,640.0,700.0,660.0,800.0,600.0,540.0,560.0,520.0
6,ESCORTS_16-10-2018_15:32,637.95,700.0,640.0,660.0,800.0,600.0,620.0,540.0,580.0
7,ESCORTS_17-10-2018_09:30,644.7,700.0,660.0,800.0,680.0,620.0,540.0,600.0,580.0
8,ESCORTS_17-10-2018_11:50,638.1,700.0,640.0,660.0,800.0,620.0,540.0,600.0,580.0
9,ESCORTS_17-10-2018_15:32,617.1,700.0,640.0,660.0,800.0,540.0,600.0,560.0,580.0
10,ESCORTS_18-10-2018_09:30,617.1,700.0,640.0,660.0,800.0,540.0,600.0,560.0,580.0
11,ESCORTS_18-10-2018_11:50,617.1,700.0,640.0,660.0,800.0,540.0,600.0,560.0,580.0
12,ESCORTS_18-10-2018_15:32,617.1,700.0,640.0,660.0,800.0,540.0,600.0,560.0,580.0
13,ESCORTS_19-10-2018_09:30,613.1,700.0,660.0,640.0,800.0,540.0,600.0,560.0,580.0
14,ESCORTS_19-10-2018_11:50,590.35,700.0,640.0,660.0,800.0,540.0,560.0,580.0,520.0
15,ESCORTS_19-10-2018_15:32,602.05,700.0,640.0,660.0,800.0,540.0,600.0,560.0,580.0
16,ESCORTS_22-10-2018_09:30,598.65,700.0,640.0,660.0,800.0,540.0,560.0,580.0,520.0
17,ESCORTS_22-10-2018_11:50,601.3,640.0,700.0,660.0,800.0,540.0,580.0,600.0,560.0
18,ESCORTS_22-10-2018_15:32,573.95,640.0,700.0,660.0,800.0,560.0,540.0,520.0,500.0
19,ESCORTS_23-10-2018_09:30,571.05,640.0,700.0,660.0,800.0,560.0,540.0,520.0,500.0
20,ESCORTS_23-10-2018_11:50,579.35,640.0,700.0,660.0,800.0,540.0,560.0,500.0,520.0
21,ESCORTS_23-10-2018_15:32,575.4,640.0,700.0,800.0,600.0,540.0,560.0,520.0,500.0
22,ESCORTS_24-10-2018_09:30,583.6,640.0,700.0,600.0,800.0,540.0,560.0,580.0,520.0
23,ESCORTS_24-10-2018_11:50,578.4,640.0,600.0,580.0,700.0,560.0,540.0,520.0,500.0
24,ESCORTS_24-10-2018_15:32,591.0,640.0,700.0,800.0,620.0,580.0,560.0,540.0,520.0
25,ESCORTS_25-10-2018_09:30,583.3,640.0,700.0,800.0,600.0,580.0,560.0,540.0,520.0
26,ESCORTS_25-10-2018_11:50,568.8,580.0,600.0,640.0,800.0,560.0,540.0,520.0,500.0
27,ESCORTS_25-10-2018_15:32,573.45,640.0,600.0,800.0,700.0,560.0,520.0,540.0,500.0
28,ESCORTS_26-10-2018_09:30,564.95,600.0,640.0,660.0,680.0,560.0,500.0,540.0,520.0
29,ESCORTS_26-10-2018_11:50,570.5,600.0,620.0,580.0,640.0,560.0,540.0,500.0,520.0
30,ESCORTS_26-10-2018_15:32,569.35,600.0,580.0,620.0,640.0,560.0,540.0,500.0,520.0
31,ESCORTS_29-10-2018_09:30,570.85,600.0,580.0,640.0,620.0,560.0,540.0,500.0,520.0
32,ESCORTS_29-10-2018_11:50,578.25,600.0,640.0,580.0,620.0,560.0,540.0,500.0,520.0
33,ESCORTS_29-10-2018_15:32,594.0,640.0,600.0,620.0,700.0,560.0,580.0,540.0,500.0
34,ESCORTS_30-10-2018_09:30,605.7,640.0,620.0,700.0,660.0,560.0,580.0,540.0,600.0
35,ESCORTS_30-10-2018_11:50,600.8,640.0,620.0,700.0,660.0,560.0,540.0,580.0,600.0
36,ESCORTS_30-10-2018_15:32,603.6,640.0,620.0,700.0,660.0,560.0,540.0,580.0,600.0
37,ESCORTS_31-10-2018_09:30,605.85,640.0,620.0,700.0,660.0,560.0,540.0,580.0,600.0
38,ESCORTS_31-10-2018_11:50,604.45,640.0,620.0,700.0,660.0,560.0,540.0,580.0,600.0
39,ESCORTS_31-10-2018_15:32,628.0,700.0,640.0,660.0,680.0,560.0,580.0,540.0,600.0
40,ESCORTS_01-11-2018_09:30,641.25,700.0,660.0,680.0,720.0,560.0,580.0,540.0,600.0
41,ESCORTS_01-11-2018_11:50,640.8,700.0,660.0,680.0,720.0,560.0,580.0,540.0,600.0
42,ESCORTS_01-11-2018_15:32,673.25,700.0,680.0,720.0,740.0,560.0,600.0,540.0,580.0
