,Name,Curprice,R1,R2,R3,R4,S1,S2,S3,S4
0,GRASIM_14-10-2018_22:03,894.0,960.0,1000.0,980.0,1100.0,860.0,840.0,880.0,820.0
1,GRASIM_14-10-2018_22:41,894.0,960.0,1000.0,980.0,1100.0,860.0,840.0,880.0,820.0
2,GRASIM_15-10-2018_12:30,890.5,1000.0,960.0,980.0,920.0,860.0,840.0,880.0,820.0
3,GRASIM_15-10-2018_15:32,895.8,1000.0,960.0,920.0,980.0,860.0,840.0,880.0,820.0
4,GRASIM_16-10-2018_09:30,895.8,1000.0,960.0,920.0,980.0,860.0,840.0,880.0,820.0
5,GRASIM_16-10-2018_11:50,909.65,1000.0,960.0,920.0,980.0,860.0,900.0,840.0,880.0
6,GRASIM_16-10-2018_15:32,904.9,1000.0,960.0,920.0,980.0,860.0,900.0,880.0,840.0
7,GRASIM_17-10-2018_09:30,913.85,1000.0,960.0,920.0,980.0,860.0,900.0,880.0,840.0
8,GRASIM_17-10-2018_11:50,897.45,1000.0,960.0,920.0,980.0,860.0,880.0,840.0,820.0
9,GRASIM_17-10-2018_15:32,884.95,1000.0,960.0,920.0,980.0,860.0,880.0,840.0,820.0
10,GRASIM_18-10-2018_09:30,884.95,1000.0,960.0,920.0,980.0,860.0,880.0,840.0,820.0
11,GRASIM_18-10-2018_11:50,884.95,1000.0,960.0,920.0,980.0,860.0,880.0,840.0,820.0
12,GRASIM_18-10-2018_15:32,884.95,1000.0,960.0,920.0,980.0,860.0,880.0,840.0,820.0
13,GRASIM_19-10-2018_09:30,875.0,1000.0,960.0,920.0,980.0,860.0,840.0,820.0,780.0
14,GRASIM_19-10-2018_11:50,881.0,1000.0,960.0,920.0,980.0,860.0,880.0,840.0,820.0
15,GRASIM_19-10-2018_15:32,881.0,1000.0,960.0,920.0,980.0,860.0,880.0,820.0,840.0
16,GRASIM_22-10-2018_09:30,876.0,1000.0,960.0,920.0,980.0,860.0,820.0,840.0,800.0
17,GRASIM_22-10-2018_11:50,864.55,1000.0,960.0,980.0,920.0,860.0,840.0,820.0,800.0
18,GRASIM_22-10-2018_15:32,854.0,1000.0,960.0,900.0,980.0,840.0,800.0,820.0,780.0
19,GRASIM_23-10-2018_09:30,845.85,1000.0,960.0,900.0,980.0,840.0,800.0,820.0,780.0
20,GRASIM_23-10-2018_11:50,845.0,1000.0,960.0,900.0,980.0,840.0,820.0,800.0,780.0
21,GRASIM_23-10-2018_15:32,829.7,1000.0,960.0,980.0,1100.0,800.0,820.0,780.0,700.0
22,GRASIM_24-10-2018_09:30,830.5,1000.0,960.0,980.0,860.0,800.0,820.0,780.0,720.0
23,GRASIM_24-10-2018_11:50,810.25,1000.0,840.0,960.0,860.0,800.0,780.0,720.0,740.0
24,GRASIM_24-10-2018_15:32,808.4,1000.0,840.0,960.0,980.0,800.0,780.0,720.0,740.0
25,GRASIM_25-10-2018_09:30,795.95,1000.0,840.0,960.0,980.0,780.0,720.0,740.0,760.0
26,GRASIM_25-10-2018_11:50,790.95,1000.0,840.0,960.0,980.0,780.0,700.0,720.0,740.0
27,GRASIM_25-10-2018_15:32,784.75,1000.0,840.0,960.0,980.0,780.0,700.0,720.0,740.0
28,GRASIM_26-10-2018_09:30,768.0,860.0,900.0,800.0,980.0,720.0,740.0,760.0,680.0
29,GRASIM_26-10-2018_11:50,770.65,800.0,900.0,820.0,860.0,720.0,740.0,760.0,680.0
30,GRASIM_26-10-2018_15:32,756.5,800.0,820.0,780.0,860.0,720.0,740.0,680.0,700.0
31,GRASIM_29-10-2018_09:30,767.8,800.0,820.0,780.0,860.0,720.0,740.0,760.0,680.0
32,GRASIM_29-10-2018_11:50,776.95,800.0,820.0,860.0,900.0,720.0,740.0,760.0,680.0
33,GRASIM_29-10-2018_15:32,780.5,800.0,840.0,900.0,820.0,700.0,720.0,740.0,780.0
34,GRASIM_30-10-2018_09:30,791.6,800.0,840.0,900.0,860.0,700.0,720.0,740.0,780.0
35,GRASIM_30-10-2018_11:50,799.75,800.0,840.0,900.0,820.0,780.0,740.0,700.0,720.0
36,GRASIM_30-10-2018_15:32,804.0,840.0,900.0,860.0,820.0,780.0,740.0,720.0,700.0
37,GRASIM_31-10-2018_09:30,803.1,840.0,900.0,820.0,860.0,780.0,740.0,720.0,700.0
38,GRASIM_31-10-2018_11:50,801.8,840.0,900.0,860.0,820.0,780.0,720.0,740.0,700.0
39,GRASIM_31-10-2018_15:32,831.15,840.0,900.0,860.0,880.0,780.0,720.0,740.0,800.0
40,GRASIM_01-11-2018_09:30,842.1,900.0,860.0,880.0,980.0,780.0,720.0,740.0,700.0
41,GRASIM_01-11-2018_11:50,830.7,900.0,840.0,860.0,880.0,780.0,720.0,800.0,740.0
42,GRASIM_01-11-2018_15:32,846.45,900.0,860.0,880.0,980.0,780.0,720.0,800.0,820.0
43,GRASIM_02-11-2018_09:30,851.95,900.0,860.0,880.0,980.0,780.0,720.0,800.0,820.0
44,GRASIM_02-11-2018_11:50,849.95,900.0,860.0,880.0,980.0,800.0,780.0,720.0,820.0
45,GRASIM_02-11-2018_15:32,844.6,900.0,860.0,880.0,980.0,800.0,820.0,780.0,740.0
46,GRASIM_05-11-2018_09:30,844.5,900.0,860.0,880.0,980.0,800.0,780.0,820.0,740.0
47,GRASIM_05-11-2018_11:50,844.9,900.0,860.0,880.0,980.0,800.0,820.0,780.0,700.0
48,GRASIM_05-11-2018_15:32,852.0,900.0,860.0,880.0,980.0,800.0,780.0,820.0,700.0
49,GRASIM_06-11-2018_09:30,854.9,900.0,860.0,880.0,980.0,800.0,780.0,820.0,700.0
50,GRASIM_06-11-2018_11:50,853.1,900.0,860.0,880.0,980.0,800.0,780.0,820.0,700.0
51,GRASIM_06-11-2018_15:32,851.0,900.0,860.0,880.0,980.0,800.0,780.0,820.0,840.0
52,GRASIM_07-11-2018_09:30,850.0,900.0,860.0,880.0,980.0,800.0,780.0,820.0,840.0
53,GRASIM_07-11-2018_11:50,850.0,900.0,860.0,880.0,980.0,800.0,780.0,820.0,840.0
54,GRASIM_07-11-2018_15:32,850.0,900.0,860.0,880.0,980.0,800.0,780.0,820.0,840.0
55,GRASIM_08-11-2018_09:30,857.0,900.0,860.0,880.0,980.0,800.0,780.0,820.0,840.0
56,GRASIM_08-11-2018_11:50,857.0,900.0,860.0,880.0,980.0,800.0,780.0,820.0,840.0
57,GRASIM_08-11-2018_15:32,857.0,900.0,860.0,880.0,980.0,800.0,780.0,820.0,840.0
58,GRASIM_09-11-2018_15:32,868.0,900.0,880.0,980.0,920.0,780.0,820.0,800.0,840.0
59,GRASIM_09-11-2018_11:50,860.0,900.0,860.0,880.0,980.0,800.0,780.0,820.0,840.0
60,GRASIM_09-11-2018_09:30,865.0,900.0,880.0,980.0,920.0,800.0,780.0,820.0,840.0
61,GRASIM_12-11-2018_15:32,865.0,900.0,880.0,980.0,920.0,800.0,820.0,780.0,840.0
62,GRASIM_12-11-2018_11:50,867.2,900.0,880.0,980.0,920.0,820.0,800.0,780.0,840.0
63,GRASIM_12-11-2018_09:30,865.85,900.0,880.0,980.0,920.0,780.0,820.0,800.0,840.0
64,GRASIM_13-11-2018_09:30,870.0,900.0,880.0,980.0,920.0,820.0,800.0,780.0,840.0
65,GRASIM_13-11-2018_11:50,871.8,900.0,880.0,980.0,920.0,820.0,800.0,860.0,840.0
66,GRASIM_13-11-2018_15:32,878.5,900.0,880.0,920.0,980.0,820.0,800.0,860.0,840.0
67,GRASIM_14-11-2018_09:30,881.85,900.0,920.0,980.0,940.0,820.0,860.0,800.0,840.0
68,GRASIM_14-11-2018_11:50,883.5,900.0,920.0,980.0,940.0,860.0,820.0,800.0,840.0
69,GRASIM_14-11-2018_15:32,880.0,900.0,880.0,920.0,940.0,860.0,800.0,820.0,840.0
70,GRASIM_15-11-2018_09:30,818.65,900.0,880.0,860.0,920.0,800.0,700.0,780.0,760.0
71,GRASIM_15-11-2018_11:50,812.8,900.0,860.0,840.0,820.0,800.0,780.0,760.0,740.0
72,GRASIM_15-11-2018_15:32,806.0,900.0,840.0,860.0,820.0,800.0,780.0,760.0,740.0
73,GRASIM_16-11-2018_09:30,820.05,900.0,860.0,840.0,880.0,800.0,780.0,760.0,820.0
74,GRASIM_16-11-2018_11:50,824.25,900.0,860.0,840.0,880.0,800.0,780.0,760.0,820.0
75,GRASIM_16-11-2018_15:32,828.8,900.0,860.0,840.0,880.0,800.0,820.0,780.0,760.0
76,GRASIM_19-11-2018_09:30,837.65,900.0,860.0,840.0,880.0,800.0,820.0,780.0,760.0
77,GRASIM_19-11-2018_11:50,854.25,900.0,860.0,880.0,920.0,800.0,820.0,840.0,780.0
78,GRASIM_19-11-2018_15:32,848.15,900.0,860.0,880.0,920.0,800.0,820.0,840.0,780.0
79,GRASIM_20-11-2018_09:30,846.8,900.0,860.0,880.0,920.0,800.0,820.0,840.0,780.0
80,GRASIM_20-11-2018_11:50,850.55,900.0,860.0,880.0,920.0,800.0,820.0,840.0,780.0
81,GRASIM_20-11-2018_15:32,837.5,900.0,860.0,840.0,880.0,800.0,820.0,780.0,760.0
82,GRASIM_21-11-2018_09:30,846.45,900.0,860.0,880.0,920.0,800.0,820.0,840.0,780.0
83,GRASIM_21-11-2018_11:50,853.05,900.0,860.0,880.0,920.0,800.0,820.0,840.0,780.0
84,GRASIM_21-11-2018_15:32,867.0,900.0,880.0,920.0,940.0,860.0,800.0,820.0,840.0
85,GRASIM_22-11-2018_09:30,861.0,900.0,880.0,920.0,940.0,860.0,800.0,820.0,840.0
86,GRASIM_22-11-2018_11:50,860.5,900.0,880.0,920.0,940.0,860.0,800.0,820.0,840.0
87,GRASIM_22-11-2018_15:32,842.9,900.0,860.0,880.0,920.0,800.0,820.0,840.0,780.0
88,GRASIM_23-11-2018_09:30,842.0,900.0,860.0,880.0,920.0,800.0,820.0,840.0,780.0
89,GRASIM_23-11-2018_11:50,842.0,900.0,860.0,880.0,920.0,800.0,820.0,840.0,780.0
90,GRASIM_23-11-2018_15:32,842.0,900.0,860.0,880.0,920.0,800.0,820.0,840.0,780.0
91,GRASIM_26-11-2018_09:30,846.9,900.0,860.0,880.0,920.0,800.0,820.0,840.0,780.0
92,GRASIM_26-11-2018_11:50,834.35,900.0,860.0,840.0,880.0,800.0,820.0,780.0,760.0
93,GRASIM_26-11-2018_15:32,845.5,900.0,860.0,880.0,920.0,800.0,820.0,840.0,780.0
94,GRASIM_27-11-2018_09:30,850.0,900.0,860.0,880.0,920.0,800.0,820.0,840.0,780.0
95,GRASIM_27-11-2018_11:50,851.0,900.0,860.0,880.0,920.0,800.0,820.0,840.0,780.0
96,GRASIM_27-11-2018_15:32,858.5,900.0,860.0,880.0,920.0,800.0,820.0,840.0,780.0
97,GRASIM_28-11-2018_09:30,858.5,900.0,860.0,880.0,920.0,800.0,820.0,840.0,780.0
98,GRASIM_28-11-2018_11:50,850.2,900.0,860.0,880.0,920.0,800.0,820.0,840.0,780.0
99,GRASIM_28-11-2018_15:32,838.85,900.0,840.0,860.0,880.0,800.0,820.0,780.0,760.0
100,GRASIM_29-11-2018_09:30,845.9,900.0,860.0,880.0,920.0,800.0,820.0,840.0,780.0
101,GRASIM_29-11-2018_11:50,846.0,900.0,860.0,880.0,920.0,800.0,820.0,840.0,780.0
102,GRASIM_29-11-2018_15:32,855.55,900.0,860.0,880.0,920.0,820.0,800.0,840.0,780.0
103,GRASIM_30-11-2018_09:30,854.3,900.0,860.0,880.0,920.0,800.0,820.0,840.0,780.0
104,GRASIM_30-11-2018_11:50,856.5,900.0,860.0,880.0,920.0,840.0,800.0,820.0,780.0
105,GRASIM_30-11-2018_15:32,864.0,900.0,880.0,920.0,940.0,840.0,820.0,800.0,860.0
106,GRASIM_03-12-2018_09:30,869.25,900.0,880.0,920.0,940.0,840.0,800.0,820.0,860.0
107,GRASIM_03-12-2018_11:50,872.25,900.0,920.0,880.0,940.0,840.0,820.0,860.0,800.0
108,GRASIM_03-12-2018_15:32,869.4,900.0,880.0,920.0,940.0,860.0,840.0,800.0,820.0
109,GRASIM_04-12-2018_09:30,856.65,900.0,880.0,860.0,920.0,840.0,800.0,820.0,780.0
110,GRASIM_04-12-2018_11:50,856.85,900.0,880.0,860.0,920.0,840.0,820.0,800.0,780.0
111,GRASIM_04-12-2018_15:32,845.0,900.0,880.0,860.0,920.0,840.0,800.0,820.0,780.0
112,GRASIM_05-12-2018_09:30,834.25,900.0,880.0,860.0,920.0,820.0,800.0,780.0,640.0
113,GRASIM_05-12-2018_11:50,819.65,900.0,860.0,880.0,840.0,800.0,780.0,640.0,760.0
114,GRASIM_05-12-2018_15:32,827.4,900.0,860.0,880.0,840.0,800.0,780.0,820.0,760.0
115,GRASIM_06-12-2018_11:50,807.0,900.0,860.0,880.0,840.0,800.0,780.0,760.0,640.0
116,GRASIM_06-12-2018_15:32,796.0,900.0,860.0,880.0,840.0,780.0,760.0,740.0,640.0
117,GRASIM_07-12-2018_09:30,806.4,900.0,860.0,880.0,840.0,780.0,800.0,760.0,740.0
118,GRASIM_07-12-2018_11:50,796.25,900.0,860.0,880.0,840.0,780.0,760.0,740.0,700.0
119,GRASIM_07-12-2018_15:32,804.0,900.0,860.0,880.0,820.0,780.0,800.0,760.0,740.0
120,GRASIM_10-12-2018_09:30,785.65,900.0,860.0,880.0,820.0,780.0,760.0,740.0,720.0
121,GRASIM_10-12-2018_11:50,787.05,900.0,860.0,820.0,880.0,780.0,760.0,740.0,720.0
122,GRASIM_10-12-2018_15:32,790.0,900.0,860.0,880.0,820.0,780.0,760.0,740.0,720.0
123,GRASIM_11-12-2018_09:30,783.1,900.0,860.0,820.0,880.0,780.0,760.0,740.0,720.0
124,GRASIM_11-12-2018_11:50,801.5,900.0,860.0,820.0,840.0,800.0,780.0,760.0,740.0
125,GRASIM_11-12-2018_15:32,800.15,900.0,860.0,820.0,880.0,800.0,780.0,760.0,740.0
126,GRASIM_12-12-2018_09:30,807.85,900.0,860.0,820.0,840.0,800.0,780.0,760.0,740.0
127,GRASIM_12-12-2018_11:50,811.95,900.0,860.0,820.0,840.0,800.0,780.0,760.0,740.0
128,GRASIM_12-12-2018_15:32,809.65,900.0,820.0,860.0,840.0,800.0,780.0,760.0,740.0
129,GRASIM_13-12-2018_09:30,817.6,900.0,820.0,860.0,840.0,800.0,780.0,740.0,760.0
130,GRASIM_13-12-2018_11:50,826.55,900.0,860.0,840.0,880.0,800.0,780.0,820.0,740.0
131,GRASIM_13-12-2018_15:32,837.85,900.0,860.0,840.0,880.0,800.0,820.0,780.0,760.0
132,GRASIM_14-12-2018_09:30,839.95,900.0,860.0,840.0,880.0,800.0,820.0,780.0,760.0
133,GRASIM_14-12-2018_11:50,847.95,900.0,860.0,880.0,920.0,800.0,780.0,820.0,840.0
134,GRASIM_14-12-2018_15:32,844.9,900.0,860.0,880.0,920.0,800.0,780.0,840.0,820.0
135,GRASIM_17-12-2018_09:30,854.0,900.0,860.0,880.0,920.0,800.0,780.0,840.0,820.0
136,GRASIM_17-12-2018_11:50,846.05,900.0,860.0,880.0,920.0,800.0,840.0,820.0,780.0
137,GRASIM_17-12-2018_15:32,844.1,900.0,860.0,880.0,920.0,800.0,840.0,820.0,780.0
138,GRASIM_18-12-2018_09:30,841.75,900.0,860.0,880.0,920.0,800.0,840.0,820.0,780.0
139,GRASIM_18-12-2018_11:50,843.95,900.0,860.0,880.0,920.0,800.0,840.0,820.0,780.0
140,GRASIM_18-12-2018_15:32,855.0,900.0,860.0,880.0,920.0,800.0,820.0,840.0,780.0
141,GRASIM_19-12-2018_09:30,860.45,900.0,880.0,920.0,940.0,800.0,820.0,840.0,780.0
142,GRASIM_19-12-2018_11:50,867.95,900.0,880.0,920.0,940.0,800.0,840.0,820.0,780.0
143,GRASIM_19-12-2018_15:32,852.15,900.0,880.0,860.0,920.0,820.0,840.0,800.0,780.0
144,GRASIM_20-12-2018_09:30,854.05,900.0,880.0,860.0,920.0,820.0,840.0,800.0,780.0
145,GRASIM_20-12-2018_11:50,837.05,900.0,880.0,860.0,840.0,820.0,800.0,780.0,760.0
146,GRASIM_20-12-2018_15:32,828.5,880.0,900.0,860.0,840.0,820.0,800.0,780.0,760.0
147,GRASIM_21-12-2018_09:30,828.0,880.0,900.0,840.0,860.0,820.0,800.0,780.0,760.0
148,GRASIM_21-12-2018_11:50,825.75,880.0,840.0,900.0,860.0,820.0,800.0,780.0,760.0
149,GRASIM_21-12-2018_15:32,816.0,880.0,840.0,900.0,860.0,800.0,780.0,760.0,720.0
150,GRASIM_24-12-2018_09:30,815.7,880.0,840.0,900.0,860.0,800.0,780.0,760.0,720.0
151,GRASIM_24-12-2018_11:50,823.65,840.0,880.0,900.0,860.0,800.0,820.0,780.0,760.0
152,GRASIM_24-12-2018_15:32,809.0,840.0,880.0,860.0,900.0,800.0,780.0,760.0,720.0
153,GRASIM_25-12-2018_09:30,809.0,840.0,880.0,860.0,900.0,800.0,780.0,760.0,720.0
154,GRASIM_25-12-2018_11:50,809.0,840.0,880.0,860.0,900.0,800.0,780.0,760.0,720.0
155,GRASIM_25-12-2018_15:32,809.0,840.0,880.0,860.0,900.0,800.0,780.0,760.0,720.0
156,GRASIM_26-12-2018_09:30,801.7,840.0,880.0,860.0,900.0,800.0,780.0,760.0,720.0
157,GRASIM_26-12-2018_11:50,803.3,840.0,880.0,860.0,820.0,800.0,780.0,760.0,720.0
158,GRASIM_26-12-2018_11:57,802.95,840.0,880.0,860.0,820.0,800.0,780.0,760.0,720.0
159,GRASIM_26-12-2018_12:30,811.75,840.0,880.0,860.0,820.0,800.0,780.0,760.0,720.0
160,GRASIM_26-12-2018_13:30,814.5,840.0,880.0,860.0,900.0,800.0,780.0,760.0,720.0
161,GRASIM_26-12-2018_14:30,816.95,840.0,880.0,860.0,820.0,800.0,780.0,760.0,720.0
162,GRASIM_26-12-2018_15:21,820.7,840.0,880.0,860.0,900.0,800.0,820.0,780.0,760.0
163,GRASIM_26-12-2018_15:29,820.5,840.0,880.0,860.0,900.0,800.0,820.0,780.0,760.0
164,GRASIM_26-12-2018_15:32,822.2,840.0,880.0,860.0,900.0,800.0,820.0,780.0,760.0
165,GRASIM_26-12-2018_19:42,822.25,840.0,880.0,860.0,900.0,800.0,820.0,780.0,760.0
166,GRASIM_27-12-2018_09:30,825.0,840.0,880.0,860.0,900.0,800.0,820.0,780.0,760.0
167,GRASIM_27-12-2018_10:30,820.5,840.0,880.0,860.0,900.0,800.0,820.0,780.0,760.0
168,GRASIM_27-12-2018_11:30,820.35,840.0,880.0,860.0,900.0,800.0,820.0,780.0,760.0
169,GRASIM_27-12-2018_12:30,821.45,840.0,880.0,860.0,900.0,800.0,820.0,780.0,760.0
170,GRASIM_27-12-2018_13:30,817.5,840.0,880.0,860.0,900.0,800.0,780.0,760.0,720.0
171,GRASIM_27-12-2018_14:30,819.0,840.0,880.0,860.0,900.0,800.0,780.0,760.0,720.0
172,GRASIM_27-12-2018_15:32,814.3,840.0,880.0,860.0,900.0,800.0,780.0,760.0,720.0
173,GRASIM_28-12-2018_09:30,821.4,840.0,900.0,860.0,880.0,820.0,800.0,780.0,760.0
174,GRASIM_28-12-2018_10:30,825.55,840.0,900.0,880.0,860.0,820.0,800.0,780.0,760.0
175,GRASIM_28-12-2018_11:30,822.75,840.0,900.0,880.0,860.0,820.0,800.0,780.0,760.0
176,GRASIM_28-12-2018_12:30,821.75,840.0,900.0,880.0,860.0,820.0,800.0,780.0,760.0
177,GRASIM_28-12-2018_13:30,821.8,840.0,900.0,880.0,860.0,820.0,800.0,780.0,760.0
178,GRASIM_28-12-2018_14:30,824.7,840.0,900.0,880.0,860.0,820.0,800.0,780.0,760.0
179,GRASIM_28-12-2018_15:32,825.1,840.0,900.0,880.0,860.0,820.0,800.0,780.0,760.0
180,GRASIM_31-12-2018_11:43,852.15,900.0,880.0,860.0,920.0,820.0,840.0,800.0,780.0
181,GRASIM_31-12-2018_14:30,844.1,900.0,860.0,880.0,920.0,800.0,840.0,820.0,780.0
