,Name,Curprice,R1,R2,R3,R4,S1,S2,S3,S4
0,KOTAKBANK_14-10-2018_22:03,1166.05,1200.0,1260.0,1180.0,1240.0,1000.0,1100.0,1060.0,1140.0
1,KOTAKBANK_14-10-2018_22:41,1166.05,1200.0,1260.0,1180.0,1240.0,1000.0,1100.0,1060.0,1140.0
2,KOTAKBANK_15-10-2018_12:30,1180.7,1200.0,1260.0,1240.0,1220.0,1000.0,1100.0,1060.0,1140.0
3,KOTAKBANK_15-10-2018_15:32,1168.0,1200.0,1260.0,1180.0,1240.0,1000.0,1100.0,1060.0,1140.0
4,KOTAKBANK_16-10-2018_09:30,1168.0,1200.0,1260.0,1180.0,1240.0,1000.0,1100.0,1060.0,1140.0
5,KOTAKBANK_16-10-2018_11:50,1168.25,1200.0,1260.0,1180.0,1240.0,1000.0,1100.0,1060.0,1140.0
6,KOTAKBANK_16-10-2018_15:32,1171.85,1200.0,1180.0,1260.0,1240.0,1000.0,1100.0,1060.0,1140.0
7,KOTAKBANK_17-10-2018_09:30,1182.35,1200.0,1260.0,1240.0,1220.0,1000.0,1100.0,1140.0,1060.0
8,KOTAKBANK_17-10-2018_11:50,1178.5,1200.0,1180.0,1220.0,1260.0,1000.0,1100.0,1060.0,1140.0
9,KOTAKBANK_17-10-2018_15:32,1173.05,1200.0,1220.0,1180.0,1240.0,1000.0,1100.0,1060.0,1140.0
10,KOTAKBANK_18-10-2018_09:30,1173.05,1200.0,1220.0,1180.0,1240.0,1000.0,1100.0,1060.0,1140.0
11,KOTAKBANK_18-10-2018_11:50,1173.05,1200.0,1220.0,1180.0,1240.0,1000.0,1100.0,1060.0,1140.0
12,KOTAKBANK_18-10-2018_15:32,1173.05,1200.0,1220.0,1180.0,1240.0,1000.0,1100.0,1060.0,1140.0
13,KOTAKBANK_19-10-2018_09:30,1180.0,1200.0,1220.0,1180.0,1240.0,1000.0,1100.0,1060.0,1140.0
14,KOTAKBANK_19-10-2018_11:50,1175.55,1200.0,1220.0,1180.0,1240.0,1100.0,1000.0,1060.0,1140.0
15,KOTAKBANK_19-10-2018_15:32,1197.0,1200.0,1220.0,1260.0,1240.0,1000.0,1100.0,1160.0,1060.0
16,KOTAKBANK_22-10-2018_09:30,1202.7,1220.0,1260.0,1240.0,1300.0,1000.0,1100.0,1160.0,1060.0
17,KOTAKBANK_22-10-2018_11:50,1211.25,1220.0,1260.0,1240.0,1300.0,1000.0,1100.0,1160.0,1140.0
18,KOTAKBANK_22-10-2018_15:32,1165.0,1200.0,1220.0,1260.0,1180.0,1100.0,1000.0,1160.0,1140.0
19,KOTAKBANK_23-10-2018_09:30,1151.0,1160.0,1200.0,1220.0,1260.0,1100.0,1000.0,1140.0,1060.0
20,KOTAKBANK_23-10-2018_11:50,1156.85,1160.0,1200.0,1220.0,1260.0,1100.0,1000.0,1140.0,1060.0
21,KOTAKBANK_23-10-2018_15:32,1175.0,1200.0,1220.0,1260.0,1180.0,1100.0,1000.0,1160.0,1140.0
22,KOTAKBANK_24-10-2018_09:30,1186.0,1200.0,1220.0,1260.0,1240.0,1100.0,1000.0,1160.0,1140.0
23,KOTAKBANK_24-10-2018_11:50,1176.9,1200.0,1220.0,1260.0,1180.0,1100.0,1160.0,1140.0,1000.0
24,KOTAKBANK_24-10-2018_15:32,1181.0,1200.0,1220.0,1260.0,1240.0,1100.0,1160.0,1140.0,1000.0
25,KOTAKBANK_25-10-2018_09:30,1173.0,1200.0,1220.0,1180.0,1260.0,1100.0,1160.0,1140.0,1000.0
26,KOTAKBANK_25-10-2018_11:50,1178.9,1200.0,1180.0,1220.0,1260.0,1100.0,1160.0,1000.0,1140.0
27,KOTAKBANK_25-10-2018_15:32,1189.5,1200.0,1260.0,1220.0,1240.0,1100.0,1000.0,1160.0,1140.0
28,KOTAKBANK_26-10-2018_09:30,1169.25,1300.0,1200.0,1260.0,1220.0,1100.0,1160.0,1140.0,1120.0
29,KOTAKBANK_26-10-2018_11:50,1175.5,1300.0,1200.0,1260.0,1180.0,1100.0,1160.0,1140.0,1000.0
30,KOTAKBANK_26-10-2018_15:32,1154.7,1200.0,1300.0,1180.0,1260.0,1100.0,1140.0,1000.0,1120.0
31,KOTAKBANK_29-10-2018_09:30,1129.0,1200.0,1300.0,1180.0,1260.0,1100.0,1000.0,1120.0,1060.0
32,KOTAKBANK_29-10-2018_11:50,1119.45,1200.0,1300.0,1180.0,1160.0,1100.0,1000.0,1060.0,1040.0
33,KOTAKBANK_29-10-2018_15:32,1140.0,1200.0,1180.0,1300.0,1160.0,1100.0,1000.0,1060.0,1120.0
34,KOTAKBANK_30-10-2018_09:30,1139.45,1200.0,1180.0,1300.0,1160.0,1100.0,1000.0,1060.0,1120.0
35,KOTAKBANK_30-10-2018_11:50,1123.3,1200.0,1180.0,1160.0,1300.0,1100.0,1060.0,1000.0,1120.0
36,KOTAKBANK_30-10-2018_15:32,1120.1,1200.0,1180.0,1160.0,1300.0,1100.0,1000.0,1060.0,1120.0
37,KOTAKBANK_31-10-2018_09:30,1122.25,1200.0,1180.0,1160.0,1300.0,1100.0,1000.0,1060.0,1040.0
38,KOTAKBANK_31-10-2018_11:50,1111.75,1200.0,1180.0,1160.0,1300.0,1100.0,1000.0,1060.0,1040.0
39,KOTAKBANK_31-10-2018_15:32,1117.85,1200.0,1160.0,1180.0,1140.0,1100.0,1000.0,1060.0,1040.0
40,KOTAKBANK_01-11-2018_09:30,1123.0,1200.0,1140.0,1180.0,1160.0,1100.0,1000.0,1060.0,1040.0
41,KOTAKBANK_01-11-2018_11:50,1107.9,1200.0,1140.0,1160.0,1180.0,1100.0,1000.0,1060.0,1040.0
42,KOTAKBANK_01-11-2018_15:32,1105.75,1200.0,1120.0,1140.0,1180.0,1100.0,1000.0,1060.0,1040.0
43,KOTAKBANK_02-11-2018_09:30,1118.35,1200.0,1120.0,1140.0,1180.0,1100.0,1000.0,1060.0,1040.0
44,KOTAKBANK_02-11-2018_11:50,1144.35,1200.0,1160.0,1180.0,1300.0,1100.0,1000.0,1060.0,1080.0
45,KOTAKBANK_02-11-2018_15:32,1132.15,1200.0,1160.0,1140.0,1180.0,1100.0,1000.0,1060.0,1040.0
46,KOTAKBANK_05-11-2018_09:30,1123.5,1200.0,1160.0,1140.0,1180.0,1100.0,1000.0,1060.0,1080.0
47,KOTAKBANK_05-11-2018_11:50,1120.95,1200.0,1160.0,1140.0,1180.0,1100.0,1000.0,1060.0,1080.0
48,KOTAKBANK_05-11-2018_15:32,1130.0,1200.0,1160.0,1140.0,1180.0,1100.0,1000.0,1060.0,1080.0
49,KOTAKBANK_06-11-2018_09:30,1130.0,1200.0,1160.0,1140.0,1180.0,1100.0,1000.0,1060.0,1080.0
50,KOTAKBANK_06-11-2018_11:50,1137.1,1200.0,1160.0,1140.0,1180.0,1100.0,1000.0,1060.0,1040.0
51,KOTAKBANK_06-11-2018_15:32,1126.5,1200.0,1160.0,1140.0,1180.0,1100.0,1060.0,1000.0,1080.0
52,KOTAKBANK_07-11-2018_09:30,1127.9,1200.0,1160.0,1140.0,1180.0,1100.0,1060.0,1000.0,1080.0
53,KOTAKBANK_07-11-2018_11:50,1127.9,1200.0,1160.0,1140.0,1180.0,1100.0,1060.0,1000.0,1080.0
54,KOTAKBANK_07-11-2018_15:32,1127.9,1200.0,1160.0,1140.0,1180.0,1100.0,1060.0,1000.0,1080.0
55,KOTAKBANK_08-11-2018_09:30,1133.2,1200.0,1160.0,1140.0,1180.0,1100.0,1000.0,1060.0,1080.0
56,KOTAKBANK_08-11-2018_11:50,1133.2,1200.0,1160.0,1140.0,1180.0,1100.0,1000.0,1060.0,1080.0
57,KOTAKBANK_08-11-2018_15:32,1133.2,1200.0,1160.0,1140.0,1180.0,1100.0,1000.0,1060.0,1080.0
58,KOTAKBANK_09-11-2018_15:32,1136.85,1200.0,1160.0,1140.0,1180.0,1100.0,1060.0,1000.0,1120.0
59,KOTAKBANK_09-11-2018_11:50,1130.05,1200.0,1160.0,1140.0,1180.0,1100.0,1060.0,1000.0,1120.0
60,KOTAKBANK_09-11-2018_09:30,1128.4,1200.0,1160.0,1140.0,1180.0,1100.0,1000.0,1060.0,1080.0
61,KOTAKBANK_12-11-2018_15:32,1153.0,1200.0,1160.0,1180.0,1300.0,1100.0,1120.0,1000.0,1140.0
62,KOTAKBANK_12-11-2018_11:50,1152.2,1200.0,1160.0,1180.0,1300.0,1100.0,1000.0,1120.0,1060.0
63,KOTAKBANK_12-11-2018_09:30,1151.75,1200.0,1160.0,1180.0,1300.0,1100.0,1000.0,1060.0,1120.0
