,Name,Curprice,R1,R2,R3,R4,S1,S2,S3,S4
0,L&TFH_14-10-2018_22:03,132.9,140.0,150.0,135.0,160.0,120.0,130.0,100.0,125.0
1,L&TFH_14-10-2018_22:41,132.9,140.0,150.0,135.0,160.0,120.0,130.0,100.0,125.0
2,L&TFH_15-10-2018_12:30,130.85,140.0,150.0,135.0,160.0,130.0,120.0,100.0,125.0
3,L&TFH_15-10-2018_15:32,130.65,140.0,150.0,135.0,160.0,130.0,120.0,100.0,125.0
4,L&TFH_16-10-2018_09:30,130.65,140.0,150.0,135.0,160.0,130.0,120.0,100.0,125.0
5,L&TFH_16-10-2018_11:50,130.65,140.0,150.0,135.0,160.0,130.0,120.0,100.0,125.0
6,L&TFH_16-10-2018_15:32,131.15,140.0,150.0,135.0,160.0,130.0,120.0,100.0,125.0
7,L&TFH_17-10-2018_09:30,131.75,140.0,150.0,135.0,160.0,130.0,120.0,100.0,125.0
8,L&TFH_17-10-2018_11:50,126.45,140.0,150.0,135.0,130.0,120.0,125.0,100.0,115.0
9,L&TFH_17-10-2018_15:32,119.0,140.0,150.0,130.0,135.0,110.0,115.0,100.0,90.0
10,L&TFH_18-10-2018_09:30,119.0,140.0,150.0,130.0,135.0,110.0,115.0,100.0,90.0
11,L&TFH_18-10-2018_11:50,119.0,140.0,150.0,130.0,135.0,110.0,115.0,100.0,90.0
12,L&TFH_18-10-2018_15:32,119.0,140.0,150.0,130.0,135.0,110.0,115.0,100.0,90.0
13,L&TFH_19-10-2018_09:30,123.9,140.0,150.0,130.0,135.0,120.0,110.0,115.0,100.0
14,L&TFH_19-10-2018_11:50,124.05,140.0,150.0,130.0,135.0,120.0,115.0,110.0,100.0
15,L&TFH_19-10-2018_15:32,119.05,140.0,130.0,150.0,135.0,110.0,115.0,100.0,90.0
16,L&TFH_22-10-2018_09:30,121.75,140.0,130.0,150.0,135.0,120.0,110.0,115.0,100.0
17,L&TFH_22-10-2018_11:50,122.0,140.0,130.0,150.0,135.0,120.0,110.0,115.0,100.0
18,L&TFH_22-10-2018_15:32,122.6,140.0,130.0,150.0,135.0,120.0,115.0,110.0,100.0
19,L&TFH_23-10-2018_09:30,122.3,140.0,130.0,150.0,135.0,120.0,115.0,110.0,100.0
20,L&TFH_23-10-2018_11:50,122.05,140.0,130.0,150.0,135.0,120.0,110.0,115.0,100.0
21,L&TFH_23-10-2018_15:32,123.6,140.0,130.0,150.0,135.0,120.0,115.0,110.0,100.0
22,L&TFH_24-10-2018_09:30,125.2,140.0,130.0,150.0,135.0,120.0,115.0,125.0,110.0
23,L&TFH_24-10-2018_11:50,124.1,130.0,140.0,150.0,135.0,120.0,115.0,110.0,100.0
24,L&TFH_24-10-2018_15:32,126.55,130.0,140.0,135.0,150.0,120.0,125.0,115.0,110.0
25,L&TFH_25-10-2018_09:30,118.95,130.0,140.0,135.0,150.0,110.0,115.0,100.0,105.0
26,L&TFH_25-10-2018_11:50,117.2,130.0,140.0,135.0,125.0,110.0,115.0,100.0,105.0
27,L&TFH_25-10-2018_15:32,119.0,130.0,140.0,135.0,125.0,110.0,115.0,100.0,105.0
28,L&TFH_26-10-2018_09:30,117.5,130.0,150.0,125.0,120.0,110.0,100.0,115.0,90.0
29,L&TFH_26-10-2018_11:50,119.55,130.0,125.0,150.0,120.0,110.0,100.0,115.0,90.0
30,L&TFH_26-10-2018_15:32,118.05,130.0,125.0,150.0,120.0,110.0,115.0,100.0,90.0
31,L&TFH_29-10-2018_09:30,118.2,130.0,125.0,150.0,120.0,110.0,115.0,100.0,90.0
32,L&TFH_29-10-2018_11:50,119.45,130.0,125.0,150.0,120.0,110.0,115.0,100.0,90.0
33,L&TFH_29-10-2018_15:32,122.2,125.0,130.0,150.0,140.0,110.0,120.0,115.0,100.0
34,L&TFH_30-10-2018_09:30,125.5,130.0,150.0,140.0,135.0,110.0,120.0,115.0,100.0
35,L&TFH_30-10-2018_11:50,125.1,130.0,150.0,140.0,135.0,110.0,120.0,115.0,100.0
36,L&TFH_30-10-2018_15:32,124.1,125.0,130.0,150.0,140.0,110.0,120.0,115.0,100.0
37,L&TFH_31-10-2018_09:30,125.75,130.0,150.0,140.0,135.0,110.0,120.0,115.0,100.0
38,L&TFH_31-10-2018_11:50,124.85,125.0,130.0,150.0,140.0,110.0,120.0,115.0,100.0
39,L&TFH_31-10-2018_15:32,127.4,130.0,150.0,140.0,135.0,110.0,120.0,115.0,100.0
40,L&TFH_01-11-2018_09:30,129.5,130.0,150.0,140.0,135.0,110.0,120.0,115.0,125.0
41,L&TFH_01-11-2018_11:50,132.05,150.0,140.0,135.0,145.0,120.0,110.0,125.0,115.0
42,L&TFH_01-11-2018_15:32,135.4,150.0,140.0,145.0,160.0,120.0,110.0,125.0,100.0
43,L&TFH_02-11-2018_09:30,137.2,150.0,140.0,145.0,160.0,120.0,110.0,125.0,130.0
44,L&TFH_02-11-2018_11:50,137.4,150.0,140.0,145.0,160.0,110.0,120.0,125.0,100.0
45,L&TFH_02-11-2018_15:32,134.0,150.0,140.0,145.0,135.0,110.0,120.0,125.0,100.0
46,L&TFH_05-11-2018_09:30,135.4,150.0,140.0,145.0,160.0,110.0,120.0,125.0,100.0
47,L&TFH_05-11-2018_11:50,134.8,150.0,140.0,145.0,135.0,120.0,110.0,125.0,130.0
48,L&TFH_05-11-2018_15:32,136.3,150.0,140.0,160.0,145.0,110.0,120.0,125.0,130.0
49,L&TFH_06-11-2018_09:30,136.3,150.0,140.0,160.0,145.0,120.0,110.0,125.0,130.0
50,L&TFH_06-11-2018_11:50,135.4,150.0,140.0,160.0,145.0,120.0,110.0,125.0,130.0
51,L&TFH_06-11-2018_15:32,134.7,150.0,140.0,160.0,135.0,120.0,110.0,125.0,130.0
52,L&TFH_07-11-2018_09:30,134.7,150.0,140.0,160.0,135.0,120.0,110.0,125.0,130.0
53,L&TFH_07-11-2018_11:50,134.7,150.0,140.0,160.0,135.0,120.0,110.0,125.0,130.0
54,L&TFH_07-11-2018_15:32,134.7,150.0,140.0,160.0,135.0,120.0,110.0,125.0,130.0
55,L&TFH_08-11-2018_09:30,136.25,150.0,140.0,160.0,145.0,120.0,110.0,125.0,130.0
