,Name,Curprice,R1,R2,R3,R4,S1,S2,S3,S4
0,RAMCOCEM_16-01-2019_23:44,634.9,680.0,640.0,660.0,650.0,600.0,570.0,580.0,630.0
1,RAMCOCEM_17-01-2019_09:00,634.9,680.0,640.0,660.0,650.0,600.0,570.0,580.0,630.0
2,RAMCOCEM_17-01-2019_09:30,634.4,680.0,640.0,660.0,650.0,600.0,570.0,580.0,630.0
3,RAMCOCEM_17-01-2019_10:00,632.45,680.0,640.0,660.0,650.0,600.0,570.0,580.0,630.0
4,RAMCOCEM_17-01-2019_10:30,633.5,680.0,640.0,660.0,650.0,600.0,570.0,580.0,630.0
5,RAMCOCEM_17-01-2019_11:00,632.7,680.0,640.0,660.0,650.0,600.0,570.0,580.0,630.0
6,RAMCOCEM_17-01-2019_11:30,633.2,680.0,640.0,660.0,650.0,600.0,570.0,580.0,630.0
7,RAMCOCEM_17-01-2019_12:00,632.05,680.0,640.0,660.0,650.0,600.0,570.0,580.0,630.0
8,RAMCOCEM_17-01-2019_12:30,628.65,680.0,640.0,660.0,650.0,600.0,570.0,580.0,560.0
9,RAMCOCEM_17-01-2019_13:00,629.45,680.0,640.0,660.0,650.0,600.0,570.0,580.0,560.0
10,RAMCOCEM_17-01-2019_13:30,630.0,680.0,640.0,660.0,650.0,600.0,570.0,580.0,560.0
11,RAMCOCEM_17-01-2019_14:00,629.95,680.0,640.0,660.0,650.0,600.0,570.0,580.0,560.0
12,RAMCOCEM_17-01-2019_14:30,630.0,680.0,640.0,660.0,650.0,600.0,570.0,580.0,560.0
13,RAMCOCEM_17-01-2019_15:00,629.95,680.0,640.0,660.0,650.0,600.0,570.0,580.0,560.0
14,RAMCOCEM_17-01-2019_15:25,627.8,680.0,640.0,660.0,650.0,600.0,570.0,580.0,560.0
15,RAMCOCEM_17-01-2019_15:32,626.4,680.0,640.0,660.0,650.0,600.0,570.0,580.0,560.0
16,RAMCOCEM_18-01-2019_09:00,625.0,680.0,640.0,660.0,650.0,600.0,570.0,580.0,560.0
17,RAMCOCEM_18-01-2019_09:30,622.8,680.0,640.0,660.0,650.0,600.0,570.0,580.0,560.0
18,RAMCOCEM_18-01-2019_10:00,623.75,680.0,640.0,660.0,650.0,600.0,570.0,580.0,560.0
