,Name,Curprice,R1,R2,R3,R4,S1,S2,S3,S4
0,TCS_02-01-2019_12:17,1932.2,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1900.0,1860.0
1,TCS_02-01-2019_12:30,1928.7,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1900.0,1860.0
2,TCS_02-01-2019_13:00,1923.0,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1900.0,1860.0
3,TCS_02-01-2019_13:30,1921.75,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1900.0,1860.0
4,TCS_02-01-2019_14:00,1918.0,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1900.0,1860.0
5,TCS_02-01-2019_14:30,1919.5,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1900.0,1860.0
6,TCS_02-01-2019_15:00,1926.7,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1900.0,1860.0
7,TCS_02-01-2019_15:32,1919.0,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1900.0,1860.0
8,TCS_02-01-2019_23:42,1919.0,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1900.0,1860.0
9,TCS_02-01-2019_23:47,1919.0,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1900.0,1860.0
10,TCS_03-01-2019_09:00,1919.0,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1900.0,1860.0
11,TCS_03-01-2019_09:30,1921.55,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1900.0,1860.0
12,TCS_03-01-2019_10:00,1933.95,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1900.0,1860.0
13,TCS_03-01-2019_10:00,1933.95,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1900.0,1860.0
14,TCS_03-01-2019_10:22,1940.1,2200.0,2000.0,2100.0,1960.0,1700.0,1800.0,1900.0,1860.0
15,TCS_03-01-2019_10:26,1940.05,2200.0,2000.0,2100.0,1960.0,1700.0,1800.0,1900.0,1850.0
16,TCS_03-01-2019_10:30,1940.0,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1900.0,1850.0
17,TCS_03-01-2019_10:47,1926.5,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1900.0,1850.0
18,TCS_03-01-2019_11:00,1925.95,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1900.0,1850.0
19,TCS_03-01-2019_11:30,1920.9,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1900.0,1850.0
20,TCS_03-01-2019_12:00,1919.65,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1900.0,1850.0
21,TCS_03-01-2019_12:30,1909.0,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1900.0,1850.0
22,TCS_03-01-2019_13:00,1898.6,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1850.0,1860.0
23,TCS_03-01-2019_13:30,1907.75,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1900.0,1850.0
24,TCS_03-01-2019_13:30,1907.75,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1900.0,1850.0
25,TCS_03-01-2019_14:30,1897.0,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1850.0,1860.0
26,TCS_03-01-2019_15:00,1900.0,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1850.0,1860.0
27,TCS_03-01-2019_15:32,1899.05,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1850.0,1860.0
28,TCS_03-01-2019_15:32,1899.05,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1850.0,1860.0
29,TCS_04-01-2019_09:30,1888.0,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1850.0,1860.0
30,TCS_04-01-2019_10:00,1879.05,2200.0,2000.0,2100.0,1940.0,1700.0,1800.0,1850.0,1860.0
31,TCS_04-01-2019_10:30,1849.05,2000.0,2200.0,2100.0,1900.0,1700.0,1800.0,1750.0,1840.0
32,TCS_04-01-2019_11:00,1849.0,2000.0,2200.0,2100.0,1900.0,1700.0,1800.0,1750.0,1840.0
33,TCS_04-01-2019_11:30,1855.05,2000.0,2200.0,1900.0,2100.0,1700.0,1800.0,1850.0,1840.0
34,TCS_04-01-2019_12:00,1869.35,2000.0,2200.0,1900.0,2100.0,1700.0,1800.0,1850.0,1860.0
35,TCS_04-01-2019_12:30,1871.35,2000.0,2200.0,1900.0,2100.0,1700.0,1800.0,1850.0,1860.0
36,TCS_04-01-2019_13:00,1874.3,2000.0,2200.0,1900.0,2100.0,1700.0,1800.0,1850.0,1860.0
37,TCS_04-01-2019_13:30,1877.6,2000.0,2200.0,1900.0,2100.0,1700.0,1800.0,1850.0,1860.0
38,TCS_04-01-2019_14:00,1869.85,2000.0,2200.0,1900.0,2100.0,1700.0,1800.0,1850.0,1860.0
39,TCS_04-01-2019_14:30,1868.45,2000.0,2200.0,1900.0,2100.0,1700.0,1800.0,1850.0,1860.0
40,TCS_04-01-2019_15:00,1875.0,2000.0,2200.0,1900.0,2100.0,1700.0,1800.0,1850.0,1860.0
41,TCS_04-01-2019_15:32,1882.0,2200.0,2000.0,1900.0,2100.0,1700.0,1800.0,1850.0,1860.0
42,TCS_04-01-2019_15:32,1882.0,2200.0,2000.0,1900.0,2100.0,1700.0,1800.0,1850.0,1860.0
43,TCS_07-01-2019_09:30,1890.2,2000.0,2200.0,1900.0,2100.0,1700.0,1800.0,1850.0,1860.0
44,TCS_07-01-2019_10:00,1888.4,2000.0,2200.0,1900.0,2100.0,1700.0,1800.0,1850.0,1860.0
45,TCS_07-01-2019_10:30,1889.1,2000.0,2200.0,1900.0,2100.0,1700.0,1800.0,1850.0,1860.0
